Date,Changed,Total Changed
2017/05/01,7219,7219
2017/05/02,127752,134971
2017/05/03,6408,141379
2017/05/04,9270,150649
2017/05/05,8493,159142
2017/05/06,535,159677
2017/05/07,3917,163594
2017/05/08,6065,169659
2017/05/09,6947,176606
2017/05/10,236286,412892
2017/05/11,16079,428971
2017/05/12,15650,444621
2017/05/13,4373,448994
2017/05/14,5212,454206
2017/05/15,16992,471198
2017/05/16,12162,483360
2017/05/17,32454,515814
2017/05/18,7447,523261
2017/05/19,14211,537472
2017/05/20,1527,538999
2017/05/21,2098,541097
2017/05/22,10656,551753
2017/05/23,13839,565592
2017/05/24,26059,591651
2017/05/25,9470,601121
2017/05/26,11983,613104
2017/05/27,7777,620881
2017/05/28,1040,621921
2017/05/29,2901,624822
2017/05/30,11968,636790
2017/05/31,14870,651660
