Order,Company,Index,File/Directory,Number,Percent
All By changed lines,All,0,"",9932435,100.0
All By changed lines,Google,1,"",4876357,49.095
By changed lines,Google,1,/pkg,1158366,23.755
By changed lines,Google,1,/Godeps,1138458,23.346
By changed lines,Google,1,/Godeps/_workspace/src,862346,17.684
By changed lines,Google,1,/Godeps/_workspace,862348,17.684
By changed lines,Google,1,/staging,820863,16.834
By changed lines,Google,1,/staging/src/k8s.io,820600,16.828
By changed lines,Google,1,/staging/src/k8s.io/client-go,794841,16.3
By changed lines,Google,1,/Godeps/_workspace/src/github.com,616463,12.642
By changed lines,Google,1,/third_party,350163,7.181
By changed lines,Google,1,/staging/src/k8s.io/client-go/_vendor,304493,6.244
By changed lines,Google,1,/api,294984,6.049
By changed lines,Google,1,/Godeps/LICENSES,268148,5.499
By changed lines,Google,1,/staging/src/k8s.io/client-go/1.4,236185,4.843
By changed lines,Google,1,/pkg/ui,197899,4.058
All By changed lines,Red Hat,2,"",1775447,17.875
By changed lines,Red Hat,2,/pkg,662410,37.309
By changed lines,Red Hat,2,/Godeps,580485,32.695
By changed lines,Red Hat,2,/Godeps/_workspace/src,568868,32.041
By changed lines,Red Hat,2,/Godeps/_workspace/src/github.com,455648,25.664
By changed lines,Red Hat,2,/staging,160617,9.047
By changed lines,Red Hat,2,/staging/src/k8s.io,160240,9.025
By changed lines,Red Hat,2,/pkg/client,134679,7.586
By changed lines,Red Hat,2,/Godeps/_workspace/src/github.com/fsouza/go-dockerclient,133681,7.529
By changed lines,Red Hat,2,/Godeps/_workspace/src/github.com/fsouza/go-dockerclient/external,122376,6.893
By changed lines,Red Hat,2,/Godeps/_workspace/src/github.com/fsouza/go-dockerclient/external/golang.org/x,97123,5.47
By changed lines,Red Hat,2,/Godeps/_workspace/src/github.com/fsouza/go-dockerclient/external/golang.org/x/sys/unix,96676,5.445
All By changed lines,Microsoft,3,"",671694,6.763
By changed lines,Microsoft,3,/third_party,380961,56.716
By changed lines,Microsoft,3,/third_party/src,380776,56.689
By changed lines,Microsoft,3,/third_party/src/code.google.com/p,380170,56.599
By changed lines,Microsoft,3,/third_party/src/code.google.com/p/google-api-go-client,377868,56.256
By changed lines,Microsoft,3,/release-0.20.0,95131,14.163
By changed lines,Microsoft,3,/third_party/src/code.google.com/p/google-api-go-client/compute,83360,12.41
By changed lines,Microsoft,3,/pkg,73425,10.931
By changed lines,Microsoft,3,/release-0.20.0/examples,65475,9.748
By changed lines,Microsoft,3,/release-0.20.0/examples/blog-logging,49906,7.43
By changed lines,Microsoft,3,/release-0.20.0/examples/blog-logging/diagrams,49894,7.428
By changed lines,Microsoft,3,/release-0.19.0,43289,6.445
By changed lines,Microsoft,3,/release-0.20.0/docs,29656,4.415
By changed lines,Microsoft,3,/Godeps,28674,4.269
By changed lines,Microsoft,3,/release-0.19.0/docs,28346,4.22
All By changed lines,CoreOS,4,"",538783,5.424
By changed lines,CoreOS,4,/Godeps,460967,85.557
By changed lines,CoreOS,4,/Godeps/_workspace/src,275244,51.086
By changed lines,CoreOS,4,/Godeps/_workspace/src/github.com,244578,45.395
By changed lines,CoreOS,4,/Godeps/LICENSES,183949,34.142
By changed lines,CoreOS,4,/Godeps/_workspace/src/github.com/cznic,161078,29.897
By changed lines,CoreOS,4,/Godeps/_workspace/src/github.com/cznic/ql,86772,16.105
By changed lines,CoreOS,4,/Godeps/_workspace/src/github.com/coreos,57728,10.715
By changed lines,CoreOS,4,/pkg,39951,7.415
By changed lines,CoreOS,4,/Godeps/_workspace/src/github.com/coreos/etcd,35314,6.554
By changed lines,CoreOS,4,/Godeps/_workspace/src/github.com/cznic/mathutil,28938,5.371
By changed lines,CoreOS,4,/Godeps/_workspace/src/github.com/cznic/exp/lldb,26388,4.898
By changed lines,CoreOS,4,/Godeps/_workspace/src/golang.org/x,23888,4.434
All By changed lines,Self,5,"",410442,4.132
By changed lines,Self,5,/third_party,378961,92.33
By changed lines,Self,5,/third_party/src,378834,92.299
By changed lines,Self,5,/third_party/src/code.google.com/p,353027,86.011
By changed lines,Self,5,/third_party/src/code.google.com/p/google-api-go-client,352788,85.953
By changed lines,Self,5,/third_party/src/code.google.com/p/google-api-go-client/compute,59431,14.48
By changed lines,Self,5,/third_party/src/code.google.com/p/google-api-go-client/adsense,25168,6.132
By changed lines,Self,5,/third_party/src/code.google.com/p/google-api-go-client/youtube,19550,4.763
By changed lines,Self,5,/third_party/src/code.google.com/p/google-api-go-client/compute/v1beta16,17847,4.348
By changed lines,Self,5,/third_party/src/code.google.com/p/google-api-go-client/compute/v1beta15,17144,4.177
By changed lines,Self,5,/third_party/src/code.google.com/p/google-api-go-client/youtube/v3,16012,3.901
By changed lines,Self,5,/third_party/src/github.com,15221,3.708
By changed lines,Self,5,/third_party/src/code.google.com/p/google-api-go-client/dfareporting,14567,3.549
By changed lines,Self,5,/third_party/src/code.google.com/p/google-api-go-client/google-api-go-generator,14493,3.531
By changed lines,Self,5,/third_party/src/code.google.com/p/google-api-go-client/analytics,13030,3.175
All By changed lines,Kismatic,6,"",248768,2.505
By changed lines,Kismatic,6,/third_party/ui/bower_components,178902,71.915
By changed lines,Kismatic,6,/third_party/ui/bower_components/angular-material,57337,23.048
By changed lines,Kismatic,6,/www,46088,18.526
By changed lines,Kismatic,6,/third_party/ui/bower_components/angular-material/modules,38095,15.313
By changed lines,Kismatic,6,/third_party/ui/bower_components/angular,26697,10.732
By changed lines,Kismatic,6,/third_party/ui/bower_components/angular/angular.js,26309,10.576
By changed lines,Kismatic,6,/pkg/ui,23646,9.505
By changed lines,Kismatic,6,/www/master,23251,9.346
By changed lines,Kismatic,6,/www/app,21121,8.49
By changed lines,Kismatic,6,/third_party/ui/bower_components/modernizr,19328,7.769
By changed lines,Kismatic,6,/third_party/ui/bower_components/lodash,19155,7.7
By changed lines,Kismatic,6,/third_party/ui/bower_components/jquery,19144,7.696
All By changed lines,Mesosphere,7,"",234818,2.364
By changed lines,Mesosphere,7,/Godeps,197042,83.913
By changed lines,Mesosphere,7,/Godeps/_workspace/src/github.com,196802,83.81
By changed lines,Mesosphere,7,/Godeps/_workspace/src/github.com/mesos/mesos-go,167654,71.397
By changed lines,Mesosphere,7,/Godeps/_workspace/src/github.com/mesos/mesos-go/mesosproto,151799,64.645
By changed lines,Mesosphere,7,/Godeps/_workspace/src/github.com/mesos/mesos-go/mesosproto/mesos.pb.go,61287,26.1
By changed lines,Mesosphere,7,/contrib/mesos,29589,12.601
By changed lines,Mesosphere,7,/contrib/mesos/pkg,27707,11.799
By changed lines,Mesosphere,7,/Godeps/_workspace/src/github.com/mesos/mesos-go/mesosproto/mesospb_test.go,20465,8.715
By changed lines,Mesosphere,7,/Godeps/_workspace/src/github.com/gogo/protobuf/proto,19471,8.292
All By changed lines,PHP,8,"",178813,1.8
By changed lines,PHP,8,/third_party/ui/bower_components,178812,99.999
By changed lines,PHP,8,/third_party/ui/bower_components/angular-material,57331,32.062
By changed lines,PHP,8,/third_party/ui/bower_components/angular-material/modules,38092,21.303
By changed lines,PHP,8,/third_party/ui/bower_components/angular,26697,14.93
By changed lines,PHP,8,/third_party/ui/bower_components/angular/angular.js,26309,14.713
By changed lines,PHP,8,/third_party/ui/bower_components/modernizr,19328,10.809
By changed lines,PHP,8,/third_party/ui/bower_components/lodash,19155,10.712
By changed lines,PHP,8,/third_party/ui/bower_components/jquery,19144,10.706
By changed lines,PHP,8,/third_party/ui/bower_components/lodash/dist,19077,10.669
By changed lines,PHP,8,/third_party/ui/bower_components/angular-material/modules/closure,18619,10.413
By changed lines,PHP,8,/third_party/ui/bower_components/angular-material/modules/js,16891,9.446
By changed lines,PHP,8,/third_party/ui/bower_components/modernizr/test,15514,8.676
By changed lines,PHP,8,/third_party/ui/bower_components/angular-material/angular-material.js,11412,6.382
All By changed lines,HP,9,"",122086,1.229
By changed lines,HP,9,/Godeps,116461,95.393
By changed lines,HP,9,/Godeps/_workspace/src/github.com/vmware/govmomi,114739,93.982
By changed lines,HP,9,/Godeps/_workspace/src/github.com/vmware/govmomi/vim25,79864,65.416
By changed lines,HP,9,/Godeps/_workspace/src/github.com/vmware/govmomi/vim25/types,57455,47.061
By changed lines,HP,9,/Godeps/_workspace/src/github.com/vmware/govmomi/vim25/types/types.go,49702,40.711
By changed lines,HP,9,/Godeps/_workspace/src/github.com/vmware/govmomi/govc,22396,18.344
By changed lines,HP,9,/Godeps/_workspace/src/github.com/vmware/govmomi/vim25/methods,14282,11.698
By changed lines,HP,9,/Godeps/_workspace/src/github.com/vmware/govmomi/vim25/methods/methods.go,14103,11.552
By changed lines,HP,9,/Godeps/_workspace/src/github.com/vmware/govmomi/object,5714,4.68
By changed lines,HP,9,/pkg,4852,3.974
By changed lines,HP,9,/Godeps/_workspace/src/github.com/vmware/govmomi/vim25/xml,4143,3.394
All By changed lines,Huawei,10,"",66243,0.667
By changed lines,Huawei,10,/federation,25513,38.514
By changed lines,Huawei,10,/pkg,16289,24.59
By changed lines,Huawei,10,/federation/pkg,12708,19.184
By changed lines,Huawei,10,/test,6829,10.309
By changed lines,Huawei,10,/docs,6565,9.91
By changed lines,Huawei,10,/federation/pkg/federation-controller,6116,9.233
By changed lines,Huawei,10,/plugin,5560,8.393
By changed lines,Huawei,10,/plugin/pkg,5547,8.374
By changed lines,Huawei,10,/federation/client,5388,8.134
By changed lines,Huawei,10,/federation/client/clientset_generated,5353,8.081
By changed lines,Huawei,10,/pkg/api,5098,7.696
By changed lines,Huawei,10,/plugin/pkg/scheduler,4578,6.911
By changed lines,Huawei,10,/federation/apis,4402,6.645
By changed lines,Huawei,10,/plugin/pkg/scheduler/algorithm,4030,6.084
By changed lines,Huawei,10,/federation/pkg/federation-controller/service,3802,5.739
All By changed lines,Bulletproof,11,"",58619,0.59
By changed lines,Bulletproof,11,/Godeps,55756,95.116
By changed lines,Bulletproof,11,/Godeps/_workspace/src/github.com,45358,77.378
By changed lines,Bulletproof,11,/Godeps/_workspace/src/github.com/rackspace/gophercloud,40584,69.234
By changed lines,Bulletproof,11,/Godeps/_workspace/src/github.com/rackspace/gophercloud/openstack,20095,34.281
By changed lines,Bulletproof,11,/Godeps/LICENSES,10164,17.339
By changed lines,Bulletproof,11,/Godeps/_workspace/src/github.com/rackspace/gophercloud/openstack/networking/v2,8801,15.014
By changed lines,Bulletproof,11,/Godeps/_workspace/src/github.com/rackspace/gophercloud/acceptance,7180,12.249
By changed lines,Bulletproof,11,/Godeps/_workspace/src/github.com/rackspace/gophercloud/openstack/networking/v2/extensions,6154,10.498
By changed lines,Bulletproof,11,/Godeps/_workspace/src/github.com/rackspace/gophercloud/rackspace,4397,7.501
By changed lines,Bulletproof,11,/Godeps/_workspace/src/github.com/rackspace/gophercloud/openstack/compute/v2,3364,5.739
All By changed lines,Epic Games,12,"",58317,0.587
By changed lines,Epic Games,12,/Godeps,57866,99.227
By changed lines,Epic Games,12,/Godeps/_workspace/src/github.com,57772,99.065
By changed lines,Epic Games,12,/Godeps/_workspace/src/github.com/aws/aws-sdk-go,40117,68.791
By changed lines,Epic Games,12,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/service,31594,54.176
By changed lines,Epic Games,12,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/service/ec2,25609,43.913
By changed lines,Epic Games,12,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/service/ec2/api.go,14446,24.772
By changed lines,Epic Games,12,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/service/ec2/examples_test.go,9769,16.752
By changed lines,Epic Games,12,/Godeps/_workspace/src/github.com/jmespath/go-jmespath,8849,15.174
By changed lines,Epic Games,12,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/aws,5806,9.956
By changed lines,Epic Games,12,/Godeps/_workspace/src/github.com/awslabs/aws-sdk-go,5662,9.709
All By changed lines,Vayable,13,"",54884,0.553
By changed lines,Vayable,13,/www,28445,51.827
By changed lines,Vayable,13,/pkg,26064,47.489
By changed lines,Vayable,13,/pkg/ui,26063,47.487
By changed lines,Vayable,13,/pkg/ui/datafile.go,25536,46.527
By changed lines,Vayable,13,/www/app,15599,28.422
By changed lines,Vayable,13,/www/master,12846,23.406
By changed lines,Vayable,13,/www/master/shared,12105,22.056
By changed lines,Vayable,13,/www/app/shared/assets,11993,21.852
By changed lines,Vayable,13,/www/master/shared/assets,11993,21.852
By changed lines,Vayable,13,/www/app/shared/assets/sampleData1.json,11993,21.852
By changed lines,Vayable,13,/www/master/shared/assets/sampleData1.json,11993,21.852
By changed lines,Vayable,13,/www/app/assets,3404,6.202
By changed lines,Vayable,13,/www/app/assets/js,3387,6.171
By changed lines,Vayable,13,/www/app/assets/js/app.js,3386,6.169
All By changed lines,FathomDB,14,"",46245,0.466
By changed lines,FathomDB,14,/pkg,18344,39.667
By changed lines,FathomDB,14,/Godeps,14996,32.427
By changed lines,FathomDB,14,/Godeps/_workspace/src/github.com,14749,31.893
By changed lines,FathomDB,14,/pkg/cloudprovider,9951,21.518
By changed lines,FathomDB,14,/cluster,7398,15.997
By changed lines,FathomDB,14,/Godeps/_workspace/src/github.com/awslabs/aws-sdk-go,6561,14.187
By changed lines,FathomDB,14,/Godeps/_workspace/src/github.com/aws/aws-sdk-go,6128,13.251
By changed lines,FathomDB,14,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/service,6014,13.005
By changed lines,FathomDB,14,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/service/autoscaling,5831,12.609
By changed lines,FathomDB,14,/pkg/cloudprovider/providers,5160,11.158
By changed lines,FathomDB,14,/cluster/aws,4883,10.559
All By changed lines,DEIS,15,"",41611,0.419
By changed lines,DEIS,15,/docs,41449,99.611
By changed lines,DEIS,15,/docs/proposals,16836,40.46
By changed lines,DEIS,15,/docs/design,15329,36.839
By changed lines,DEIS,15,/docs/devel,9284,22.311
By changed lines,DEIS,15,/docs/design/architecture.svg,1943,4.669
By changed lines,DEIS,15,/docs/devel/api-conventions.md,1350,3.244
By changed lines,DEIS,15,/docs/design/indexed-job.md,900,2.163
All By changed lines,NotFound,16,"",3594,0.036
By changed lines,NotFound,16,/pkg,1545,42.988
By changed lines,NotFound,16,/Godeps,1350,37.563
By changed lines,NotFound,16,/Godeps/_workspace/src/github.com/coreos,1338,37.229
By changed lines,NotFound,16,/Godeps/_workspace/src/github.com/coreos/etcd,1112,30.94
By changed lines,NotFound,16,/Godeps/_workspace/src/github.com/coreos/etcd/pkg/types,795,22.12
By changed lines,NotFound,16,/pkg/kubelet,530,14.747
By changed lines,NotFound,16,/pkg/util,362,10.072
By changed lines,NotFound,16,/Godeps/_workspace/src/github.com/coreos/etcd/etcdserver/etcdhttp/httptypes,317,8.82
By changed lines,NotFound,16,/pkg/kubelet/dockertools,316,8.792
All By number of commits,All,0,"",200809,100.0
All By number of commits,Google,1,"",99981,49.789
By number of commits,Google,1,/pkg,38988,38.995
By number of commits,Google,1,/staging,8836,8.838
By number of commits,Google,1,/docs,8818,8.82
By number of commits,Google,1,/staging/src/k8s.io,8816,8.818
By number of commits,Google,1,/pkg/client,8411,8.413
By number of commits,Google,1,/test,7951,7.953
By number of commits,Google,1,/staging/src/k8s.io/client-go,7726,7.727
By number of commits,Google,1,/pkg/kubelet,6187,6.188
By number of commits,Google,1,/cluster,5783,5.784
By number of commits,Google,1,/test/e2e,4795,4.796
By number of commits,Google,1,/Godeps,4432,4.433
By number of commits,Google,1,/Godeps/_workspace,4154,4.155
By number of commits,Google,1,/Godeps/_workspace/src,4153,4.154
By number of commits,Google,1,/vendor,4151,4.152
All By number of commits,Red Hat,2,"",59674,29.717
By number of commits,Red Hat,2,/pkg,33704,56.48
By number of commits,Red Hat,2,/pkg/client,6955,11.655
By number of commits,Red Hat,2,/staging,6234,10.447
By number of commits,Red Hat,2,/staging/src/k8s.io,6200,10.39
By number of commits,Red Hat,2,/pkg/registry,4705,7.885
By number of commits,Red Hat,2,/staging/src/k8s.io/client-go,3855,6.46
By number of commits,Red Hat,2,/Godeps,3772,6.321
By number of commits,Red Hat,2,/Godeps/_workspace/src,3604,6.039
By number of commits,Red Hat,2,/pkg/api,3230,5.413
By number of commits,Red Hat,2,/pkg/kubectl,3224,5.403
By number of commits,Red Hat,2,/test,3115,5.22
By number of commits,Red Hat,2,/Godeps/_workspace/src/github.com,3107,5.207
By number of commits,Red Hat,2,/pkg/apis,2761,4.627
All By number of commits,Microsoft,3,"",6157,3.066
By number of commits,Microsoft,3,/pkg,2176,35.342
By number of commits,Microsoft,3,/third_party,941,15.283
By number of commits,Microsoft,3,/third_party/src,938,15.235
By number of commits,Microsoft,3,/third_party/src/code.google.com/p,920,14.942
By number of commits,Microsoft,3,/third_party/src/code.google.com/p/google-api-go-client,821,13.334
By number of commits,Microsoft,3,/third_party/src/code.google.com/p/google-api-go-client/.hg,586,9.518
By number of commits,Microsoft,3,/docs,584,9.485
By number of commits,Microsoft,3,/third_party/src/code.google.com/p/google-api-go-client/.hg/store,564,9.16
By number of commits,Microsoft,3,/third_party/src/code.google.com/p/google-api-go-client/.hg/store/data,552,8.965
By number of commits,Microsoft,3,/release-0.20.0,538,8.738
By number of commits,Microsoft,3,/release-0.19.0,514,8.348
By number of commits,Microsoft,3,/pkg/kubectl,461,7.487
By number of commits,Microsoft,3,/pkg/kubectl/cmd,370,6.009
By number of commits,Microsoft,3,/cluster,347,5.636
All By number of commits,CoreOS,4,"",3800,1.892
By number of commits,CoreOS,4,/Godeps,1463,38.5
By number of commits,CoreOS,4,/Godeps/_workspace/src,1419,37.342
By number of commits,CoreOS,4,/pkg,1412,37.158
By number of commits,CoreOS,4,/Godeps/_workspace/src/github.com,1190,31.316
By number of commits,CoreOS,4,/pkg/kubelet,668,17.579
By number of commits,CoreOS,4,/Godeps/_workspace/src/github.com/coreos,531,13.974
By number of commits,CoreOS,4,/Godeps/_workspace/src/github.com/coreos/etcd,358,9.421
By number of commits,CoreOS,4,/Godeps/_workspace/src/github.com/cznic,358,9.421
By number of commits,CoreOS,4,/pkg/registry,306,8.053
By number of commits,CoreOS,4,/cluster,279,7.342
By number of commits,CoreOS,4,/pkg/kubelet/rkt,220,5.789
By number of commits,CoreOS,4,/cluster/gce,214,5.632
By number of commits,CoreOS,4,/cluster/gce/coreos,173,4.553
By number of commits,CoreOS,4,/plugin,168,4.421
All By number of commits,Huawei,5,"",2465,1.228
By number of commits,Huawei,5,/pkg,881,35.74
By number of commits,Huawei,5,/federation,499,20.243
By number of commits,Huawei,5,/docs,427,17.323
By number of commits,Huawei,5,/pkg/kubectl,212,8.6
By number of commits,Huawei,5,/test,207,8.398
By number of commits,Huawei,5,/federation/pkg,189,7.667
By number of commits,Huawei,5,/pkg/api,173,7.018
By number of commits,Huawei,5,/docs/user-guide,171,6.937
By number of commits,Huawei,5,/federation/client,170,6.897
By number of commits,Huawei,5,/federation/client/clientset_generated,169,6.856
By number of commits,Huawei,5,/pkg/kubectl/cmd,146,5.923
By number of commits,Huawei,5,/docs/user-guide/kubectl,138,5.598
By number of commits,Huawei,5,/cluster,123,4.99
By number of commits,Huawei,5,/plugin,115,4.665
By number of commits,Huawei,5,/test/e2e,111,4.503
All By number of commits,Self,6,"",2081,1.036
By number of commits,Self,6,/pkg,424,20.375
By number of commits,Self,6,/third_party,378,18.164
By number of commits,Self,6,/third_party/src,375,18.02
By number of commits,Self,6,/Godeps,255,12.254
By number of commits,Self,6,/docs,252,12.11
By number of commits,Self,6,/Godeps/_workspace,249,11.965
By number of commits,Self,6,/Godeps/_workspace/src,248,11.917
By number of commits,Self,6,/cluster,248,11.917
By number of commits,Self,6,/third_party/src/code.google.com/p,233,11.197
By number of commits,Self,6,/third_party/src/code.google.com/p/google-api-go-client,225,10.812
By number of commits,Self,6,/docs/getting-started-guides,154,7.4
By number of commits,Self,6,/examples,127,6.103
By number of commits,Self,6,/Godeps/_workspace/src/code.google.com/p,120,5.766
All By number of commits,FathomDB,7,"",1567,0.78
By number of commits,FathomDB,7,/pkg,752,47.99
By number of commits,FathomDB,7,/cluster,489,31.206
By number of commits,FathomDB,7,/pkg/cloudprovider,322,20.549
By number of commits,FathomDB,7,/cluster/aws,295,18.826
By number of commits,FathomDB,7,/pkg/cloudprovider/providers,153,9.764
By number of commits,FathomDB,7,/cluster/saltbase,129,8.232
By number of commits,FathomDB,7,/pkg/api,124,7.913
By number of commits,FathomDB,7,/cluster/saltbase/salt,124,7.913
By number of commits,FathomDB,7,/pkg/cloudprovider/providers/aws,119,7.594
By number of commits,FathomDB,7,/cluster/aws/util.sh,111,7.084
By number of commits,FathomDB,7,/pkg/cloudprovider/aws,93,5.935
By number of commits,FathomDB,7,/cluster/aws/templates,82,5.233
By number of commits,FathomDB,7,/test,77,4.914
By number of commits,FathomDB,7,/pkg/volume,77,4.914
By number of commits,FathomDB,7,/test/e2e,76,4.85
All By number of commits,Mirantis,8,"",1306,0.65
By number of commits,Mirantis,8,/pkg,897,68.683
By number of commits,Mirantis,8,/pkg/kubectl,198,15.161
By number of commits,Mirantis,8,/pkg/kubelet,167,12.787
By number of commits,Mirantis,8,/pkg/kubectl/cmd,138,10.567
By number of commits,Mirantis,8,/pkg/apis,90,6.891
By number of commits,Mirantis,8,/pkg/controller,89,6.815
By number of commits,Mirantis,8,/pkg/util,56,4.288
By number of commits,Mirantis,8,/test,51,3.905
By number of commits,Mirantis,8,/contrib/mesos,49,3.752
By number of commits,Mirantis,8,/pkg/apis/extensions,49,3.752
By number of commits,Mirantis,8,/contrib,49,3.752
By number of commits,Mirantis,8,/pkg/registry,49,3.752
By number of commits,Mirantis,8,/pkg/api,49,3.752
By number of commits,Mirantis,8,/plugin/pkg,48,3.675
All By number of commits,Kismatic,9,"",1169,0.582
By number of commits,Kismatic,9,/third_party/ui/bower_components,726,62.104
By number of commits,Kismatic,9,/www,428,36.612
By number of commits,Kismatic,9,/third_party/ui/bower_components/angular-material,302,25.834
By number of commits,Kismatic,9,/www/master,288,24.636
By number of commits,Kismatic,9,/third_party/ui/bower_components/angular-material/modules,277,23.695
By number of commits,Kismatic,9,/third_party/ui/bower_components/angular-material/modules/js,188,16.082
By number of commits,Kismatic,9,/third_party/ui/bower_components/modernizr,162,13.858
By number of commits,Kismatic,9,/www/master/components,161,13.772
By number of commits,Kismatic,9,/www/master/components/dashboard,159,13.601
By number of commits,Kismatic,9,/www/app,121,10.351
By number of commits,Kismatic,9,/third_party/ui/bower_components/modernizr/feature-detects,103,8.811
By number of commits,Kismatic,9,/third_party/ui/bower_components/jquery,90,7.699
By number of commits,Kismatic,9,/third_party/ui/bower_components/angular-material/modules/closure,88,7.528
All By number of commits,Mesosphere,10,"",1125,0.56
By number of commits,Mesosphere,10,/contrib/mesos,423,37.6
By number of commits,Mesosphere,10,/Godeps,388,34.489
By number of commits,Mesosphere,10,/contrib/mesos/pkg,384,34.133
By number of commits,Mesosphere,10,/Godeps/_workspace/src/github.com,376,33.422
By number of commits,Mesosphere,10,/contrib/mesos/pkg/scheduler,198,17.6
By number of commits,Mesosphere,10,/Godeps/_workspace/src/github.com/mesos/mesos-go,181,16.089
By number of commits,Mesosphere,10,/cluster,98,8.711
By number of commits,Mesosphere,10,/cluster/mesos/docker,81,7.2
By number of commits,Mesosphere,10,/pkg,78,6.933
By number of commits,Mesosphere,10,/Godeps/_workspace/src/github.com/mesos/mesos-go/mesosproto,73,6.489
All By number of commits,IBM,11,"",1025,0.51
By number of commits,IBM,11,/pkg,307,29.951
By number of commits,IBM,11,/test,243,23.707
By number of commits,IBM,11,/test/images,215,20.976
By number of commits,IBM,11,/docs,115,11.22
By number of commits,IBM,11,/pkg/kubectl,90,8.78
By number of commits,IBM,11,/pkg/kubectl/cmd,67,6.537
By number of commits,IBM,11,/pkg/api,66,6.439
By number of commits,IBM,11,/plugin,63,6.146
By number of commits,IBM,11,/plugin/pkg,60,5.854
By number of commits,IBM,11,/staging/src/k8s.io,58,5.659
By number of commits,IBM,11,/cluster,51,4.976
