Order,Company,Index,File/Directory,Number,Percent,PercentAll
All By changed lines,All,0,"",442742,100.0,100.0
All By changed lines,Google,1,"",263974,59.623,59.623
By changed lines,Google,1,pkg,115746,43.848,26.143
By changed lines,Google,1,docs,67160,25.442,15.169
By changed lines,Google,1,pkg/client,42006,15.913,9.488
By changed lines,Google,1,pkg/client/clientset_generated,24017,9.098,5.425
By changed lines,Google,1,test,21815,8.264,4.927
By changed lines,Google,1,pkg/apis,18642,7.062,4.211
By changed lines,Google,1,docs/user-guide,17973,6.809,4.059
By changed lines,Google,1,test/e2e,16045,6.078,3.624
By changed lines,Google,1,pkg/client/typed,14979,5.674,3.383
By changed lines,Google,1,pkg/client/typed/generated,14506,5.495,3.276
By changed lines,Google,1,pkg/controller,13665,5.177,3.086
By changed lines,Google,1,cluster,13030,4.936,2.943
By changed lines,Google,1,hack,11518,4.363,2.602
By changed lines,Google,1,docs/man/man1,10985,4.161,2.481
By changed lines,Google,1,pkg/api,10151,3.845,2.293
By changed lines,Google,1,pkg/kubelet,10095,3.824,2.28
By changed lines,Google,1,pkg/client/typed/generated/core,9746,3.692,2.201
By changed lines,Google,1,examples,9369,3.549,2.116
By changed lines,Google,1,pkg/client/clientset_generated/release_1_3,8586,3.253,1.939
By changed lines,Google,1,docs/proposals,8394,3.18,1.896
By changed lines,Google,1,docs/user-guide/kubectl,8343,3.161,1.884
By changed lines,Google,1,pkg/client/clientset_generated/release_1_3/typed,8276,3.135,1.869
By changed lines,Google,1,api/swagger-spec,8259,3.129,1.865
All By changed lines,Red Hat,2,"",81167,18.333,18.333
By changed lines,Red Hat,2,pkg,60882,75.008,13.751
By changed lines,Red Hat,2,pkg/kubelet,10759,13.255,2.43
By changed lines,Red Hat,2,pkg/controller,10106,12.451,2.283
By changed lines,Red Hat,2,pkg/controller/persistentvolume,9063,11.166,2.047
By changed lines,Red Hat,2,pkg/api,8337,10.271,1.883
By changed lines,Red Hat,2,pkg/apis,6979,8.598,1.576
By changed lines,Red Hat,2,contrib,4949,6.097,1.118
By changed lines,Red Hat,2,contrib/completions,4848,5.973,1.095
By changed lines,Red Hat,2,contrib/completions/bash,4560,5.618,1.03
By changed lines,Red Hat,2,contrib/completions/bash/kubectl,4554,5.611,1.029
By changed lines,Red Hat,2,pkg/volume,4354,5.364,0.983
By changed lines,Red Hat,2,docs,3974,4.896,0.898
By changed lines,Red Hat,2,plugin,3816,4.701,0.862
By changed lines,Red Hat,2,plugin/pkg,3810,4.694,0.861
By changed lines,Red Hat,2,pkg/apis/batch,3632,4.475,0.82
By changed lines,Red Hat,2,test,3564,4.391,0.805
By changed lines,Red Hat,2,pkg/security,3473,4.279,0.784
By changed lines,Red Hat,2,pkg/security/podsecuritypolicy,3455,4.257,0.78
By changed lines,Red Hat,2,plugin/pkg/admission,3418,4.211,0.772
By changed lines,Red Hat,2,pkg/util,3409,4.2,0.77
By changed lines,Red Hat,2,pkg/api/v1,2982,3.674,0.674
By changed lines,Red Hat,2,pkg/runtime,2853,3.515,0.644
By changed lines,Red Hat,2,pkg/api/resource,2686,3.309,0.607
By changed lines,Red Hat,2,pkg/kubectl,2503,3.084,0.565
By changed lines,Red Hat,2,pkg/apis/extensions,2495,3.074,0.564
All By changed lines,CoreOS,3,"",23182,5.236,5.236
By changed lines,CoreOS,3,pkg,13458,58.054,3.04
By changed lines,CoreOS,3,pkg/apis,3630,15.659,0.82
By changed lines,CoreOS,3,pkg/apis/rbac,3616,15.598,0.817
By changed lines,CoreOS,3,api/swagger-spec,3409,14.705,0.77
By changed lines,CoreOS,3,api/swagger-spec/rbac.authorization.k8s.io_v1alpha1.json,3291,14.196,0.743
By changed lines,CoreOS,3,pkg/kubelet,3282,14.158,0.741
By changed lines,CoreOS,3,pkg/kubelet/rkt,2703,11.66,0.611
By changed lines,CoreOS,3,pkg/storage,2465,10.633,0.557
By changed lines,CoreOS,3,plugin,2358,10.172,0.533
By changed lines,CoreOS,3,plugin/pkg,2352,10.146,0.531
By changed lines,CoreOS,3,pkg/client,2074,8.947,0.468
By changed lines,CoreOS,3,pkg/storage/etcd3,1945,8.39,0.439
By changed lines,CoreOS,3,pkg/apis/rbac/validation,1722,7.428,0.389
By changed lines,CoreOS,3,pkg/registry,1605,6.923,0.363
By changed lines,CoreOS,3,cluster,1211,5.224,0.274
By changed lines,CoreOS,3,pkg/client/clientset_generated/internalclientset,1191,5.138,0.269
By changed lines,CoreOS,3,pkg/client/clientset_generated/internalclientset/typed/rbac/unversioned,1166,5.03,0.263
By changed lines,CoreOS,3,pkg/apis/rbac/v1alpha1,1112,4.797,0.251
By changed lines,CoreOS,3,cluster/gce,1092,4.711,0.247
By changed lines,CoreOS,3,cluster/gce/coreos,1086,4.685,0.245
By changed lines,CoreOS,3,pkg/kubelet/rkt/rkt_test.go,1085,4.68,0.245
All By changed lines,Huawei,4,"",19259,4.35,4.35
By changed lines,Huawei,4,federation,10169,52.801,2.297
By changed lines,Huawei,4,federation/pkg,4034,20.946,0.911
By changed lines,Huawei,4,federation/pkg/federated-controller,3568,18.526,0.806
