rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,Sad-polar-bear,40,1.91847,40,1.91847,2085
2,zhaoli2333,17,0.81535,57,2.73381,2085
3,nevermosby,13,0.62350,70,3.35731,2085
4,scaat,12,0.57554,82,3.93285,2085
5,IZUMI-Zu,11,0.52758,93,4.46043,2085
6,Way-wzc,11,0.52758,104,4.98801,2085
7,panniyuyu,9,0.43165,113,5.41966,2085
8,FeiYing9,8,0.38369,121,5.80336,2085
9,shiling02404,8,0.38369,129,6.18705,2085
10,wuseyu,8,0.38369,137,6.57074,2085
11,Albertchamberlain,7,0.33573,144,6.90647,2085
12,cocotyty,7,0.33573,151,7.24221,2085
13,LawlietLi,7,0.33573,158,7.57794,2085
14,pinxiong,7,0.33573,165,7.91367,2085
15,shuxnhs,6,0.28777,171,8.20144,2085
16,yongxinzhang18810492456,6,0.28777,177,8.48921,2085
17,jjy96,5,0.23981,182,8.72902,2085
18,ESTLing,4,0.19185,186,8.92086,2085
19,lawrshen,4,0.19185,190,9.11271,2085
20,liuquanhao,3,0.14388,193,9.25659,2085
21,Marco-Zheng,3,0.14388,196,9.40048,2085
22,wen73,3,0.14388,199,9.54436,2085
23,brucelwl,2,0.09592,201,9.64029,2085
24,dragonly,2,0.09592,203,9.73621,2085
25,JinVei,2,0.09592,205,9.83213,2085
26,LlberC,2,0.09592,207,9.92806,2085
27,Promacanthus,2,0.09592,209,10.02398,2085
28,shuiyunwudi,2,0.09592,211,10.11990,2085
29,stanxing,2,0.09592,213,10.21583,2085
30,SuperSupeng,2,0.09592,215,10.31175,2085
31,Thiswang,2,0.09592,217,10.40767,2085
32,tyut22316,2,0.09592,219,10.50360,2085
33,x-shadow-man,2,0.09592,221,10.59952,2085
34,xsyl1124,2,0.09592,223,10.69544,2085
35,aiye123,1,0.04796,224,10.74341,2085
36,amos-85,1,0.04796,225,10.79137,2085
37,blueszhangsh,1,0.04796,226,10.83933,2085
38,broce-597,1,0.04796,227,10.88729,2085
39,burling,1,0.04796,228,10.93525,2085
40,diannahu,1,0.04796,229,10.98321,2085
41,disconnect3d,1,0.04796,230,11.03118,2085
42,fengfeng125,1,0.04796,231,11.07914,2085
43,fengyebxh,1,0.04796,232,11.12710,2085
44,genkami,1,0.04796,233,11.17506,2085
45,htn4179,1,0.04796,234,11.22302,2085
46,jackzhao12345,1,0.04796,235,11.27098,2085
47,k7daniel,1,0.04796,236,11.31894,2085
48,KuonjiMayoi,1,0.04796,237,11.36691,2085
49,Kwaiseec,1,0.04796,238,11.41487,2085
50,Lynton-Zhang,1,0.04796,239,11.46283,2085
51,lzp0412,1,0.04796,240,11.51079,2085
52,moonheart,1,0.04796,241,11.55875,2085
53,nicexe,1,0.04796,242,11.60671,2085
54,sanxun0325,1,0.04796,243,11.65468,2085
55,siaron,1,0.04796,244,11.70264,2085
56,supertong,1,0.04796,245,11.75060,2085
57,vperson,1,0.04796,246,11.79856,2085
58,weixiao619,1,0.04796,247,11.84652,2085
59,yankunsam,1,0.04796,248,11.89448,2085
60,zhengzepeng,1,0.04796,249,11.94245,2085
