2019-03-11: Replaced: 377, skipped: 6, added new: 1010, added affiliation: 677, new unknown: 0
2019-03-26: Replaced: 267, skipped: 0, added new: 448, added affiliation: 488, new unknown: 0
2019-04-15: Replaced: 238, skipped: 0, added new: 499, added affiliation: 470, new unknown: 0
2019-04-27: Replaced: 64, skipped: 0, added new: 118, added affiliation: 129, new unknown: 0
2019-06-13: Replaced: 150, skipped: 1, added new: 242, added affiliation: 311, new unknown: 0
2019-06-29: Replaced: 161, skipped: 0, added new: 315, added affiliation: 303, new unknown: 6
2019-07-29: Replaced: 200, skipped: 0, added new: 407, added affiliation: 457, new unknown: 0(+)
2019-07-29: Replaced: 163, skipped: 1, added new: 291, added affiliation: 365, new unknown: 0(+)
2019-07-29: Replaced: 363, skipped: 1, added new: 698, added affiliation: 822, new unknown: 0
2019-08-20: Replaced: 221, skipped: 12, added new: 218, added affiliation: 547, new unknown: 0(+)
2019-08-20: Replaced: 8, skipped: 0, added new: 25, added affiliation: 22, new unknown: 0(+)
2019-08-20: Replaced: 229, skipped: 12, added new: 243, added affiliation: 569, new unknown: 0
2019-09-18: Replaced: 155, skipped: 3, added new: 185, added affiliation: 360, new unknown: 0
2019-10-02: Replaced: 253, skipped: 0, added new: 465, added affiliation: 571, new unknown: 0
2019-10-04: Replaced: 52, skipped: 0, added new: 107, added affiliation: 143, new unknown: 0
2019-10-08: Replaced: 25, skipped: 0, added new: 39, added affiliation: 79, new unknown: 0
