rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,mcandeia,109,1.49458,109,1.49458,7293
2,jakobmoellersap,103,1.41231,212,2.90690,7293
3,amolmote,78,1.06952,290,3.97642,7293
4,dannypsnl,63,0.86384,353,4.84026,7293
5,tonyzaizai,38,0.52105,391,5.36131,7293
6,jinjianfeng-chn,37,0.50734,428,5.86864,7293
7,jackyshang12321,35,0.47991,463,6.34855,7293
8,rszwajko,35,0.47991,498,6.82847,7293
9,aishwarya25252,34,0.46620,532,7.29467,7293
10,4383,32,0.43878,564,7.73344,7293
11,sohampachpande,32,0.43878,596,8.17222,7293
12,WindNotStop,29,0.39764,625,8.56986,7293
13,mharshita,28,0.38393,653,8.95379,7293
14,mzacho,28,0.38393,681,9.33772,7293
15,zhenglinan,28,0.38393,709,9.72165,7293
16,baolsen,27,0.37022,736,10.09187,7293
17,ronyis,26,0.35651,762,10.44838,7293
18,sctb512,26,0.35651,788,10.80488,7293
19,cdeliaRH,25,0.34279,813,11.14768,7293
20,chrysan55,25,0.34279,838,11.49047,7293
21,khizunov,24,0.32908,862,11.81955,7293
22,moogzy,24,0.32908,886,12.14864,7293
23,niconorsk,24,0.32908,910,12.47772,7293
24,gjcairo,23,0.31537,933,12.79309,7293
25,jcanocan,23,0.31537,956,13.10846,7293
26,anirudhp26,22,0.30166,978,13.41012,7293
27,darthaud,22,0.30166,1000,13.71178,7293
28,demoManito,22,0.30166,1022,14.01344,7293
29,LatorreDev,22,0.30166,1044,14.31510,7293
30,shenmo3,22,0.30166,1066,14.61676,7293
31,asim-reza,21,0.28795,1087,14.90470,7293
32,YashPimple,21,0.28795,1108,15.19265,7293
33,andyatwork,20,0.27424,1128,15.46689,7293
34,i-dipanshu,20,0.27424,1148,15.74112,7293
35,Lichiehyao,20,0.27424,1168,16.01536,7293
36,philipp-hinteregger,20,0.27424,1188,16.28959,7293
37,robobario,20,0.27424,1208,16.56383,7293
38,by-d-sign,19,0.26052,1227,16.82435,7293
39,datacore-vkumar,19,0.26052,1246,17.08488,7293
40,ddd1123,19,0.26052,1265,17.34540,7293
41,mikeb26,19,0.26052,1284,17.60592,7293
42,wuyanpinguniontech,19,0.26052,1303,17.86645,7293
43,carnerito,18,0.24681,1321,18.11326,7293
44,joshleecreates,18,0.24681,1339,18.36007,7293
45,rajivharlalka,18,0.24681,1357,18.60688,7293
46,yzcyayaya,18,0.24681,1375,18.85370,7293
47,avlitman,17,0.23310,1392,19.08680,7293
48,ethanvc,17,0.23310,1409,19.31990,7293
49,mdcarr941,17,0.23310,1426,19.55300,7293
50,suprjinx,17,0.23310,1443,19.78610,7293
51,guyinyou,16,0.21939,1459,20.00548,7293
52,lavakush07,16,0.21939,1475,20.22487,7293
53,mike-pt,16,0.21939,1491,20.44426,7293
54,RangelReale,16,0.21939,1507,20.66365,7293
55,leonardomaier,15,0.20568,1522,20.86933,7293
56,Lichmaker,15,0.20568,1537,21.07500,7293
57,ruanxin,15,0.20568,1552,21.28068,7293
58,sharp-pixel,15,0.20568,1567,21.48636,7293
59,Shivaniiiiiiiiiii,15,0.20568,1582,21.69203,7293
60,uday060,15,0.20568,1597,21.89771,7293
61,bgaifullin,14,0.19196,1611,22.08968,7293
62,feihu-stripe,14,0.19196,1625,22.28164,7293
63,hirendave47,14,0.19196,1639,22.47360,7293
64,Rei1010,14,0.19196,1653,22.66557,7293
65,vibhansa-msft,14,0.19196,1667,22.85753,7293
66,vroetman,14,0.19196,1681,23.04950,7293
67,wangamel,14,0.19196,1695,23.24146,7293
68,xiaochanwang,14,0.19196,1709,23.43343,7293
69,3pings,13,0.17825,1722,23.61168,7293
70,drohnow,13,0.17825,1735,23.78994,7293
71,musingvirtual,13,0.17825,1748,23.96819,7293
72,PleasantMachine9,13,0.17825,1761,24.14644,7293
73,sfilyh,13,0.17825,1774,24.32469,7293
74,abhayanoop,12,0.16454,1786,24.48924,7293
75,Enity,12,0.16454,1798,24.65378,7293
76,fk128,12,0.16454,1810,24.81832,7293
77,Gentleelephant,12,0.16454,1822,24.98286,7293
78,JossWhittle,12,0.16454,1834,25.14740,7293
79,jyotibhanot,12,0.16454,1846,25.31194,7293
80,mayurvaid-redvest,12,0.16454,1858,25.47648,7293
81,MrSumeng,12,0.16454,1870,25.64103,7293
82,robozb,12,0.16454,1882,25.80557,7293
83,subi9,12,0.16454,1894,25.97011,7293
84,Sword-zhj,12,0.16454,1906,26.13465,7293
85,Weijun-H,12,0.16454,1918,26.29919,7293
86,adarsh500,11,0.15083,1929,26.45002,7293
87,dzane17,11,0.15083,1940,26.60085,7293
88,fireinrain,11,0.15083,1951,26.75168,7293
89,houhuijian,11,0.15083,1962,26.90251,7293
90,linjunzhe,11,0.15083,1973,27.05334,7293
91,Mahagon,11,0.15083,1984,27.20417,7293
92,pradeepjairamani,11,0.15083,1995,27.35500,7293
93,rockdrilla,11,0.15083,2006,27.50583,7293
94,sambit-sankalp,11,0.15083,2017,27.65666,7293
95,shanchenggang,11,0.15083,2028,27.80749,7293
96,Szpark,11,0.15083,2039,27.95832,7293
97,zhenyuanlau,11,0.15083,2050,28.10915,7293
98,AbdAlRahman-Odeh-99,10,0.13712,2060,28.24626,7293
99,Cull-Methi,10,0.13712,2070,28.38338,7293
100,d8660091,10,0.13712,2080,28.52050,7293
101,HaokunX-intel,10,0.13712,2090,28.65762,7293
102,Himanshu664,10,0.13712,2100,28.79473,7293
103,jpmnteiro,10,0.13712,2110,28.93185,7293
104,jsvk,10,0.13712,2120,29.06897,7293
105,kaiquerass,10,0.13712,2130,29.20609,7293
106,KasperKornak,10,0.13712,2140,29.34321,7293
107,KlausMikhaelson,10,0.13712,2150,29.48032,7293
108,LiavSlama,10,0.13712,2160,29.61744,7293
109,Longchuanzheng,10,0.13712,2170,29.75456,7293
110,melvinkcx,10,0.13712,2180,29.89168,7293
111,pawank0411,10,0.13712,2190,30.02879,7293
112,pritamfocal,10,0.13712,2200,30.16591,7293
113,renatolabs,10,0.13712,2210,30.30303,7293
114,ritch2022,10,0.13712,2220,30.44015,7293
115,sarthakkathpalia,10,0.13712,2230,30.57727,7293
116,Tizull,10,0.13712,2240,30.71438,7293
117,vaibhav135,10,0.13712,2250,30.85150,7293
118,voldemorte,10,0.13712,2260,30.98862,7293
119,yizha1,10,0.13712,2270,31.12574,7293
120,alanlekah,9,0.12341,2279,31.24914,7293
121,Boenan,9,0.12341,2288,31.37255,7293
122,djryanj,9,0.12341,2297,31.49596,7293
123,dqsully,9,0.12341,2306,31.61936,7293
124,igor-mendix,9,0.12341,2315,31.74277,7293
125,jiangjiongyu,9,0.12341,2324,31.86617,7293
126,kajogo777,9,0.12341,2333,31.98958,7293
127,Manvir-nokia,9,0.12341,2342,32.11299,7293
128,Mwad22,9,0.12341,2351,32.23639,7293
129,omarkhammassi,9,0.12341,2360,32.35980,7293
130,pigboysid,9,0.12341,2369,32.48320,7293
131,RedwineOS,9,0.12341,2378,32.60661,7293
132,sartsj,9,0.12341,2387,32.73002,7293
133,sumanmukherjee03,9,0.12341,2396,32.85342,7293
134,thed0ct0r,9,0.12341,2405,32.97683,7293
135,tusharxoxoxo,9,0.12341,2414,33.10023,7293
136,wju-MSFT,9,0.12341,2423,33.22364,7293
137,zeel-pathak,9,0.12341,2432,33.34705,7293
138,117503445,8,0.10969,2440,33.45674,7293
139,ADITYADAS1999,8,0.10969,2448,33.56643,7293
140,aim-for-better,8,0.10969,2456,33.67613,7293
141,anguisa,8,0.10969,2464,33.78582,7293
142,droppedbars,8,0.10969,2472,33.89552,7293
143,foroozf001,8,0.10969,2480,34.00521,7293
144,frdeboffles,8,0.10969,2488,34.11490,7293
145,hanselsen,8,0.10969,2496,34.22460,7293
146,jasminetMSFT,8,0.10969,2504,34.33429,7293
147,jherrman,8,0.10969,2512,34.44399,7293
148,jorgeepc,8,0.10969,2520,34.55368,7293
149,kilsilent,8,0.10969,2528,34.66338,7293
150,KirolosShehata,8,0.10969,2536,34.77307,7293
151,lpegoraro,8,0.10969,2544,34.88276,7293
152,martijnvdp,8,0.10969,2552,34.99246,7293
153,mattaltberg,8,0.10969,2560,35.10215,7293
154,MBoui,8,0.10969,2568,35.21185,7293
155,qian1166,8,0.10969,2576,35.32154,7293
156,saber1017,8,0.10969,2584,35.43124,7293
157,SealinGp,8,0.10969,2592,35.54093,7293
158,suryatejaswi89,8,0.10969,2600,35.65062,7293
159,thiagorizzo,8,0.10969,2608,35.76032,7293
160,twstewart42,8,0.10969,2616,35.87001,7293
161,u0000000021,8,0.10969,2624,35.97971,7293
162,zdxgs,8,0.10969,2632,36.08940,7293
163,AbdullahArean,7,0.09598,2639,36.18538,7293
164,bledbet,7,0.09598,2646,36.28137,7293
165,bobbyangers,7,0.09598,2653,36.37735,7293
166,brlala,7,0.09598,2660,36.47333,7293
167,caesar0301,7,0.09598,2667,36.56931,7293
168,ccunning,7,0.09598,2674,36.66530,7293
169,Chinwendu20,7,0.09598,2681,36.76128,7293
170,dhruvmaindola227,7,0.09598,2688,36.85726,7293
171,digogid,7,0.09598,2695,36.95324,7293
172,dima618,7,0.09598,2702,37.04923,7293
173,ethanrange,7,0.09598,2709,37.14521,7293
174,inlann,7,0.09598,2716,37.24119,7293
175,jdloft,7,0.09598,2723,37.33717,7293
176,jj22ee,7,0.09598,2730,37.43316,7293
177,lionello,7,0.09598,2737,37.52914,7293
178,lsiric,7,0.09598,2744,37.62512,7293
179,maciekmm,7,0.09598,2751,37.72110,7293
180,macrokernel,7,0.09598,2758,37.81708,7293
181,maia-iyer,7,0.09598,2765,37.91307,7293
182,mostafaghadimi,7,0.09598,2772,38.00905,7293
183,mrblonde91,7,0.09598,2779,38.10503,7293
184,patrik93,7,0.09598,2786,38.20101,7293
185,pawicao-ibm,7,0.09598,2793,38.29700,7293
186,sole0bserver,7,0.09598,2800,38.39298,7293
187,vk0125,7,0.09598,2807,38.48896,7293
188,yuzd,7,0.09598,2814,38.58494,7293
189,AaravBaba,6,0.08227,2820,38.66722,7293
190,akasprzok,6,0.08227,2826,38.74949,7293
191,Alehap,6,0.08227,2832,38.83176,7293
192,alexandrejulien,6,0.08227,2838,38.91403,7293
193,andrewkwok2022,6,0.08227,2844,38.99630,7293
194,bingsenmu,6,0.08227,2850,39.07857,7293
195,bitpeng,6,0.08227,2856,39.16084,7293
196,Comolli,6,0.08227,2862,39.24311,7293
197,david-christ,6,0.08227,2868,39.32538,7293
198,Devansu-Yadav,6,0.08227,2874,39.40765,7293
199,dhawal1304,6,0.08227,2880,39.48992,7293
200,DNJha,6,0.08227,2886,39.57219,7293
201,ear7h,6,0.08227,2892,39.65446,7293
202,erezweissgloat,6,0.08227,2898,39.73673,7293
203,gfrid,6,0.08227,2904,39.81900,7293
204,happlins,6,0.08227,2910,39.90128,7293
205,husimplicity,6,0.08227,2916,39.98355,7293
206,iMikeG6,6,0.08227,2922,40.06582,7293
207,JoshuaFurman,6,0.08227,2928,40.14809,7293
208,jpts,6,0.08227,2934,40.23036,7293
209,Jthomas54,6,0.08227,2940,40.31263,7293
210,kfrankli,6,0.08227,2946,40.39490,7293
211,lihaomin1010,6,0.08227,2952,40.47717,7293
212,luctowers,6,0.08227,2958,40.55944,7293
213,mabrarov,6,0.08227,2964,40.64171,7293
214,mcdoker18,6,0.08227,2970,40.72398,7293
215,mczimm,6,0.08227,2976,40.80625,7293
216,michael-cico,6,0.08227,2982,40.88852,7293
217,muhaook,6,0.08227,2988,40.97079,7293
218,nirev,6,0.08227,2994,41.05306,7293
219,oka-tan,6,0.08227,3000,41.13534,7293
220,pallasathena92,6,0.08227,3006,41.21761,7293
221,pbzweihander,6,0.08227,3012,41.29988,7293
222,phaakmat,6,0.08227,3018,41.38215,7293
223,rogue-gamer-ryt,6,0.08227,3024,41.46442,7293
224,rooque,6,0.08227,3030,41.54669,7293
225,ryan65,6,0.08227,3036,41.62896,7293
226,scotthain,6,0.08227,3042,41.71123,7293
227,SunnyAureliusRichard,6,0.08227,3048,41.79350,7293
228,surbhiahuja,6,0.08227,3054,41.87577,7293
229,tauseef-ah,6,0.08227,3060,41.95804,7293
230,TiAmoAmore,6,0.08227,3066,42.04031,7293
231,tomassitar,6,0.08227,3072,42.12258,7293
232,TYTaO,6,0.08227,3078,42.20485,7293
233,v1ferrarij,6,0.08227,3084,42.28712,7293
234,vsvastey,6,0.08227,3090,42.36940,7293
235,wudenggang,6,0.08227,3096,42.45167,7293
236,yangjuexi-ones,6,0.08227,3102,42.53394,7293
237,ybelMekk,6,0.08227,3108,42.61621,7293
238,Yh010,6,0.08227,3114,42.69848,7293
239,zengxilong,6,0.08227,3120,42.78075,7293
240,0saurabh0,5,0.06856,3125,42.84931,7293
241,3405691582,5,0.06856,3130,42.91787,7293
242,aamirali-dev,5,0.06856,3135,42.98643,7293
243,adityyaa-10,5,0.06856,3140,43.05498,7293
244,akalittle,5,0.06856,3145,43.12354,7293
245,akashjain971,5,0.06856,3150,43.19210,7293
246,AlbeeSo,5,0.06856,3155,43.26066,7293
247,alphamarket,5,0.06856,3160,43.32922,7293
248,amcginlay,5,0.06856,3165,43.39778,7293
249,amit1-100ms,5,0.06856,3170,43.46634,7293
250,ap-mx-git,5,0.06856,3175,43.53490,7293
251,atakarabt,5,0.06856,3180,43.60346,7293
252,ayandapalli,5,0.06856,3185,43.67201,7293
253,BenGatewood,5,0.06856,3190,43.74057,7293
254,bitmeal,5,0.06856,3195,43.80913,7293
