rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,ti-srebot,2604,0.30252,2604,0.30252,860782
2,nsmbot,1543,0.17926,4147,0.48177,860782
3,J0zi,1228,0.14266,5375,0.62443,860782
4,floryut,1217,0.14138,6592,0.76582,860782
5,mvalahtv,970,0.11269,7562,0.87850,860782
6,jannfis,964,0.11199,8526,0.99049,860782
7,cynthia-sg,960,0.11153,9486,1.10202,860782
8,eddynaka,947,0.11002,10433,1.21204,860782
9,dfreilich,912,0.10595,11345,1.31799,860782
10,brianpursley,849,0.09863,12194,1.41662,860782
11,natalieparellano,849,0.09863,13043,1.51525,860782
12,im-konge,843,0.09793,13886,1.61318,860782
13,brandond,788,0.09154,14674,1.70473,860782
14,celestehorgan,769,0.08934,15443,1.79407,860782
15,jakub-dzon,755,0.08771,16198,1.88178,860782
16,maiqueb,751,0.08725,16949,1.96902,860782
17,yiqigao217,737,0.08562,17686,2.05464,860782
18,whynowy,717,0.08330,18403,2.13794,860782
19,RamLavi,660,0.07667,19063,2.21461,860782
20,joshimoo,627,0.07284,19690,2.28745,860782
21,ormergi,613,0.07121,20303,2.35867,860782
22,ocelotl,589,0.06843,20892,2.42710,860782
23,ryanzhang-oss,583,0.06773,21475,2.49482,860782
24,Riaankl,555,0.06448,22030,2.55930,860782
25,ariscahyadi,542,0.06297,22572,2.62227,860782
26,prasadkatti,523,0.06076,23095,2.68303,860782
27,jean-edouard,493,0.05727,23588,2.74030,860782
28,5kbpers,491,0.05704,24079,2.79734,860782
29,dthomson25,488,0.05669,24567,2.85403,860782
30,asmacdo,478,0.05553,25045,2.90956,860782
31,gaurav1086,450,0.05228,25495,2.96184,860782
32,ovirt-infra,445,0.05170,25940,3.01354,860782
33,shuuji3,439,0.05100,26379,3.06454,860782
34,phanimarupaka,436,0.05065,26815,3.11519,860782
35,CLAassistant,431,0.05007,27246,3.16526,860782
36,M00nF1sh,421,0.04891,27667,3.21417,860782
37,saikat-royc,378,0.04391,28045,3.25808,860782
38,mum4k,377,0.04380,28422,3.30188,860782
39,corneliusweig,373,0.04333,28795,3.34521,860782
40,PhanLe1010,369,0.04287,29164,3.38808,860782
41,Little-Wallace,365,0.04240,29529,3.43049,860782
42,boknowswiki,364,0.04229,29893,3.47277,860782
43,eric846,346,0.04020,30239,3.51297,860782
44,mattcary,339,0.03938,30578,3.55235,860782
45,khushboo-rancher,335,0.03892,30913,3.59127,860782
46,puerco,334,0.03880,31247,3.63007,860782
47,tosi3k,333,0.03869,31580,3.66876,860782
48,Yisaer,330,0.03834,31910,3.70709,860782
49,agentpoyo,319,0.03706,32229,3.74415,860782
50,omeryahud,317,0.03683,32546,3.78098,860782
51,MoShitrit,316,0.03671,32862,3.81769,860782
52,Jefftree,307,0.03567,33169,3.85336,860782
53,Aneurysm9,306,0.03555,33475,3.88891,860782
54,jprzychodzen,306,0.03555,33781,3.92445,860782
55,evantorrie,301,0.03497,34082,3.95942,860782
56,Renkai,300,0.03485,34382,3.99427,860782
57,fewdan,299,0.03474,34681,4.02901,860782
58,sbailey-arm,299,0.03474,34980,4.06375,860782
59,cumason123,296,0.03439,35276,4.09813,860782
60,Shell32-Natsu,295,0.03427,35571,4.13241,860782
61,evanap,288,0.03346,35859,4.16586,860782
62,lhy1024,283,0.03288,36142,4.19874,860782
63,sanderson042,280,0.03253,36422,4.23127,860782
64,xpivarc,279,0.03241,36701,4.26368,860782
65,kennytm,278,0.03230,36979,4.29598,860782
66,florincoras,276,0.03206,37255,4.32804,860782
