rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,tnqn,3689,12.25215,3689,12.25215,30109
2,jianjuns,3413,11.33548,7102,23.58763,30109
3,lzhecheng,2381,7.90793,9483,31.49557,30109
4,srikartati,1378,4.57670,10861,36.07227,30109
5,weiqiangt,1313,4.36082,12174,40.43309,30109
6,Dyanngg,1293,4.29440,13467,44.72749,30109
7,ruicao93,973,3.23159,14440,47.95908,30109
8,suwang48404,687,2.28171,15127,50.24079,30109
9,gran-vmv,672,2.23189,15799,52.47268,30109
10,mengdie-song,556,1.84662,16355,54.31931,30109
11,ksamoray,421,1.39825,16776,55.71756,30109
12,dreamtalen,350,1.16244,17126,56.88000,30109
13,zyiou,320,1.06281,17446,57.94281,30109
14,GraysonWu,318,1.05616,17764,58.99897,30109
15,ZhangYW18,314,1.04288,18078,60.04185,30109
16,hongliangl,223,0.74064,18301,60.78249,30109
17,lxiaopei,175,0.58122,18476,61.36371,30109
18,McCodeman,171,0.56794,18647,61.93165,30109
19,edwardbadboy,137,0.45501,18784,62.38666,30109
20,AbdYsn,123,0.40852,18907,62.79518,30109
21,reachjainrahul,108,0.35870,19015,63.15387,30109
22,monotosh-avi,102,0.33877,19117,63.49264,30109
23,liu4480,77,0.25574,19194,63.74838,30109
24,ceclinux,65,0.21588,19259,63.96426,30109
25,siddhant94,53,0.17603,19312,64.14029,30109
26,MatthewHinton56,46,0.15278,19358,64.29307,30109
27,hemantavi,45,0.14946,19403,64.44253,30109
28,luolanzone,44,0.14614,19447,64.58866,30109
29,shubhamavi,40,0.13285,19487,64.72151,30109
30,qiyueyao,38,0.12621,19525,64.84772,30109
31,xliuxu,37,0.12289,19562,64.97061,30109
32,heanlan,31,0.10296,19593,65.07357,30109
33,theshubhamp,24,0.07971,19617,65.15328,30109
34,vicky-liu,24,0.07971,19641,65.23299,30109
35,ccbayer,20,0.06643,19661,65.29941,30109
36,wenqiq,20,0.06643,19681,65.36584,30109
