rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,iyangsj,1314,68.54460,1314,68.54460,1917
2,xiaofei0800,83,4.32968,1397,72.87428,1917
3,lcmmhcc,47,2.45175,1444,75.32603,1917
4,tianxinheihei,47,2.45175,1491,77.77778,1917
5,shanhuhai5739,42,2.19092,1533,79.96870,1917
6,kaiyuzheng,37,1.93010,1570,81.89880,1917
7,CLAassistant,31,1.61711,1601,83.51591,1917
8,arlingtonroad,28,1.46062,1629,84.97653,1917
9,yangqingxin1993,28,1.46062,1657,86.43714,1917
10,claassistantio,18,0.93897,1675,87.37611,1917
11,liuximu,17,0.88680,1692,88.26291,1917
12,lx-or-xxxl,17,0.88680,1709,89.14971,1917
13,liuzheng,13,0.67814,1722,89.82786,1917
14,zhanghaobin,13,0.67814,1735,90.50600,1917
15,ilujiez,12,0.62598,1747,91.13198,1917
16,Tovi163,10,0.52165,1757,91.65363,1917
17,ztf214,9,0.46948,1766,92.12311,1917
18,freeHackOfJeff,6,0.31299,1772,92.43610,1917
19,liuxiaoli007,6,0.31299,1778,92.74909,1917
20,macotutu,6,0.31299,1784,93.06208,1917
21,u5surf,6,0.31299,1790,93.37507,1917
22,yanshuai615270,6,0.31299,1796,93.68805,1917
23,lxiaozhic,5,0.26082,1801,93.94888,1917
24,solio,5,0.26082,1806,94.20970,1917
25,willzhujian,5,0.26082,1811,94.47053,1917
26,xiaocongwjb,5,0.26082,1816,94.73135,1917
27,azura27,3,0.15649,1819,94.88785,1917
28,CHneger,3,0.15649,1822,95.04434,1917
29,cumirror,3,0.15649,1825,95.20083,1917
30,LeroChen,3,0.15649,1828,95.35733,1917
31,membphis,3,0.15649,1831,95.51382,1917
32,mileszhang2016,3,0.15649,1834,95.67032,1917
33,NKztq,3,0.15649,1837,95.82681,1917
34,silentred,3,0.15649,1840,95.98331,1917
35,songlong,3,0.15649,1843,96.13980,1917
36,WJTian,3,0.15649,1846,96.29630,1917
37,zjw940419,3,0.15649,1849,96.45279,1917
38,0xflotus,2,0.10433,1851,96.55712,1917
39,aixiaoxiang,2,0.10433,1853,96.66145,1917
40,calify,2,0.10433,1855,96.76578,1917
41,coder081,2,0.10433,1857,96.87011,1917
42,coderliux,2,0.10433,1859,96.97444,1917
43,daimg,2,0.10433,1861,97.07877,1917
44,gangsikunchong,2,0.10433,1863,97.18310,1917
45,jansci621,2,0.10433,1865,97.28743,1917
46,kodo-0000,2,0.10433,1867,97.39176,1917
47,nitishm,2,0.10433,1869,97.49609,1917
48,Q-Zhan,2,0.10433,1871,97.60042,1917
49,seanchen1991,2,0.10433,1873,97.70475,1917
50,weixiao619,2,0.10433,1875,97.80908,1917
51,45736735,1,0.05216,1876,97.86124,1917
52,acyouzi,1,0.05216,1877,97.91341,1917
53,akaxb,1,0.05216,1878,97.96557,1917
54,anlinsa,1,0.05216,1879,98.01774,1917
55,anotherwriter,1,0.05216,1880,98.06990,1917
56,clh651188968,1,0.05216,1881,98.12207,1917
57,d-cs,1,0.05216,1882,98.17423,1917
58,Dut-YangLiu,1,0.05216,1883,98.22640,1917
59,flyanna,1,0.05216,1884,98.27856,1917
60,flyzhang007,1,0.05216,1885,98.33073,1917
61,Galvin-wjw,1,0.05216,1886,98.38289,1917
62,gavinhot,1,0.05216,1887,98.43505,1917
63,giantchou,1,0.05216,1888,98.48722,1917
64,goldfish-fish,1,0.05216,1889,98.53938,1917
65,goodforever,1,0.05216,1890,98.59155,1917
66,guolu60,1,0.05216,1891,98.64371,1917
67,HackerDotCN,1,0.05216,1892,98.69588,1917
68,haozi-dev,1,0.05216,1893,98.74804,1917
69,jianhuihi,1,0.05216,1894,98.80021,1917
70,JunyiHe,1,0.05216,1895,98.85237,1917
71,keminshu,1,0.05216,1896,98.90454,1917
72,kidleaf-jiang,1,0.05216,1897,98.95670,1917
73,lemonlinger,1,0.05216,1898,99.00887,1917
74,lewisay,1,0.05216,1899,99.06103,1917
75,lhtlp1997,1,0.05216,1900,99.11320,1917
76,limeix,1,0.05216,1901,99.16536,1917
77,MoonShining,1,0.05216,1902,99.21753,1917
78,R1hug0,1,0.05216,1903,99.26969,1917
79,scriptkids,1,0.05216,1904,99.32186,1917
80,two,1,0.05216,1905,99.37402,1917
81,wangfakang,1,0.05216,1906,99.42619,1917
82,wanjiecs,1,0.05216,1907,99.47835,1917
83,xingzheone,1,0.05216,1908,99.53052,1917
84,y4kGh0,1,0.05216,1909,99.58268,1917
85,YuqiXiao,1,0.05216,1910,99.63485,1917
86,zhangjimmy,1,0.05216,1911,99.68701,1917
87,zhugelianglongming,1,0.05216,1912,99.73918,1917
88,zops,1,0.05216,1913,99.79134,1917
