Date,All Not Found,All Found,All Not Checked,CNCF Not Found,CNCF Found,CNCF Not Checked
2017-10-27,122,3505,664,122,3502,664
2017-10-28,106,3701,500,106,3698,500
2017-10-29,105,3724,479,105,3721,479
2017-10-30,100,3800,413,100,3797,413
2017-11-01,2017-10-31,122,3505,664,122,3502,664
2017-11-02,82,3955,357,82,3952,357
2017-11-03,122,3550,682,122,3547,682
2017-11-04,85,4014,998,85,4010,998
2017-11-05,88,3971,998,88,3967,998
2017-11-06,88,3971,998,88,3967,998
2017-11-07,110,4135,904,110,4131,904
2017-11-08,107,4163,903,107,4159,903
2017-11-13,106,4164,903,106,4160,903
2017-11-14,106,4164,903,106,4160,903
2017-11-16,106,4164,903,106,4160,903
2017-11-20,106,4164,903,106,4160,903
2017-11-21,106,4208,1028,106,4204,1028
2017-11-22,106,4208,1028,106,4204,1028
2017-11-23,111,4344,11510,111,4340,11509
2017-11-24,111,4342,11511,111,4338,11510
2017-11-28,111,4342,11511,111,4338,11510
2017-12-04,111,4342,11511,111,4338,11510
2017-12-18,111,4342,11511,111,4338,11510
2017-12-19,111,4354,11498,111,4350,11497
2017-12-20,111,4354,11498,111,4350,11497
2017-12-21,102,4570,13726,102,4566,13724
2017-12-22,102,4668,13626,102,4664,13624
2017-12-27,102,4668,13626,102,4664,13624
2017-12-29,102,4668,13626,102,4664,13624
2018-01-02,102,4668,13626,102,4664,13624
2018-01-04,101,4825,19137,101,4821,19135
2018-01-05,101,5142,18790,101,5138,18788
2018-01-10,102,5217,18739,102,5213,18737
2018-01-11,103,5915,19452,103,5911,19449
2018-01-12,115,5977,19403,115,5973,19400
2018-01-15,115,5978,19402,115,5974,19399
2018-01-16,115,6082,19315,115,6078,19312
2018-01-17,116,6081,19315,116,6077,19312
2018-01-18,116,6090,19310,116,6086,19307
2018-01-19,103,6555,18885,103,6551,18882
2018-01-22,103,6565,18876,103,6561,18873
2018-01-24,103,6587,18854,103,6583,18851
2018-01-26,103,6667,20205,103,6663,20202
2018-01-27,100,7970,19152,100,7966,19149
2018-01-29,100,7973,19150,100,7969,19147
2018-02-02,100,7973,19150,100,7969,19147
2018-02-05,100,7977,19146,100,7973,19143
2018-02-08,100,7977,19146,100,7973,19143
2018-02-09,105,8532,20471,105,8487,20261
2018-02-14,105,8579,20443,105,8534,20233
2018-02-27,105,8579,20443,105,8534,20233
2018-03-02,105,8579,20443,105,8534,20233
2018-03-12,105,8579,20443,105,8534,20233
2018-03-13,104,8836,22324,104,8777,22120
2018-03-15,104,8836,22324,104,8777,22120
2018-03-16,104,8836,22323,104,8777,22119
2018-04-09,104,8836,22323,104,8777,22119
2018-04-12,104,8833,22323,104,8774,22119
2018-04-16,104,8833,22323,104,8774,22119
2018-04-17,104,9006,24142,104,8947,23932
2018-04-20,104,9021,24145,104,8962,23935
2018-04-21,104,9012,24146,104,8953,23936
2018-04-27,104,9012,24146,104,8953,23936
2018-05-07,104,9012,24146,104,8953,23936
2018-05-08,104,9014,24146,104,8955,23936
2018-05-16,104,9014,24146,104,8955,23936
2018-05-17,104,9014,24146,104,8955,23936
2018-05-22,104,9014,24146,104,8955,23936
2018-05-23,104,9016,24146,104,8957,23936
2018-05-24,104,9358,27115,104,9163,25948
2018-05-29,104,9358,27115,104,9163,25948
2018-05-30,103,9362,27113,103,9167,25946
2018-06-05,103,9362,27113,103,9167,25946
2018-06-06,102,9393,27098,102,9198,25931
2018-06-07,102,9778,27794,102,9539,26616
2018-06-12,102,9778,27794,102,9539,26616
2018-06-18,102,9778,27794,102,9539,26616
2018-07-06,102,9778,27794,102,9539,26616
2018-07-09,102,9778,27794,102,9539,26616
2018-07-10,102,9786,27793,102,9547,26615
2018-07-11,101,10356,30293,101,10110,29077
