rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,antmoveh,455,49.34924,455,49.34924,922
2,zhangkai8048,159,17.24512,614,66.59436,922
3,fanhaouu,63,6.83297,677,73.42733,922
4,guolong123,24,2.60304,701,76.03037,922
5,duanhongyi,15,1.62690,716,77.65727,922
6,TensShinet,7,0.75922,723,78.41649,922
7,zwForrest,6,0.65076,729,79.06725,922
8,fanzetian,4,0.43384,733,79.50108,922
9,WulixuanS,4,0.43384,737,79.93492,922
10,TonyZZhang,3,0.32538,740,80.26030,922
11,bocloudofficial,2,0.21692,742,80.47722,922
12,CarlJi,2,0.21692,744,80.69414,922
13,fanhaozzu,2,0.21692,746,80.91106,922
14,oasis-io,2,0.21692,748,81.12798,922
15,ymwang7,2,0.21692,750,81.34490,922
16,cheyuexian,1,0.10846,751,81.45336,922
17,inviscid,1,0.10846,752,81.56182,922
18,jacksun8848,1,0.10846,753,81.67028,922
19,jimorsm,1,0.10846,754,81.77874,922
20,projectfabric,1,0.10846,755,81.88720,922
21,taozix,1,0.10846,756,81.99566,922
22,yuexian1234,1,0.10846,757,82.10412,922
