rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,cppforlife,8541,23.33543,8541,23.33543,36601
2,joe-kimmel-vmw,1337,3.65291,9878,26.98833,36601
3,gcheadle-vmware,1235,3.37422,11113,30.36256,36601
4,rohitagg2020,1061,2.89883,12174,33.26139,36601
5,neil-hickey,1050,2.86877,13224,36.13016,36601
6,sethiyash,860,2.34966,14084,38.47982,36601
7,cari-lynn,840,2.29502,14924,40.77484,36601
8,jbrunton,431,1.17756,15355,41.95241,36601
9,StevenLocke,430,1.17483,15785,43.12724,36601
10,microwavables,423,1.15571,16208,44.28294,36601
11,renuy,381,1.04096,16589,45.32390,36601
12,kumaritanushree,325,0.88795,16914,46.21185,36601
13,vmunishwar,213,0.58195,17127,46.79380,36601
14,jtigger,192,0.52458,17319,47.31838,36601
15,pivotal-dean,136,0.37157,17455,47.68995,36601
16,adriens,124,0.33879,17579,48.02874,36601
17,vibhas,110,0.30054,17689,48.32928,36601
18,pivotal-issuemaster,102,0.27868,17791,48.60796,36601
19,braunsonm,67,0.18306,17858,48.79102,36601
20,mhoshi-vm,59,0.16120,17917,48.95221,36601
21,peterfeifanchen,48,0.13114,17965,49.08336,36601
22,iamhsk,43,0.11748,18008,49.20084,36601
23,showpune,43,0.11748,18051,49.31832,36601
24,gmrodgers,42,0.11475,18093,49.43308,36601
25,criztovyl,39,0.10655,18132,49.53963,36601
26,WnP,36,0.09836,18168,49.63799,36601
27,erSitzt,28,0.07650,18196,49.71449,36601
28,YugangW,28,0.07650,18224,49.79099,36601
29,universam1,26,0.07104,18250,49.86203,36601
30,ciriarte,25,0.06830,18275,49.93033,36601
31,cliuj,23,0.06284,18298,49.99317,36601
32,guludo,21,0.05738,18319,50.05055,36601
33,linkdd,21,0.05738,18340,50.10792,36601
34,meier-christoph,20,0.05464,18360,50.16256,36601
35,aknysh,18,0.04918,18378,50.21174,36601
36,Birdrock,18,0.04918,18396,50.26092,36601
37,Zebradil,18,0.04918,18414,50.31010,36601
38,shaheerkootteeri,16,0.04371,18430,50.35382,36601
39,blc1996,15,0.04098,18445,50.39480,36601
40,pavel-khritonenko,15,0.04098,18460,50.43578,36601
41,revolunet,15,0.04098,18475,50.47676,36601
42,EdwinWalela,14,0.03825,18489,50.51501,36601
43,leonard520,12,0.03279,18501,50.54780,36601
44,LukeWinikates,12,0.03279,18513,50.58059,36601
45,Naatan,12,0.03279,18525,50.61337,36601
46,Atharva321,11,0.03005,18536,50.64343,36601
47,jamespollard8,11,0.03005,18547,50.67348,36601
48,kdvolder,11,0.03005,18558,50.70353,36601
49,mohansitaram,11,0.03005,18569,50.73359,36601
50,ramkrishna2k3,11,0.03005,18580,50.76364,36601
51,arfiqbal,10,0.02732,18590,50.79096,36601
52,ciis0,10,0.02732,18600,50.81828,36601
53,galamiram,10,0.02732,18610,50.84561,36601
54,Hugal31,10,0.02732,18620,50.87293,36601
55,ig0rsky,10,0.02732,18630,50.90025,36601
56,joelholmes,10,0.02732,18640,50.92757,36601
57,robertgraeff,10,0.02732,18650,50.95489,36601
58,benjvi,9,0.02459,18659,50.97948,36601
