rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,hzhou97,214,0.87002,214,0.87002,24597
2,DanielMorsing,145,0.58950,359,1.45953,24597
3,cheukwing,113,0.45941,472,1.91893,24597
4,james-w,110,0.44721,582,2.36614,24597
5,cpu,57,0.23174,639,2.59788,24597
6,vdesjardins,49,0.19921,688,2.79709,24597
7,srbraun,40,0.16262,728,2.95971,24597
8,splashx,39,0.15856,767,3.11827,24597
9,badie,37,0.15042,804,3.26869,24597
10,bbzg,34,0.13823,838,3.40692,24597
11,Evesy,34,0.13823,872,3.54515,24597
12,kinolaev,30,0.12197,902,3.66711,24597
13,dl00,27,0.10977,929,3.77688,24597
14,dontreboot,27,0.10977,956,3.88665,24597
15,Crystal-Chun,22,0.08944,978,3.97609,24597
16,HeWhoWas,22,0.08944,1000,4.06554,24597
17,leiw324,22,0.08944,1022,4.15498,24597
18,sam-cogan,22,0.08944,1044,4.24442,24597
19,johanfleury,21,0.08538,1065,4.32980,24597
20,juliohm1978,21,0.08538,1086,4.41517,24597
21,maelvls,21,0.08538,1107,4.50055,24597
22,san360,19,0.07725,1126,4.57779,24597
23,ankitsoni17-png,18,0.07318,1144,4.65097,24597
24,davidzhr,18,0.07318,1162,4.72415,24597
25,vniche,18,0.07318,1180,4.79733,24597
26,kyle-winkelman,17,0.06911,1197,4.86645,24597
27,Richard87,17,0.06911,1214,4.93556,24597
28,zeeZ,17,0.06911,1231,5.00468,24597
29,CoaxVex,16,0.06505,1247,5.06972,24597
30,filipweidemann,16,0.06505,1263,5.13477,24597
31,jslay88,16,0.06505,1279,5.19982,24597
32,tlmiller,16,0.06505,1295,5.26487,24597
33,greywolve,15,0.06098,1310,5.32585,24597
34,kingdonb,15,0.06098,1325,5.38684,24597
35,raphink,15,0.06098,1340,5.44782,24597
36,thebigredgeek,15,0.06098,1355,5.50880,24597
37,arnoldbechtoldt,14,0.05692,1369,5.56572,24597
38,gwaines,14,0.05692,1383,5.62264,24597
39,jfrancisco0,14,0.05692,1397,5.67955,24597
40,JGodin-C2C,14,0.05692,1411,5.73647,24597
41,so-jelly,14,0.05692,1425,5.79339,24597
42,gparvin,13,0.05285,1438,5.84624,24597
43,JCzz,13,0.05285,1451,5.89909,24597
44,lrolaz,13,0.05285,1464,5.95195,24597
45,nefischer,13,0.05285,1477,6.00480,24597
46,stuarthu,13,0.05285,1490,6.05765,24597
47,030,12,0.04879,1502,6.10644,24597
48,arykalin,12,0.04879,1514,6.15522,24597
49,grzechukol,12,0.04879,1526,6.20401,24597
50,hemslo,12,0.04879,1538,6.25280,24597
51,Justkant,12,0.04879,1550,6.30158,24597
52,Ps3ud-0nym,12,0.04879,1562,6.35037,24597
53,fuel-wlightning,11,0.04472,1573,6.39509,24597
54,holmesb,11,0.04472,1584,6.43981,24597
55,JulienBreux,11,0.04472,1595,6.48453,24597
56,mltsy,11,0.04472,1606,6.52925,24597
57,tikael1011,11,0.04472,1617,6.57397,24597
58,altreze,10,0.04066,1627,6.61463,24597
59,bgarcial,10,0.04066,1637,6.65528,24597
60,cyrus-mc,10,0.04066,1647,6.69594,24597
61,damienwebdev,10,0.04066,1657,6.73659,24597
62,Diaphteiros,10,0.04066,1667,6.77725,24597
63,jeremy-duckworth,10,0.04066,1677,6.81790,24597
64,micw,10,0.04066,1687,6.85856,24597
65,mikebridge,10,0.04066,1697,6.89922,24597
66,mtpereira,10,0.04066,1707,6.93987,24597
67,oninoshiko,10,0.04066,1717,6.98053,24597
68,r-divakaran,10,0.04066,1727,7.02118,24597
69,simonkey007,10,0.04066,1737,7.06184,24597
70,sinethra,10,0.04066,1747,7.10249,24597
71,sudhindra-hub,10,0.04066,1757,7.14315,24597
72,TheKangaroo,10,0.04066,1767,7.18380,24597
73,timfeirg,10,0.04066,1777,7.22446,24597
74,woodwardmatt,10,0.04066,1787,7.26511,24597
75,chojnack,9,0.03659,1796,7.30170,24597
76,Cyanopus,9,0.03659,1805,7.33829,24597
77,digitalkaoz,9,0.03659,1814,7.37488,24597
78,dleute,9,0.03659,1823,7.41147,24597
79,elcolie,9,0.03659,1832,7.44806,24597
80,galvesribeiro,9,0.03659,1841,7.48465,24597
81,jai,9,0.03659,1850,7.52124,24597
82,johndietz,9,0.03659,1859,7.55783,24597
83,lucendio,9,0.03659,1868,7.59442,24597
84,MatthiasLohr,9,0.03659,1877,7.63101,24597
85,McShauno,9,0.03659,1886,7.66760,24597
86,metrictwo,9,0.03659,1895,7.70419,24597
87,mmckane,9,0.03659,1904,7.74078,24597
88,ndemeshchenko,9,0.03659,1913,7.77737,24597
89,PirateBread,9,0.03659,1922,7.81396,24597
90,primeroz,9,0.03659,1931,7.85055,24597
91,rodrigdav,9,0.03659,1940,7.88714,24597
92,s-newman,9,0.03659,1949,7.92373,24597
93,steigr,9,0.03659,1958,7.96032,24597
94,subesokun,9,0.03659,1967,7.99691,24597
95,supriya-premkumar,9,0.03659,1976,8.03350,24597
96,tettaji,9,0.03659,1985,8.07009,24597
97,WesCossick,9,0.03659,1994,8.10668,24597
98,archonic,8,0.03252,2002,8.13920,24597
99,ckotzbauer,8,0.03252,2010,8.17173,24597
100,devdattakulkarni,8,0.03252,2018,8.20425,24597
101,dr4Ke,8,0.03252,2026,8.23678,24597
102,frankh,8,0.03252,2034,8.26930,24597
103,haines,8,0.03252,2042,8.30183,24597
104,hendrikhalkow,8,0.03252,2050,8.33435,24597
105,HoogWater,8,0.03252,2058,8.36687,24597
106,kotyara85,8,0.03252,2066,8.39940,24597
107,kranthikirang,8,0.03252,2074,8.43192,24597
108,MichaelOrtho,8,0.03252,2082,8.46445,24597
109,michaelosthege,8,0.03252,2090,8.49697,24597
110,mitsumaui,8,0.03252,2098,8.52950,24597
111,mschickervxob,8,0.03252,2106,8.56202,24597
112,muzuro,8,0.03252,2114,8.59454,24597
113,nabsul,8,0.03252,2122,8.62707,24597
114,obriensystems,8,0.03252,2130,8.65959,24597
115,peopzen,8,0.03252,2138,8.69212,24597
116,rakkum,8,0.03252,2146,8.72464,24597
117,rayfoss,8,0.03252,2154,8.75717,24597
118,Romiko,8,0.03252,2162,8.78969,24597
119,sramek5,8,0.03252,2170,8.82221,24597
120,stefan-kolb,8,0.03252,2178,8.85474,24597
121,tlycken,8,0.03252,2186,8.88726,24597
122,vhurtevent,8,0.03252,2194,8.91979,24597
123,wmgroot,8,0.03252,2202,8.95231,24597
124,4ss3g4f,7,0.02846,2209,8.98077,24597
125,andrexus,7,0.02846,2216,9.00923,24597
126,bjg2,7,0.02846,2223,9.03769,24597
127,casiodk,7,0.02846,2230,9.06615,24597
128,domfaber,7,0.02846,2237,9.09461,24597
129,dstdfx,7,0.02846,2244,9.12306,24597
130,fgrehm,7,0.02846,2251,9.15152,24597
131,floyd-may,7,0.02846,2258,9.17998,24597
132,fsniper,7,0.02846,2265,9.20844,24597
133,gargrag,7,0.02846,2272,9.23690,24597
134,gitnik,7,0.02846,2279,9.26536,24597
135,gudipudipradeep,7,0.02846,2286,9.29382,24597
