rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,tiny-x,582,15.54072,582,15.54072,3745
2,RinaisSuper,74,1.97597,656,17.51669,3745
3,arthur657834,44,1.17490,700,18.69159,3745
4,yixy,37,0.98798,737,19.67957,3745
5,jievince,24,0.64085,761,20.32043,3745
6,mariodu,24,0.64085,785,20.96128,3745
7,heqg,23,0.61415,808,21.57543,3745
8,mingcheng,22,0.58745,830,22.16288,3745
9,MandssS,20,0.53405,850,22.69693,3745
10,No-sleeping,15,0.40053,865,23.09746,3745
11,530868610,14,0.37383,879,23.47130,3745
12,aspnetdb,13,0.34713,892,23.81842,3745
13,bryanYao,13,0.34713,905,24.16555,3745
14,gentleyu,12,0.32043,917,24.48598,3745
15,hqwhqwhq,12,0.32043,929,24.80641,3745
16,MistShi,12,0.32043,941,25.12684,3745
17,itcai,11,0.29372,952,25.42056,3745
18,tangyuhan0816,11,0.29372,963,25.71429,3745
19,theodorezz,11,0.29372,974,26.00801,3745
20,ycwdaaaa,11,0.29372,985,26.30174,3745
21,zuoc,11,0.29372,996,26.59546,3745
22,alisanguo,10,0.26702,1006,26.86248,3745
23,dreamquster,10,0.26702,1016,27.12951,3745
24,Grrui,10,0.26702,1026,27.39653,3745
25,guohz-git,10,0.26702,1036,27.66355,3745
26,hechuan73,10,0.26702,1046,27.93057,3745
27,JangNum,10,0.26702,1056,28.19760,3745
28,smileyLuckychen,10,0.26702,1066,28.46462,3745
29,Swarag-N,10,0.26702,1076,28.73164,3745
30,wanglinan133,10,0.26702,1086,28.99866,3745
31,carolwu-1206,9,0.24032,1095,29.23899,3745
32,douxiaoniu77,9,0.24032,1104,29.47931,3745
33,leonardo669,9,0.24032,1113,29.71963,3745
34,SunMuxin,9,0.24032,1122,29.95995,3745
35,WillYan881118,9,0.24032,1131,30.20027,3745
36,xueshaoyi,9,0.24032,1140,30.44059,3745
37,zeuskim,9,0.24032,1149,30.68091,3745
38,akaroka,8,0.21362,1157,30.89453,3745
39,canyuns,8,0.21362,1165,31.10814,3745
40,quanwenqi2,8,0.21362,1173,31.32176,3745
41,Cenyol,7,0.18692,1180,31.50868,3745
42,kounijiwa,7,0.18692,1187,31.69559,3745
43,lcwus2,7,0.18692,1194,31.88251,3745
44,mCapricorn,7,0.18692,1201,32.06943,3745
45,Oliver-zou,7,0.18692,1208,32.25634,3745
46,owen2016,7,0.18692,1215,32.44326,3745
47,pchandrasekhar210893,7,0.18692,1222,32.63017,3745
48,renguangyin,7,0.18692,1229,32.81709,3745
49,sjha2048,7,0.18692,1236,33.00401,3745
50,Vascal,7,0.18692,1243,33.19092,3745
51,anje123,6,0.16021,1249,33.35113,3745
52,auyang-0626,6,0.16021,1255,33.51135,3745
53,chjh0612,6,0.16021,1261,33.67156,3745
54,coyzeng,6,0.16021,1267,33.83178,3745
55,cyemars,6,0.16021,1273,33.99199,3745
56,CZacker,6,0.16021,1279,34.15220,3745
57,DLive,6,0.16021,1285,34.31242,3745
58,jenson93,6,0.16021,1291,34.47263,3745
59,Li-Vincent,6,0.16021,1297,34.63284,3745
60,ray110,6,0.16021,1303,34.79306,3745
61,saikei,6,0.16021,1309,34.95327,3745
62,sequarius,6,0.16021,1315,35.11348,3745
63,smasterfree,6,0.16021,1321,35.27370,3745
64,Yuaninga,6,0.16021,1327,35.43391,3745
65,yuanzhanyan,6,0.16021,1333,35.59413,3745
66,AnyuanLuo,5,0.13351,1338,35.72764,3745
67,donngchao,5,0.13351,1343,35.86115,3745
68,evetony,5,0.13351,1348,35.99466,3745
69,Frankzhaopku,5,0.13351,1353,36.12817,3745
70,haowei0515,5,0.13351,1358,36.26168,3745
71,iwtbs,5,0.13351,1363,36.39519,3745
72,johngerwong,5,0.13351,1368,36.52870,3745
73,lqy222,5,0.13351,1373,36.66222,3745
74,pengpj,5,0.13351,1378,36.79573,3745
75,seamusdlut,5,0.13351,1383,36.92924,3745
76,Stool233,5,0.13351,1388,37.06275,3745
77,yangsr,5,0.13351,1393,37.19626,3745
78,accumulatepig,4,0.10681,1397,37.30307,3745
79,baiyanquan,4,0.10681,1401,37.40988,3745
80,Butterfly100,4,0.10681,1405,37.51669,3745
81,chenhy97,4,0.10681,1409,37.62350,3745
82,cosmic-jc,4,0.10681,1413,37.73031,3745
83,Cplo,4,0.10681,1417,37.83712,3745
84,gotoworld,4,0.10681,1421,37.94393,3745
85,HiJasper,4,0.10681,1425,38.05073,3745
86,jack-yang-Xia,4,0.10681,1429,38.15754,3745
87,Kaushl2208,4,0.10681,1433,38.26435,3745
88,liwx2000,4,0.10681,1437,38.37116,3745
89,Mountaincnc,4,0.10681,1441,38.47797,3745
90,nannan1204,4,0.10681,1445,38.58478,3745
91,nkguoym,4,0.10681,1449,38.69159,3745
92,pierre94,4,0.10681,1453,38.79840,3745
93,raygenyang,4,0.10681,1457,38.90521,3745
94,regend,4,0.10681,1461,39.01202,3745
95,SakuraGaara,4,0.10681,1465,39.11883,3745
96,seshenli,4,0.10681,1469,39.22563,3745
97,xiafix,4,0.10681,1473,39.33244,3745
98,zhyErick,4,0.10681,1477,39.43925,3745
99,120742056,3,0.08011,1480,39.51936,3745
100,bmbbms,3,0.08011,1483,39.59947,3745
101,Captionofcody,3,0.08011,1486,39.67957,3745
102,che1995,3,0.08011,1489,39.75968,3745
103,idbeta,3,0.08011,1492,39.83979,3745
104,invalid-email-address,3,0.08011,1495,39.91989,3745
105,JackGzj,3,0.08011,1498,40.00000,3745
106,jacksparrow414,3,0.08011,1501,40.08011,3745
107,jdchaosblade,3,0.08011,1504,40.16021,3745
108,lanixzcj,3,0.08011,1507,40.24032,3745
109,lvchazaizai,3,0.08011,1510,40.32043,3745
110,lwsbox,3,0.08011,1513,40.40053,3745
111,niaoshuai,3,0.08011,1516,40.48064,3745
112,nic-6443,3,0.08011,1519,40.56075,3745
113,Qyw-a,3,0.08011,1522,40.64085,3745
114,Romeoding,3,0.08011,1525,40.72096,3745
115,shenbimaniang,3,0.08011,1528,40.80107,3745
116,sniperking,3,0.08011,1531,40.88117,3745
117,SparkandScala,3,0.08011,1534,40.96128,3745
118,tomknock,3,0.08011,1537,41.04139,3745
119,wulixiaobo,3,0.08011,1540,41.12150,3745
120,x22x22,3,0.08011,1543,41.20160,3745
121,yaoyuandota,3,0.08011,1546,41.28171,3745
122,ZhangYuJuan,3,0.08011,1549,41.36182,3745
123,zzzzx10,3,0.08011,1552,41.44192,3745
124,1964405262,2,0.05340,1554,41.49533,3745
125,865428222,2,0.05340,1556,41.54873,3745
126,ahlfors,2,0.05340,1558,41.60214,3745
127,anyuan95,2,0.05340,1560,41.65554,3745
128,ash-man,2,0.05340,1562,41.70895,3745
129,benyingY,2,0.05340,1564,41.76235,3745
130,boomblog,2,0.05340,1566,41.81575,3745
131,Braavos96,2,0.05340,1568,41.86916,3745
132,chenzhenyang,2,0.05340,1570,41.92256,3745
133,cyxroot,2,0.05340,1572,41.97597,3745
134,DontGiveUpWJ,2,0.05340,1574,42.02937,3745
135,Draymonders,2,0.05340,1576,42.08278,3745
136,gefranks,2,0.05340,1578,42.13618,3745
137,HakunamatataLeo,2,0.05340,1580,42.18959,3745
138,Harmattan322,2,0.05340,1582,42.24299,3745
139,hhstu,2,0.05340,1584,42.29640,3745
140,JFRabbit,2,0.05340,1586,42.34980,3745
141,konglz,2,0.05340,1588,42.40320,3745
142,kulallwang,2,0.05340,1590,42.45661,3745
143,laixintao,2,0.05340,1592,42.51001,3745
144,LeeNobita,2,0.05340,1594,42.56342,3745
145,lizhen1412,2,0.05340,1596,42.61682,3745
146,LouisSum,2,0.05340,1598,42.67023,3745
147,monkeywithacupcake,2,0.05340,1600,42.72363,3745
148,my1free,2,0.05340,1602,42.77704,3745
149,niuxiaojie81,2,0.05340,1604,42.83044,3745
150,qqqqjiayu,2,0.05340,1606,42.88385,3745
151,sparrow629,2,0.05340,1608,42.93725,3745
152,tutorguai,2,0.05340,1610,42.99065,3745
153,ueddieu,2,0.05340,1612,43.04406,3745
154,WANGJIANGA,2,0.05340,1614,43.09746,3745
155,Warkeeper,2,0.05340,1616,43.15087,3745
156,wmfwings,2,0.05340,1618,43.20427,3745
157,XGameCloud,2,0.05340,1620,43.25768,3745
158,xiangy0809,2,0.05340,1622,43.31108,3745
159,xiejiashuai,2,0.05340,1624,43.36449,3745
160,yewenchen,2,0.05340,1626,43.41789,3745
161,yinggoga,2,0.05340,1628,43.47130,3745
162,youngw86,2,0.05340,1630,43.52470,3745
163,zandwang,2,0.05340,1632,43.57810,3745
164,zerothree,2,0.05340,1634,43.63151,3745
165,zixingkong,2,0.05340,1636,43.68491,3745
166,13691432320,1,0.02670,1637,43.71162,3745
167,AayushTyagi1,1,0.02670,1638,43.73832,3745
168,ab91963931372,1,0.02670,1639,43.76502,3745
169,aioloszcy,1,0.02670,1640,43.79172,3745
170,anbaoyong,1,0.02670,1641,43.81842,3745
171,anubhavsingh16,1,0.02670,1642,43.84513,3745
172,apollodafoni,1,0.02670,1643,43.87183,3745
173,banghuaji,1,0.02670,1644,43.89853,3745
174,barrybbb,1,0.02670,1645,43.92523,3745
175,BigOranges2,1,0.02670,1646,43.95194,3745
176,caizhichao666,1,0.02670,1647,43.97864,3745
177,CarpenterLee,1,0.02670,1648,44.00534,3745
178,ChaolunWang,1,0.02670,1649,44.03204,3745
179,chen-ABC,1,0.02670,1650,44.05874,3745
180,chendapeng1984,1,0.02670,1651,44.08545,3745
181,chengshiwen,1,0.02670,1652,44.11215,3745
182,Chenzhi-vivo,1,0.02670,1653,44.13885,3745
183,cjw0202,1,0.02670,1654,44.16555,3745
184,conggangwang,1,0.02670,1655,44.19226,3745
185,coreyho,1,0.02670,1656,44.21896,3745
186,CrackerGit,1,0.02670,1657,44.24566,3745
187,cs10606,1,0.02670,1658,44.27236,3745
188,davichi11,1,0.02670,1659,44.29907,3745
189,dawzhang,1,0.02670,1660,44.32577,3745
190,ericsahit,1,0.02670,1661,44.35247,3745
191,fanzaiqiang,1,0.02670,1662,44.37917,3745
192,fclm1316,1,0.02670,1663,44.40587,3745
193,glsutter,1,0.02670,1664,44.43258,3745
194,goroyal,1,0.02670,1665,44.45928,3745
195,h404z,1,0.02670,1666,44.48598,3745
196,hiddenzzh,1,0.02670,1667,44.51268,3745
197,huangxfchn,1,0.02670,1668,44.53939,3745
198,hule284284,1,0.02670,1669,44.56609,3745
199,hykych,1,0.02670,1670,44.59279,3745
200,Hyseen,1,0.02670,1671,44.61949,3745
201,i323654,1,0.02670,1672,44.64619,3745
202,infinite-xue,1,0.02670,1673,44.67290,3745
203,Iris1120,1,0.02670,1674,44.69960,3745
204,isudox,1,0.02670,1675,44.72630,3745
205,ivantian,1,0.02670,1676,44.75300,3745
206,jackchu123,1,0.02670,1677,44.77971,3745
207,JackeyThmons,1,0.02670,1678,44.80641,3745
208,Jason4Github,1,0.02670,1679,44.83311,3745
209,jefferent2019,1,0.02670,1680,44.85981,3745
210,jelly-ma,1,0.02670,1681,44.88652,3745
211,JimLeeee,1,0.02670,1682,44.91322,3745
212,jinpu,1,0.02670,1683,44.93992,3745
213,jixuege,1,0.02670,1684,44.96662,3745
214,jorgenchen,1,0.02670,1685,44.99332,3745
215,kanglongyu,1,0.02670,1686,45.02003,3745
216,Kevin0010,1,0.02670,1687,45.04673,3745
217,kevinandjanies,1,0.02670,1688,45.07343,3745
218,lanlan0916,1,0.02670,1689,45.10013,3745
219,leeweir,1,0.02670,1690,45.12684,3745
220,lihao18,1,0.02670,1691,45.15354,3745
221,linydquantil,1,0.02670,1692,45.18024,3745
222,luischeng,1,0.02670,1693,45.20694,3745
223,Maijh97,1,0.02670,1694,45.23364,3745
224,maofengwang,1,0.02670,1695,45.26035,3745
225,mark-neil-wang,1,0.02670,1696,45.28705,3745
226,mashuangwei,1,0.02670,1697,45.31375,3745
227,MatrixWeb,1,0.02670,1698,45.34045,3745
228,misgod-yy,1,0.02670,1699,45.36716,3745
229,mr006-jq,1,0.02670,1700,45.39386,3745
230,my4381918,1,0.02670,1701,45.42056,3745
231,njuchao,1,0.02670,1702,45.44726,3745
232,peshow,1,0.02670,1703,45.47397,3745
233,programwithebay,1,0.02670,1704,45.50067,3745
234,qilangye,1,0.02670,1705,45.52737,3745
235,Rank2019,1,0.02670,1706,45.55407,3745
236,riccccchard,1,0.02670,1707,45.58077,3745
237,rohanjulka19,1,0.02670,1708,45.60748,3745
238,rpjayasekara,1,0.02670,1709,45.63418,3745
239,sanyangji,1,0.02670,1710,45.66088,3745
240,sealcome,1,0.02670,1711,45.68758,3745
241,shijunting,1,0.02670,1712,45.71429,3745
242,shiyuanxiu,1,0.02670,1713,45.74099,3745
243,SimpleZL,1,0.02670,1714,45.76769,3745
244,Slideee,1,0.02670,1715,45.79439,3745
245,sounak98,1,0.02670,1716,45.82109,3745
246,sretik,1,0.02670,1717,45.84780,3745
247,starmoon1994,1,0.02670,1718,45.87450,3745
248,stutiredboy,1,0.02670,1719,45.90120,3745
249,sumitag,1,0.02670,1720,45.92790,3745
250,Summer1oo86,1,0.02670,1721,45.95461,3745
251,sunksharpsky,1,0.02670,1722,45.98131,3745
252,sunyujie666,1,0.02670,1723,46.00801,3745
253,superfang01,1,0.02670,1724,46.03471,3745
254,tangaipa,1,0.02670,1725,46.06142,3745
255,thebye85,1,0.02670,1726,46.08812,3745
256,tomknocks3154,1,0.02670,1727,46.11482,3745
257,TonyChenWin,1,0.02670,1728,46.14152,3745
258,tottiyang,1,0.02670,1729,46.16822,3745
259,tungwoo,1,0.02670,1730,46.19493,3745
260,ubuntu821,1,0.02670,1731,46.22163,3745
261,valentinedy,1,0.02670,1732,46.24833,3745
262,wangkechun,1,0.02670,1733,46.27503,3745
263,wanzr,1,0.02670,1734,46.30174,3745
264,wenxueding,1,0.02670,1735,46.32844,3745
265,wujunze,1,0.02670,1736,46.35514,3745
266,xchnshi,1,0.02670,1737,46.38184,3745
267,xiajidexue,1,0.02670,1738,46.40854,3745
268,xiaoerlaigeid,1,0.02670,1739,46.43525,3745
269,xiaogangwazi,1,0.02670,1740,46.46195,3745
270,xiepu1212,1,0.02670,1741,46.48865,3745
271,xinghui-hou,1,0.02670,1742,46.51535,3745
272,xiongcw,1,0.02670,1743,46.54206,3745
273,xnwshd801,1,0.02670,1744,46.56876,3745
274,yan851,1,0.02670,1745,46.59546,3745
275,yiba13,1,0.02670,1746,46.62216,3745
276,yinqiang001,1,0.02670,1747,46.64887,3745
277,yuanhongda,1,0.02670,1748,46.67557,3745
278,YunXing-Lee,1,0.02670,1749,46.70227,3745
279,ZhangShangyu,1,0.02670,1750,46.72897,3745
280,Zhjl5661990,1,0.02670,1751,46.75567,3745
281,zhouyang-hz,1,0.02670,1752,46.78238,3745
282,zhuhongqian,1,0.02670,1753,46.80908,3745
283,zhuwenxing,1,0.02670,1754,46.83578,3745
284,zs121016024,1,0.02670,1755,46.86248,3745
285,zxh19920616,1,0.02670,1756,46.88919,3745
