rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,sushanthakumar,401,33.11313,401,33.11313,1211
2,satyaranjanp,135,11.14781,536,44.26094,1211
3,gopinatht,10,0.82576,546,45.08671,1211
4,hanpenghero,10,0.82576,556,45.91247,1211
5,belwalkar,8,0.66061,564,46.57308,1211
6,woshihaoren,6,0.49546,570,47.06854,1211
7,ianhe8x,5,0.41288,575,47.48142,1211
8,ignogueiras,5,0.41288,580,47.89430,1211
9,libujacob,5,0.41288,585,48.30718,1211
10,swx457056,5,0.41288,590,48.72007,1211
11,paolovisintin,4,0.33031,594,49.05037,1211
12,sandhyaravi,4,0.33031,598,49.38068,1211
13,YYGCui,4,0.33031,602,49.71098,1211
14,fnurglewitz,3,0.24773,605,49.95871,1211
15,FozAhm,3,0.24773,608,50.20644,1211
16,lkoniecz,3,0.24773,611,50.45417,1211
17,brysk,2,0.16515,613,50.61932,1211
18,kannanvj,2,0.16515,615,50.78448,1211
19,LiuYikang,2,0.16515,617,50.94963,1211
20,vdabbara,2,0.16515,619,51.11478,1211
21,vduduh,2,0.16515,621,51.27993,1211
22,bsshetty,1,0.08258,622,51.36251,1211
23,elgamal2020,1,0.08258,623,51.44509,1211
24,haibinxie,1,0.08258,624,51.52766,1211
25,hd-deman,1,0.08258,625,51.61024,1211
26,Hessu1337,1,0.08258,626,51.69282,1211
27,knoll01,1,0.08258,627,51.77539,1211
28,kumarshetty,1,0.08258,628,51.85797,1211
29,purnendu15,1,0.08258,629,51.94055,1211
30,sheetaljoshi,1,0.08258,630,52.02312,1211
31,ShixiongQi,1,0.08258,631,52.10570,1211
