rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,suskin,1135,6.09658,1135,6.09658,18617
2,prasek,582,3.12618,1717,9.22275,18617
3,soorena776,411,2.20766,2128,11.43041,18617
4,ryanzhang-oss,378,2.03040,2506,13.46082,18617
5,turkenh,175,0.94000,2681,14.40082,18617
6,lukeweber,147,0.78960,2828,15.19042,18617
7,artursouza,111,0.59623,2939,15.78665,18617
8,sahil-lakhwani,96,0.51566,3035,16.30230,18617
9,kasey,87,0.46731,3122,16.76962,18617
10,infinitecompute,53,0.28469,3175,17.05431,18617
11,ajaykangare,52,0.27931,3227,17.33362,18617
12,connorchan,44,0.23634,3271,17.56996,18617
13,arturrez,13,0.06983,3284,17.63979,18617
14,allenhaozi,12,0.06446,3296,17.70425,18617
15,gauravgahlot,10,0.05371,3306,17.75796,18617
16,henrywangx,10,0.05371,3316,17.81168,18617
17,tommyknows,9,0.04834,3325,17.86002,18617
18,yogeek,9,0.04834,3334,17.90836,18617
19,rberrelleza,6,0.03223,3340,17.94059,18617
20,vturecek,6,0.03223,3346,17.97282,18617
21,unladenSwallow,5,0.02686,3351,17.99968,18617
22,venuchitta,5,0.02686,3356,18.02653,18617
23,Zee-Khan,5,0.02686,3361,18.05339,18617
24,apaz037,4,0.02149,3365,18.07488,18617
25,enderv,4,0.02149,3369,18.09636,18617
26,eonpatapon,4,0.02149,3373,18.11785,18617
27,grantgumina,4,0.02149,3377,18.13934,18617
28,jbrawdy,4,0.02149,3381,18.16082,18617
29,phanimullapudi,4,0.02149,3385,18.18231,18617
30,SevenYoung,4,0.02149,3389,18.20379,18617
31,WarheadsSE,4,0.02149,3393,18.22528,18617
32,alemairebe,3,0.01611,3396,18.24139,18617
33,alexmreis,3,0.01611,3399,18.25751,18617
34,captainroy-hy,3,0.01611,3402,18.27362,18617
35,hr1sh1kesh,3,0.01611,3405,18.28974,18617
36,jihoon-seo,3,0.01611,3408,18.30585,18617
37,jorgecotillo,3,0.01611,3411,18.32196,18617
38,lokeshwar30,3,0.01611,3414,18.33808,18617
39,mfacenet,3,0.01611,3417,18.35419,18617
40,robsclark,3,0.01611,3420,18.37031,18617
41,zoharm,3,0.01611,3423,18.38642,18617
42,advissor,2,0.01074,3425,18.39716,18617
43,baikai,2,0.01074,3427,18.40791,18617
44,bshetti,2,0.01074,3429,18.41865,18617
45,Chrisupbound,2,0.01074,3431,18.42939,18617
46,DaveTorbeck,2,0.01074,3433,18.44014,18617
47,lopezator,2,0.01074,3435,18.45088,18617
48,macsux,2,0.01074,3437,18.46162,18617
49,mahendrabagul,2,0.01074,3439,18.47236,18617
50,mokapantages,2,0.01074,3441,18.48311,18617
51,Promaethius,2,0.01074,3443,18.49385,18617
52,SachinHg,2,0.01074,3445,18.50459,18617
53,Sanhajio,2,0.01074,3447,18.51534,18617
54,Shwethakpradeep,2,0.01074,3449,18.52608,18617
55,szihai,2,0.01074,3451,18.53682,18617
56,tapanhalani,2,0.01074,3453,18.54756,18617
57,aeli0,1,0.00537,3454,18.55294,18617
58,Chwetion,1,0.00537,3455,18.55831,18617
59,cmdallas,1,0.00537,3456,18.56368,18617
60,cppforlife,1,0.00537,3457,18.56905,18617
61,davidmitchell2019,1,0.00537,3458,18.57442,18617
62,Dmitry1987,1,0.00537,3459,18.57979,18617
63,jscharber,1,0.00537,3460,18.58516,18617
64,kferrone,1,0.00537,3461,18.59054,18617
65,lavbox,1,0.00537,3462,18.59591,18617
66,leopoldxx,1,0.00537,3463,18.60128,18617
67,mattheilman,1,0.00537,3464,18.60665,18617
68,milindchawre,1,0.00537,3465,18.61202,18617
69,nakulpathak3,1,0.00537,3466,18.61739,18617
70,ngoduykhanh,1,0.00537,3467,18.62276,18617
71,panzhaohui,1,0.00537,3468,18.62814,18617
72,pcgeek86,1,0.00537,3469,18.63351,18617
73,peyunco,1,0.00537,3470,18.63888,18617
74,pfischer8989,1,0.00537,3471,18.64425,18617
75,tambry,1,0.00537,3472,18.64962,18617
76,WTFKr0,1,0.00537,3473,18.65499,18617
