rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,LukasGentele,2079,30.13917,2079,30.13917,6898
2,1522784,377,5.46535,2456,35.60452,6898
3,jerlam06,174,2.52247,2630,38.12699,6898
4,KaelBaldwin,75,1.08727,2705,39.21427,6898
5,FlorianKutz,54,0.78284,2759,39.99710,6898
6,musicformellons,49,0.71035,2808,40.70745,6898
7,igoooor,38,0.55088,2846,41.25834,6898
8,chasebolt,37,0.53639,2883,41.79472,6898
9,dsebastien,21,0.30444,2904,42.09916,6898
10,iSeiryu,19,0.27544,2923,42.37460,6898
11,dsuievalov,15,0.21745,2938,42.59206,6898
12,michalip,14,0.20296,2952,42.79501,6898
13,timo-klarshift,12,0.17396,2964,42.96898,6898
14,zadigus,11,0.15947,2975,43.12844,6898
15,ALCarden,10,0.14497,2985,43.27341,6898
16,BirknerAlex,10,0.14497,2995,43.41838,6898
17,lizardruss,10,0.14497,3005,43.56335,6898
18,DanielGlaas,9,0.13047,3014,43.69382,6898
19,tingkai-zhang,9,0.13047,3023,43.82430,6898
20,ComaVN,8,0.11598,3031,43.94027,6898
21,herozabbix,8,0.11598,3039,44.05625,6898
22,Slach,8,0.11598,3047,44.17222,6898
23,tomasc,8,0.11598,3055,44.28820,6898
24,bynare,7,0.10148,3062,44.38968,6898
25,DanielThiry,7,0.10148,3069,44.49116,6898
26,irfani,7,0.10148,3076,44.59264,6898
27,jenisov,7,0.10148,3083,44.69411,6898
28,matthew-muscat,7,0.10148,3090,44.79559,6898
29,slevine111,7,0.10148,3097,44.89707,6898
30,alexandrefilgueira,6,0.08698,3103,44.98405,6898
31,base16soft,6,0.08698,3109,45.07104,6898
32,kinzleb,6,0.08698,3115,45.15802,6898
33,mnpenner,6,0.08698,3121,45.24500,6898
34,jersGH,5,0.07248,3126,45.31748,6898
35,jorge0136,5,0.07248,3131,45.38997,6898
36,lots0logs,5,0.07248,3136,45.46245,6898
37,paneq,5,0.07248,3141,45.53494,6898
38,SamuelColacchia,5,0.07248,3146,45.60742,6898
39,vroad,5,0.07248,3151,45.67991,6898
40,BLoeT,4,0.05799,3155,45.73790,6898
41,Chad-R-S,4,0.05799,3159,45.79588,6898
42,fg91,4,0.05799,3163,45.85387,6898
43,jmarbach,4,0.05799,3167,45.91186,6898
44,QwertyQaz414,4,0.05799,3171,45.96985,6898
45,zefman,4,0.05799,3175,46.02783,6898
46,0x77dev,3,0.04349,3178,46.07133,6898
47,ashconnell,3,0.04349,3181,46.11482,6898
48,azagarelz,3,0.04349,3184,46.15831,6898
49,cedricmckinnie,3,0.04349,3187,46.20180,6898
50,Co0ker,3,0.04349,3190,46.24529,6898
51,devscipline,3,0.04349,3193,46.28878,6898
52,e06084,3,0.04349,3196,46.33227,6898
53,heroyin,3,0.04349,3199,46.37576,6898
54,Inlustra,3,0.04349,3202,46.41925,6898
55,Jasondeependra,3,0.04349,3205,46.46274,6898
56,jhaynie,3,0.04349,3208,46.50623,6898
57,jmcantrell,3,0.04349,3211,46.54972,6898
58,mgruener,3,0.04349,3214,46.59322,6898
59,ravening,3,0.04349,3217,46.63671,6898
60,Regan8,3,0.04349,3220,46.68020,6898
61,suzaku,3,0.04349,3223,46.72369,6898
62,xinglongjian,3,0.04349,3226,46.76718,6898
63,xiujuan95,3,0.04349,3229,46.81067,6898
64,zWaR,3,0.04349,3232,46.85416,6898
65,amishurov,2,0.02899,3234,46.88315,6898
66,Babynigel,2,0.02899,3236,46.91215,6898
67,benjamin658,2,0.02899,3238,46.94114,6898
68,borgez,2,0.02899,3240,46.97014,6898
69,cschreck,2,0.02899,3242,46.99913,6898
70,FloChehab,2,0.02899,3244,47.02812,6898
71,fsanys,2,0.02899,3246,47.05712,6898
72,hitman249,2,0.02899,3248,47.08611,6898
73,JJSwanevelder,2,0.02899,3250,47.11511,6898
