rank_number,actor,commits,percent,cumulative_sum,cumulative_percent,all_commits
1,roboshopkeep,522,1.27501,522,1.27501,40941
2,FoxBoxsnet,326,0.79627,848,2.07127,40941
3,winebarrel,286,0.69857,1134,2.76984,40941
4,aayamauchi,270,0.65949,1404,3.42933,40941
5,mia-0032,172,0.42012,1576,3.84944,40941
6,toyokazu,159,0.38836,1735,4.23781,40941
7,pitr,153,0.37371,1888,4.61151,40941
8,thinkbotbot,110,0.26868,1998,4.88019,40941
9,chaitanyaphalak,108,0.26379,2106,5.14399,40941
10,coto,108,0.26379,2214,5.40778,40941
11,bungoume,103,0.25158,2317,5.65936,40941
12,rockb1017,103,0.25158,2420,5.91095,40941
13,mosuka,96,0.23448,2516,6.14543,40941
14,oleewere,92,0.22471,2608,6.37014,40941
15,codeout,86,0.21006,2694,6.58020,40941
16,joshughes,82,0.20029,2776,6.78049,40941
17,ixixi,80,0.19540,2856,6.97589,40941
18,HatsuneMiku3939,79,0.19296,2935,7.16885,40941
19,shinsaka,79,0.19296,3014,7.36181,40941
20,warmfusion,74,0.18075,3088,7.54256,40941
21,daichirata,73,0.17831,3161,7.72087,40941
22,sawanoboly,73,0.17831,3234,7.89917,40941
23,LiweiPeng,68,0.16609,3302,8.06526,40941
24,szilvesztersimicza,68,0.16609,3370,8.23136,40941
25,civitaspo,65,0.15877,3435,8.39012,40941
26,AlexGaspar,64,0.15632,3499,8.54644,40941
27,digivava,62,0.15144,3561,8.69788,40941
28,luckyj5,60,0.14655,3621,8.84443,40941
29,naoya,60,0.14655,3681,8.99099,40941
30,yanana,60,0.14655,3741,9.13754,40941
31,pyrocro,58,0.14167,3799,9.27921,40941
32,hakobera,55,0.13434,3854,9.41355,40941
33,kenhys,55,0.13434,3909,9.54789,40941
34,darkrat,54,0.13190,3963,9.67978,40941
35,darashi,53,0.12945,4016,9.80924,40941
36,cmrust,52,0.12701,4068,9.93625,40941
37,dtregonning,52,0.12701,4120,10.06326,40941
38,fernandosilvacornejo,52,0.12701,4172,10.19027,40941
39,simukappu,52,0.12701,4224,10.31729,40941
40,brint,51,0.12457,4275,10.44186,40941
41,orion46,51,0.12457,4326,10.56642,40941
42,sbonebrake,51,0.12457,4377,10.69099,40941
43,toyama-h,51,0.12457,4428,10.81556,40941
44,dgarros,50,0.12213,4478,10.93769,40941
45,imron,50,0.12213,4528,11.05982,40941
46,atomita,48,0.11724,4576,11.17706,40941
47,Bigel0w,47,0.11480,4623,11.29186,40941
48,cpedro,47,0.11480,4670,11.40666,40941
49,takumakanari,47,0.11480,4717,11.52146,40941
50,Knium,45,0.10991,4762,11.63137,40941
51,lunardial,45,0.10991,4807,11.74129,40941
52,brissenden,44,0.10747,4851,11.84876,40941
53,laramiel,44,0.10747,4895,11.95623,40941
54,lingz,44,0.10747,4939,12.06370,40941
55,lingzhang-lyon,44,0.10747,4983,12.17117,40941
56,mblaschke,44,0.10747,5027,12.27864,40941
57,komainu8,43,0.10503,5070,12.38367,40941
58,kawasakitoshiya,42,0.10259,5112,12.48626,40941
59,PakDLiu,42,0.10259,5154,12.58885,40941
60,soylent,42,0.10259,5196,12.69143,40941
61,tarokkk,42,0.10259,5238,12.79402,40941
62,gintau,41,0.10014,5279,12.89416,40941
63,mamewotoko,41,0.10014,5320,12.99431,40941
64,dhrupadb,40,0.09770,5360,13.09201,40941
65,gozzip2009,40,0.09770,5400,13.18971,40941
66,hirakiuc,40,0.09770,5440,13.28741,40941
67,hovu96,40,0.09770,5480,13.38512,40941
68,innossh,40,0.09770,5520,13.48282,40941
69,JonathanSerafini,40,0.09770,5560,13.58052,40941
70,nemonium,40,0.09770,5600,13.67822,40941
71,sebv,40,0.09770,5640,13.77592,40941
72,hasjenL,39,0.09526,5679,13.87118,40941
73,yantang-msft,39,0.09526,5718,13.96644,40941
74,inokappa,38,0.09282,5756,14.05926,40941
75,kumarappan-arumugam,38,0.09282,5794,14.15207,40941
76,katsyoshi,37,0.09037,5831,14.24245,40941
77,mdoi,37,0.09037,5868,14.33282,40941
78,ecwws,36,0.08793,5904,14.42075,40941
79,shunwen,36,0.08793,5940,14.50868,40941
