rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,dj1k,16,12.50000,16,12.50000,128
2,todaywasawesome,11,8.59375,27,21.09375,128
3,o6uoq,9,7.03125,36,28.12500,128
4,mmorejon,3,2.34375,39,30.46875,128
5,petenorth,3,2.34375,42,32.81250,128
6,csand-msft,2,1.56250,44,34.37500,128
7,hathagat,2,1.56250,46,35.93750,128
8,murillodigital,2,1.56250,48,37.50000,128
9,vijaySamanuri,2,1.56250,50,39.06250,128
10,ashgethub,1,0.78125,51,39.84375,128
11,chrispat,1,0.78125,52,40.62500,128
12,ericchapman80,1,0.78125,53,41.40625,128
13,fbrv,1,0.78125,54,42.18750,128
14,gaughen,1,0.78125,55,42.96875,128
15,jnpacker,1,0.78125,56,43.75000,128
16,kmf,1,0.78125,57,44.53125,128
17,mattfahrner,1,0.78125,58,45.31250,128
18,ngoduykhanh,1,0.78125,59,46.09375,128
19,rickspencer3,1,0.78125,60,46.87500,128
20,sumitshatwara,1,0.78125,61,47.65625,128
21,waqasali47,1,0.78125,62,48.43750,128
