rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,zroubalik,225,4.79029,225,4.79029,4697
2,balchua,111,2.36321,336,7.15350,4697
3,patnaikshekhar,98,2.08644,434,9.23994,4697
4,Aarthisk,92,1.95870,526,11.19864,4697
5,zach-dunton-sf,66,1.40515,592,12.60379,4697
6,iyacontrol,51,1.08580,643,13.68959,4697
7,inuyasha82,38,0.80903,681,14.49862,4697
8,melmaliacone,35,0.74516,716,15.24377,4697
9,aminebizid,31,0.66000,747,15.90377,4697
10,rasavant-ms,31,0.66000,778,16.56376,4697
11,stgricci,30,0.63871,808,17.20247,4697
12,VenkateshSrini,30,0.63871,838,17.84118,4697
13,Cottonglow,29,0.61742,867,18.45859,4697
14,cwoolum,26,0.55354,893,19.01214,4697
15,eashi,25,0.53225,918,19.54439,4697
16,t-shama,24,0.51096,942,20.05535,4697
17,msftclas,23,0.48967,965,20.54503,4697
18,nuclearpinguin,23,0.48967,988,21.03470,4697
19,robece,22,0.46838,1010,21.50309,4697
20,IsharaPannila,21,0.44709,1031,21.95018,4697
21,sc-chad,16,0.34064,1047,22.29082,4697
22,juneldnerosa23,14,0.29806,1061,22.58889,4697
23,tomislater,14,0.29806,1075,22.88695,4697
24,msfuko,13,0.27677,1088,23.16372,4697
25,TAnas0,11,0.23419,1099,23.39791,4697
26,somak12,10,0.21290,1109,23.61082,4697
27,izzymsft,9,0.19161,1118,23.80243,4697
28,jakobehn,9,0.19161,1127,23.99404,4697
29,JoooostB,7,0.14903,1134,24.14307,4697
30,mashrin,7,0.14903,1141,24.29210,4697
31,rkralston,7,0.14903,1148,24.44113,4697
32,thomas-lamure,7,0.14903,1155,24.59016,4697
33,APuertaSales,6,0.12774,1161,24.71791,4697
34,brobichaud,6,0.12774,1167,24.84565,4697
35,cristianoveiga,6,0.12774,1173,24.97339,4697
36,dustin-decker,6,0.12774,1179,25.10113,4697
37,elucidsoft,6,0.12774,1185,25.22887,4697
38,whilke,6,0.12774,1191,25.35661,4697
39,yaronworldwide,6,0.12774,1197,25.48435,4697
40,amtandon,5,0.10645,1202,25.59080,4697
41,Anbu2506,5,0.10645,1207,25.69725,4697
42,asears,5,0.10645,1212,25.80370,4697
43,dev-cr-ka,5,0.10645,1217,25.91016,4697
44,GokGokalp,5,0.10645,1222,26.01661,4697
45,joskfg,5,0.10645,1227,26.12306,4697
46,jralph,5,0.10645,1232,26.22951,4697
47,kunalbabre,5,0.10645,1237,26.33596,4697
48,ncrothe,5,0.10645,1242,26.44241,4697
49,PixelRobots,5,0.10645,1247,26.54886,4697
50,seushermsft,5,0.10645,1252,26.65531,4697
51,toshi0607,5,0.10645,1257,26.76176,4697
52,vishal8k,5,0.10645,1262,26.86821,4697
53,jiayanguo,4,0.08516,1266,26.95337,4697
54,l13t,4,0.08516,1270,27.03854,4697
55,priyaananthasankar,4,0.08516,1274,27.12370,4697
56,schmaldaniel1,4,0.08516,1278,27.20886,4697
57,simpsonw,4,0.08516,1282,27.29402,4697
58,tomconte,4,0.08516,1286,27.37918,4697
59,alexandery,3,0.06387,1289,27.44305,4697
60,amrmahdi,3,0.06387,1292,27.50692,4697
61,fktkrt,3,0.06387,1295,27.57079,4697
62,genadyk,3,0.06387,1298,27.63466,4697
63,JK87iab,3,0.06387,1301,27.69853,4697
64,karoldeland,3,0.06387,1304,27.76240,4697
65,NileshGule,3,0.06387,1307,27.82627,4697
66,rahulpr17,3,0.06387,1310,27.89014,4697
67,Renader,3,0.06387,1313,27.95401,4697
68,Sarah-Aly,3,0.06387,1316,28.01788,4697
69,sebastianspross,3,0.06387,1319,28.08175,4697
70,SpyMachine,3,0.06387,1322,28.14562,4697
71,thomasjardin,3,0.06387,1325,28.20950,4697
72,ThorstenHans,3,0.06387,1328,28.27337,4697
73,AntoineGa,2,0.04258,1330,28.31595,4697
74,David-Stark,2,0.04258,1332,28.35853,4697
75,dobrzyn2,2,0.04258,1334,28.40111,4697
76,edganiukov,2,0.04258,1336,28.44369,4697
77,elihai-risk,2,0.04258,1338,28.48627,4697
78,felipecruz91,2,0.04258,1340,28.52885,4697
79,fisapras,2,0.04258,1342,28.57143,4697
80,flowerinthenight,2,0.04258,1344,28.61401,4697
81,gohar94,2,0.04258,1346,28.65659,4697
