rank_number,actor,commits,percent,cumulative_sum,cumulative_percent,all_commits
1,mhevery,23009,8.41009,23009,8.41009,273588
2,IgorMinar,12727,4.65189,35736,13.06198,273588
3,AndrewKushnir,9580,3.50162,45316,16.56359,273588
4,levitte,9229,3.37332,54545,19.93691,273588
5,stephentoub,8754,3.19970,63299,23.13661,273588
6,vicb,8029,2.93470,71328,26.07132,273588
7,matsko,6940,2.53666,78268,28.60798,273588
8,XhmikosR,6283,2.29652,84551,30.90450,273588
9,alxhub,5324,1.94599,89875,32.85049,273588
10,petebacondarwin,5219,1.90761,95094,34.75810,273588
11,cowtowncoder,4817,1.76068,99911,36.51878,273588
12,kara,4680,1.71060,104591,38.22938,273588
13,alexeagle,4614,1.68648,109205,39.91586,273588
14,dougwilson,4309,1.57500,113514,41.49085,273588
15,jdalton,3757,1.37323,117271,42.86409,273588
16,mdo,3450,1.26102,120721,44.12511,273588
17,jasonaden,3267,1.19413,123988,45.31924,273588
18,chuckjaz,2611,0.95435,126599,46.27359,273588
19,gkalpak,2556,0.93425,129155,47.20785,273588
20,tbosch,2179,0.79645,131334,48.00430,273588
21,gaearon,2163,0.79060,133497,48.79490,273588
22,Johann-S,2026,0.74053,135523,49.53543,273588
23,zloirock,2021,0.73870,137544,50.27413,273588
24,mattcaswell,1998,0.73030,139542,51.00443,273588
25,vsavkin,1687,0.61662,141229,51.62105,273588
26,richsalz,1622,0.59286,142851,52.21391,273588
27,crisbeto,1525,0.55741,144376,52.77132,273588
28,cvrebert,1466,0.53584,145842,53.30716,273588
29,MartijnCuppens,1383,0.50550,147225,53.81267,273588
30,epoberezkin,1343,0.49088,148568,54.30355,273588
31,bgrainger,1333,0.48723,149901,54.79078,273588
32,danmosemsft,1309,0.47846,151210,55.26924,273588
33,cpovirk,1272,0.46493,152482,55.73417,273588
34,vikerman,1268,0.46347,153750,56.19764,273588
35,pkozlowski-opensource,1236,0.45177,154986,56.64941,273588
36,cgdecker,1233,0.45068,156219,57.10009,273588
37,lrytz,1212,0.44300,157431,57.54309,273588
38,Narretz,1197,0.43752,158628,57.98061,273588
39,safern,1126,0.41157,159754,58.39218,273588
40,atscott,1102,0.40280,160856,58.79498,273588
41,hansl,1070,0.39110,161926,59.18608,273588
42,CharliePoole,993,0.36295,162919,59.54903,273588
43,jkotas,968,0.35382,163887,59.90285,273588
44,zpao,963,0.35199,164850,60.25484,273588
