rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,stephentoub,67030,3.83691,67030,3.83691,1746978
2,mhevery,34601,1.98062,101631,5.81753,1746978
3,levitte,29808,1.70626,131439,7.52379,1746978
4,gaearon,22634,1.29561,154073,8.81940,1746978
5,vicb,21434,1.22692,175507,10.04632,1746978
6,IgorMinar,20944,1.19887,196451,11.24519,1746978
7,gkalpak,20104,1.15079,216555,12.39598,1746978
8,danmosemsft,19917,1.14008,236472,13.53606,1746978
9,petebacondarwin,17081,0.97775,253553,14.51381,1746978
10,mattcaswell,16430,0.94048,269983,15.45429,1746978
11,tagliala,15978,0.91461,285961,16.36890,1746978
12,mdo,15914,0.91094,301875,17.27984,1746978
13,pkozlowski-opensource,15158,0.86767,317033,18.14751,1746978
14,richsalz,15004,0.85885,332037,19.00636,1746978
15,jdalton,13963,0.79927,346000,19.80563,1746978
16,dougwilson,13013,0.74489,359013,20.55052,1746978
17,XhmikosR,13002,0.74426,372015,21.29477,1746978
18,cowtowncoder,12421,0.71100,384436,22.00577,1746978
19,AndrewKushnir,11463,0.65616,395899,22.66193,1746978
20,karelz,11243,0.64357,407142,23.30550,1746978
21,weshaggard,10816,0.61913,417958,23.92463,1746978
22,matsko,10625,0.60819,428583,24.53282,1746978
23,CharliePoole,10517,0.60201,439100,25.13483,1746978
24,bartonjs,10357,0.59285,449457,25.72769,1746978
25,davidsh,10294,0.58925,459751,26.31693,1746978
26,cvrebert,9777,0.55965,469528,26.87658,1746978
27,kara,9723,0.55656,479251,27.43314,1746978
28,Narretz,9602,0.54963,488853,27.98278,1746978
29,alxhub,8987,0.51443,497840,28.49721,1746978
30,alexeagle,8819,0.50481,506659,29.00203,1746978
31,ericstj,8540,0.48884,515199,29.49087,1746978
32,tbosch,8382,0.47980,523581,29.97067,1746978
33,jkotas,8288,0.47442,531869,30.44509,1746978
34,ViktorHofer,8079,0.46246,539948,30.90754,1746978
35,timdorr,7768,0.44465,547716,31.35220,1746978
36,ahsonkhan,7746,0.44339,555462,31.79559,1746978
37,safern,7060,0.40413,562522,32.19972,1746978
38,Johann-S,6510,0.37264,569032,32.57236,1746978
39,jnm2,6420,0.36749,575452,32.93985,1746978
40,lrytz,6366,0.36440,581818,33.30425,1746978
41,zpao,6077,0.34786,587895,33.65211,1746978
42,jasonaden,6010,0.34402,593905,33.99614,1746978
43,spicyj,5944,0.34024,599849,34.33638,1746978
44,retronym,5845,0.33458,605694,34.67096,1746978
45,tarekgh,5832,0.33383,611526,35.00479,1746978
46,adriaanm,5607,0.32095,617133,35.32575,1746978
47,mellinoe,5563,0.31844,622696,35.64418,1746978
48,rprouse,5447,0.31180,628143,35.95598,1746978
49,bvaughn,5183,0.29668,633326,36.25266,1746978
50,xzyfer,5113,0.29268,638439,36.54534,1746978
51,Lukasa,5045,0.28878,643484,36.83412,1746978
52,patrickhlauke,4906,0.28083,648390,37.11495,1746978
53,JeremyKuhne,4845,0.27734,653235,37.39229,1746978
54,joperezr,4835,0.27676,658070,37.66905,1746978
55,chuckjaz,4663,0.26692,662733,37.93597,1746978
56,vsavkin,4634,0.26526,667367,38.20123,1746978
57,sebmarkbage,4508,0.25805,671875,38.45927,1746978
58,epoberezkin,4493,0.25719,676368,38.71646,1746978
59,SethTisue,4415,0.25272,680783,38.96918,1746978
60,JamesNK,4271,0.24448,685054,39.21366,1746978
61,ianhays,4174,0.23893,689228,39.45259,1746978
62,mgol,4035,0.23097,693263,39.68356,1746978
63,zloirock,3827,0.21906,697090,39.90262,1746978
64,Priya91,3819,0.21861,700909,40.12123,1746978
65,acdlite,3764,0.21546,704673,40.33668,1746978
66,christopherthielen,3716,0.21271,708389,40.54939,1746978
67,krwq,3702,0.21191,712091,40.76130,1746978
68,geoffkizer,3686,0.21099,715777,40.97230,1746978
69,bgrainger,3603,0.20624,719380,41.17854,1746978
70,CIPop,3455,0.19777,722835,41.37631,1746978
71,bcoe,3305,0.18918,726140,41.56549,1746978
72,wfurt,3156,0.18065,729296,41.74615,1746978
73,JiaLiPassion,3117,0.17842,732413,41.92457,1746978
74,steveharter,3090,0.17688,735503,42.10145,1746978
75,benaadams,3070,0.17573,738573,42.27718,1746978
76,knalli,3054,0.17482,741627,42.45199,1746978
77,MartijnCuppens,2968,0.16989,744595,42.62189,1746978
78,aweary,2954,0.16909,747549,42.79098,1746978
79,ellismg,2873,0.16446,750422,42.95544,1746978
80,ariya,2855,0.16343,753277,43.11886,1746978
81,saurabh500,2846,0.16291,756123,43.28177,1746978
82,tannergooding,2836,0.16234,758959,43.44411,1746978
83,timmywil,2820,0.16142,761779,43.60553,1746978
84,cpovirk,2784,0.15936,764563,43.76489,1746978
85,dmethvin,2765,0.15827,767328,43.92316,1746978
86,sindresorhus,2653,0.15186,769981,44.07503,1746978
87,mj1856,2647,0.15152,772628,44.22654,1746978
88,aearly,2641,0.15118,775269,44.37772,1746978
89,VSadov,2510,0.14368,777779,44.52140,1746978
90,patrickkettner,2500,0.14310,780279,44.66450,1746978
91,Anipik,2475,0.14167,782754,44.80617,1746978
92,nhunzaker,2469,0.14133,785223,44.94750,1746978
93,brandonroberts,2417,0.13835,787640,45.08586,1746978
94,mmitche,2391,0.13686,790031,45.22272,1746978
95,nguerrera,2351,0.13458,792382,45.35730,1746978
96,maxokorokov,2322,0.13292,794704,45.49021,1746978
97,petkaantonov,2283,0.13068,796987,45.62090,1746978
98,shmao,2267,0.12977,799254,45.75066,1746978
99,kaduk,2251,0.12885,801505,45.87951,1746978
100,ocombe,2233,0.12782,803738,46.00733,1746978
101,jeffbcross,2219,0.12702,805957,46.13435,1746978
102,vikerman,2196,0.12570,808153,46.26006,1746978
103,markerikson,2195,0.12565,810348,46.38570,1746978
104,lgalfaso,2193,0.12553,812541,46.51123,1746978
105,megawac,2135,0.12221,814676,46.63344,1746978
106,wtgodbe,2128,0.12181,816804,46.75525,1746978
107,ljharb,2118,0.12124,818922,46.87649,1746978
108,slontis,2083,0.11923,821005,46.99573,1746978
109,davidfowl,2072,0.11860,823077,47.11433,1746978
110,benjamingr,2064,0.11815,825141,47.23248,1746978
111,scottgonzalez,2034,0.11643,827175,47.34891,1746978
112,mzgol,1955,0.11191,829130,47.46082,1746978
113,crisbeto,1942,0.11116,831072,47.57198,1746978
114,sigmavirus24,1899,0.10870,832971,47.68068,1746978
115,eerhardt,1872,0.10716,834843,47.78784,1746978
116,isaacs,1869,0.10698,836712,47.89482,1746978
117,indexzero,1854,0.10613,838566,48.00095,1746978
118,tmds,1851,0.10595,840417,48.10690,1746978
119,markelog,1836,0.10510,842253,48.21200,1746978
120,joshfree,1816,0.10395,844069,48.31595,1746978
121,gibson042,1815,0.10389,845884,48.41984,1746978
122,mjackson,1695,0.09702,847579,48.51687,1746978
123,DataTables,1685,0.09645,849264,48.61332,1746978
124,tmshort,1680,0.09617,850944,48.70949,1746978
125,cgdecker,1663,0.09519,852607,48.80468,1746978
126,szeiger,1639,0.09382,854246,48.89850,1746978
127,yjbanov,1635,0.09359,855881,48.99209,1746978
128,am11,1608,0.09204,857489,49.08413,1746978
129,rkirov,1601,0.09164,859090,49.17578,1746978
130,terrajobst,1585,0.09073,860675,49.26650,1746978
131,kapunahelewong,1584,0.09067,862259,49.35718,1746978
132,rspilker,1560,0.08930,863819,49.44647,1746978
133,trueadm,1527,0.08741,865346,49.53388,1746978
134,juliemr,1505,0.08615,866851,49.62003,1746978
135,JoostK,1483,0.08489,868334,49.70492,1746978
136,mprobst,1476,0.08449,869810,49.78941,1746978
137,hansl,1458,0.08346,871268,49.87287,1746978
138,shadowspawn,1446,0.08277,872714,49.95564,1746978
139,pjanotti,1442,0.08254,874156,50.03818,1746978
140,filipesilva,1436,0.08220,875592,50.12038,1746978
141,MattGal,1426,0.08163,877018,50.20201,1746978
142,KrzysztofCwalina,1414,0.08094,878432,50.28295,1746978
143,atscott,1412,0.08083,879844,50.36377,1746978
144,marwahaha,1405,0.08042,881249,50.44420,1746978
145,nschonni,1386,0.07934,882635,50.52353,1746978
146,tmat,1376,0.07876,884011,50.60230,1746978
147,jelbourn,1370,0.07842,885381,50.68072,1746978
148,kegluneq,1343,0.07688,886724,50.75759,1746978
149,kennethreitz,1332,0.07625,888056,50.83384,1746978
150,alan-agius4,1315,0.07527,889371,50.90911,1746978
151,caitp,1307,0.07481,890678,50.98393,1746978
152,jbedard,1293,0.07401,891971,51.05794,1746978
153,kkirsche,1262,0.07224,893233,51.13018,1746978
154,sophiebits,1256,0.07190,894489,51.20208,1746978
155,maryamariyan,1247,0.07138,895736,51.27346,1746978
156,jbogarthyde,1246,0.07132,896982,51.34478,1746978
157,GrabYourPitchforks,1235,0.07069,898217,51.41547,1746978
158,chcosta,1209,0.06921,899426,51.48468,1746978
159,maggiepint,1208,0.06915,900634,51.55383,1746978
160,jzaefferer,1201,0.06875,901835,51.62257,1746978
161,corivera,1184,0.06777,903019,51.69035,1746978
162,Qix-,1149,0.06577,904168,51.75612,1746978
163,ekasper,1146,0.06560,905314,51.82172,1746978
164,rzwitserloot,1119,0.06405,906433,51.88577,1746978
165,hueniverse,1116,0.06388,907549,51.94965,1746978
166,bartdesmet,1113,0.06371,908662,52.01336,1746978
167,rmkerr,1108,0.06342,909770,52.07679,1746978
168,AlexGhiondea,1101,0.06302,910871,52.13981,1746978
169,kouvel,1094,0.06262,911965,52.20243,1746978
170,ceki,1081,0.06188,913046,52.26431,1746978
171,jquense,1078,0.06171,914124,52.32602,1746978
172,ericeil,1054,0.06033,915178,52.38635,1746978
173,gdi2290,1040,0.05953,916218,52.44588,1746978
174,flarnie,1037,0.05936,917255,52.50524,1746978
175,romen,1032,0.05907,918287,52.56431,1746978
176,vancem,1029,0.05890,919316,52.62322,1746978
177,calvinmetcalf,1022,0.05850,920338,52.68172,1746978
178,dagood,1017,0.05821,921355,52.73993,1746978
179,broofa,986,0.05644,922341,52.79637,1746978
180,mde,986,0.05644,923327,52.85281,1746978
181,nateabele,970,0.05552,924297,52.90834,1746978
