rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,teozkr,626,10.60119,626,10.60119,5905
2,kazk,550,9.31414,1176,19.91533,5905
3,kitfre,41,0.69433,1217,20.60965,5905
4,praveenperera,34,0.57578,1251,21.18544,5905
5,Arnavion,20,0.33870,1271,21.52413,5905
6,coadler,18,0.30483,1289,21.82896,5905
7,benjamin-wright,12,0.20322,1301,22.03218,5905
8,shanesveller,12,0.20322,1313,22.23539,5905
9,Pscheidl,11,0.18628,1324,22.42168,5905
10,deepu105,10,0.16935,1334,22.59102,5905
11,dimbleby,10,0.16935,1344,22.76037,5905
12,ericmcbride,10,0.16935,1354,22.92972,5905
13,PeterGrace,10,0.16935,1364,23.09907,5905
14,ragne,10,0.16935,1374,23.26842,5905
15,liberwang1013,9,0.15241,1383,23.42083,5905
16,sstubbs,9,0.15241,1392,23.57324,5905
17,gnieto,8,0.13548,1400,23.70872,5905
18,gnunicorn,8,0.13548,1408,23.84420,5905
19,thavlik,7,0.11854,1415,23.96274,5905
20,danrspencer,6,0.10161,1421,24.06435,5905
21,garyanaplan,6,0.10161,1427,24.16596,5905
22,jbg,6,0.10161,1433,24.26757,5905
23,ktarplee,6,0.10161,1439,24.36918,5905
24,alexjg,5,0.08467,1444,24.45385,5905
25,bloveless,5,0.08467,1449,24.53853,5905
26,mattsawyer77,5,0.08467,1454,24.62320,5905
27,12101111,4,0.06774,1458,24.69094,5905
28,dpc,4,0.06774,1462,24.75868,5905
29,dylanhart,4,0.06774,1466,24.82642,5905
30,MOZGIII,4,0.06774,1470,24.89416,5905
31,NAlexPear,4,0.06774,1474,24.96190,5905
32,Ploppz,4,0.06774,1478,25.02964,5905
33,semtexzv,4,0.06774,1482,25.09738,5905
34,theduke,4,0.06774,1486,25.16511,5905
35,aquarhead,3,0.05080,1489,25.21592,5905
36,chroche,3,0.05080,1492,25.26672,5905
37,cswinter,3,0.05080,1495,25.31753,5905
38,detro,3,0.05080,1498,25.36833,5905
39,emilyaherbert,3,0.05080,1501,25.41914,5905
40,empath-75,3,0.05080,1504,25.46994,5905
41,jmjoy,3,0.05080,1507,25.52075,5905
42,ldesgoui,3,0.05080,1510,25.57155,5905
43,milesgranger,3,0.05080,1513,25.62235,5905
44,mumutu66,3,0.05080,1516,25.67316,5905
45,RobinMcCorkell,3,0.05080,1519,25.72396,5905
46,SachinMaharana,3,0.05080,1522,25.77477,5905
47,stephenmuss,3,0.05080,1525,25.82557,5905
48,vapourismo,3,0.05080,1528,25.87638,5905
49,AtkinsChang,2,0.03387,1530,25.91025,5905
50,davidpdrsn,2,0.03387,1532,25.94412,5905
51,divoxx,2,0.03387,1534,25.97798,5905
52,dmolokanov,2,0.03387,1536,26.01185,5905
53,geropl,2,0.03387,1538,26.04572,5905
54,jeluard,2,0.03387,1540,26.07959,5905
55,jobenye,2,0.03387,1542,26.11346,5905
56,joell,2,0.03387,1544,26.14733,5905
57,kobeHub,2,0.03387,1546,26.18120,5905
58,partiallyordered,2,0.03387,1548,26.21507,5905
59,pmsanford,2,0.03387,1550,26.24894,5905
60,roy-work,2,0.03387,1552,26.28281,5905
61,shigedangao,2,0.03387,1554,26.31668,5905
62,vigneshsarma,2,0.03387,1556,26.35055,5905
63,andreclaudino,1,0.01693,1557,26.36749,5905
64,anxiousmodernman,1,0.01693,1558,26.38442,5905
65,asthasr,1,0.01693,1559,26.40135,5905
66,bsmedberg-xometry,1,0.01693,1560,26.41829,5905
67,CarlosLanderas,1,0.01693,1561,26.43522,5905
68,cassandracomar,1,0.01693,1562,26.45216,5905
69,Ciantic,1,0.01693,1563,26.46909,5905
70,empath-nirvana,1,0.01693,1564,26.48603,5905
71,GSGerritsen,1,0.01693,1565,26.50296,5905
72,iming0319,1,0.01693,1566,26.51990,5905
73,J0sh0nat0r,1,0.01693,1567,26.53683,5905
74,jhpratt,1,0.01693,1568,26.55377,5905
75,JonnyWalker81,1,0.01693,1569,26.57070,5905
76,justinturpin,1,0.01693,1570,26.58764,5905
77,kelko,1,0.01693,1571,26.60457,5905
78,mimoo,1,0.01693,1572,26.62151,5905
79,momirza,1,0.01693,1573,26.63844,5905
80,montekki,1,0.01693,1574,26.65538,5905
81,ollieh,1,0.01693,1575,26.67231,5905
82,pisees,1,0.01693,1576,26.68925,5905
83,RetWolf,1,0.01693,1577,26.70618,5905
84,scirner22,1,0.01693,1578,26.72312,5905
85,sorenrood,1,0.01693,1579,26.74005,5905
86,urbaniak,1,0.01693,1580,26.75699,5905
87,xguerin,1,0.01693,1581,26.77392,5905
88,ZhiHanZ,1,0.01693,1582,26.79086,5905
