rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,shm12,345,5.22490,345,5.22490,6603
2,amirmalka,289,4.37680,634,9.60170,6603
3,YiscahLevySilas1,265,4.01333,899,13.61502,6603
4,kooomix,190,2.87748,1089,16.49250,6603
5,Daniel-GrunbergerCA,187,2.83205,1276,19.32455,6603
6,rotemamsa,172,2.60488,1448,21.92943,6603
7,vladklokun,169,2.55944,1617,24.48887,6603
8,Bezbran,149,2.25655,1766,26.74542,6603
9,Moshe-Rappaport-CA,115,1.74163,1881,28.48705,6603
10,suhasgumma,108,1.63562,1989,30.12267,6603
11,radoslawdob,77,1.16614,2066,31.28881,6603
12,pwnb0y,65,0.98440,2131,32.27321,6603
13,itsCheithanya,58,0.87839,2189,33.15160,6603
14,anubhav06,53,0.80267,2242,33.95426,6603
15,rcohencyberarmor,50,0.75723,2292,34.71149,6603
16,yuleib,29,0.43919,2321,35.15069,6603
17,MrKrishnaAgarwal,27,0.40891,2348,35.55959,6603
18,orrgato,26,0.39376,2374,35.95335,6603
19,deepuyadav004,22,0.33318,2396,36.28654,6603
20,bishal7679,21,0.31804,2417,36.60457,6603
21,fredbi,21,0.31804,2438,36.92261,6603
22,Cvr421,19,0.28775,2457,37.21036,6603
23,RayAsh37,19,0.28775,2476,37.49811,6603
24,clintmod,17,0.25746,2493,37.75557,6603
25,legendarykamal,16,0.24231,2509,37.99788,6603
26,leonidsandler,16,0.24231,2525,38.24019,6603
27,RohitYandigeri,16,0.24231,2541,38.48251,6603
28,fengshunli,15,0.22717,2556,38.70968,6603
29,souravsk,15,0.22717,2571,38.93685,6603
30,Aman123lug,14,0.21202,2585,39.14887,6603
31,ash-kamrip,14,0.21202,2599,39.36090,6603
32,Coolsum4,14,0.21202,2613,39.57292,6603
33,MaruthiKo,14,0.21202,2627,39.78495,6603
34,SaptarshiSarkar12,14,0.21202,2641,39.99697,6603
35,devmrfitz,12,0.18174,2653,40.17871,6603
36,iamhardikat11,12,0.18174,2665,40.36044,6603
37,maheshsk28211,12,0.18174,2677,40.54218,6603
38,sprathod369,12,0.18174,2689,40.72391,6603
39,KanishkaVerma054,11,0.16659,2700,40.89050,6603
40,om2137,11,0.16659,2711,41.05710,6603
41,Zoomhawk,11,0.16659,2722,41.22369,6603
42,itsOmSarraf,10,0.15145,2732,41.37513,6603
43,lamenawuer,10,0.15145,2742,41.52658,6603
44,LiorAlafiArmo,10,0.15145,2752,41.67803,6603
45,TarangVerma,10,0.15145,2762,41.82947,6603
46,trishitchar,10,0.15145,2772,41.98092,6603
47,xdavidel,10,0.15145,2782,42.13236,6603
48,biacharj,9,0.13630,2791,42.26867,6603
49,cigra,9,0.13630,2800,42.40497,6603
50,PraveenNanda124,9,0.13630,2809,42.54127,6603
51,RahulSurwade08,9,0.13630,2818,42.67757,6603
52,satvik2131,9,0.13630,2827,42.81387,6603
53,yf-odyssey,9,0.13630,2836,42.95017,6603
54,zohebs341,9,0.13630,2845,43.08648,6603
55,Meyazhagan,8,0.12116,2853,43.20763,6603
56,oakgul1,8,0.12116,2861,43.32879,6603
57,ohadm2,8,0.12116,2869,43.44995,6603
58,satyamkale27,8,0.12116,2877,43.57110,6603
59,SD-13,8,0.12116,2885,43.69226,6603
60,shivang2000,8,0.12116,2893,43.81342,6603
61,yonahd,8,0.12116,2901,43.93458,6603
62,jsa2,7,0.10601,2908,44.04059,6603
63,PratikDey,7,0.10601,2915,44.14660,6603
64,ryuusama09,7,0.10601,2922,44.25261,6603
65,SmartGuyy,7,0.10601,2929,44.35862,6603
66,teemosuny,7,0.10601,2936,44.46464,6603
67,testwill,7,0.10601,2943,44.57065,6603
68,wim-de-groot,7,0.10601,2950,44.67666,6603
69,ZacHaque,7,0.10601,2957,44.78267,6603
70,aiyushbedi007,6,0.09087,2963,44.87354,6603
71,anjannair,6,0.09087,2969,44.96441,6603
72,echoblag,6,0.09087,2975,45.05528,6603
73,rahuldhirendersingh,6,0.09087,2981,45.14615,6603
74,RothAndrew,6,0.09087,2987,45.23701,6603
75,Rounak-28,6,0.09087,2993,45.32788,6603
76,yairyairyair,6,0.09087,2999,45.41875,6603
77,AmanGupta677,5,0.07572,3004,45.49447,6603
78,avikittu,5,0.07572,3009,45.57020,6603
79,DivyanshSingh12,5,0.07572,3014,45.64592,6603
80,dsolstad,5,0.07572,3019,45.72164,6603
81,falconcode16,5,0.07572,3024,45.79736,6603
82,Hirdey-1999,5,0.07572,3029,45.87309,6603
83,kunjgit,5,0.07572,3034,45.94881,6603
84,nalin-singh,5,0.07572,3039,46.02453,6603
85,NirmitSawant,5,0.07572,3044,46.10026,6603
86,OmAximani0,5,0.07572,3049,46.17598,6603
87,rakshitgondwal,5,0.07572,3054,46.25170,6603
88,saswat16,5,0.07572,3059,46.32743,6603
89,sojugeorge,5,0.07572,3064,46.40315,6603
90,SrijanShovit,5,0.07572,3069,46.47887,6603
91,vishalgoyal16444,5,0.07572,3074,46.55460,6603
92,ArnWEB,4,0.06058,3078,46.61517,6603
93,asim-bhatta,4,0.06058,3082,46.67575,6603
94,dazzag24,4,0.06058,3086,46.73633,6603
95,ecarbonell-technisys,4,0.06058,3090,46.79691,6603
96,EdSwArchitect,4,0.06058,3094,46.85749,6603
97,fvogl,4,0.06058,3098,46.91807,6603
98,hayzer,4,0.06058,3102,46.97865,6603
99,ibidani,4,0.06058,3106,47.03922,6603
100,JusteenR,4,0.06058,3110,47.09980,6603
101,mario-ezquerro,4,0.06058,3114,47.16038,6603
102,neblen,4,0.06058,3118,47.22096,6603
103,npneeraj,4,0.06058,3122,47.28154,6603
104,prajapatiomkar,4,0.06058,3126,47.34212,6603
105,qgervacio,4,0.06058,3130,47.40270,6603
