rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,plunder-app,21,1.96445,21,1.96445,1069
2,sammcgeown,10,0.93545,31,2.89991,1069
3,nickperry,9,0.84191,40,3.74181,1069
4,budimanjojo,8,0.74836,48,4.49018,1069
5,blinkiz,7,0.65482,55,5.14500,1069
6,PeterGarner,7,0.65482,62,5.79981,1069
7,pradipd,7,0.65482,69,6.45463,1069
8,docbobo,6,0.56127,75,7.01590,1069
9,grunlab,6,0.56127,81,7.57717,1069
10,rwanito,6,0.56127,87,8.13845,1069
11,mhuttner,5,0.46773,92,8.60617,1069
12,anagno,4,0.37418,96,8.98036,1069
13,antondeswardt,4,0.37418,100,9.35454,1069
14,franciosi,4,0.37418,104,9.72872,1069
15,guliaka,4,0.37418,108,10.10290,1069
16,megian,4,0.37418,112,10.47708,1069
17,yaocw2020,4,0.37418,116,10.85126,1069
18,camrossi,3,0.28064,119,11.13190,1069
19,jjschwarz,3,0.28064,122,11.41254,1069
20,kaitoii11,3,0.28064,125,11.69317,1069
21,tahaozket,3,0.28064,128,11.97381,1069
22,bgulla,2,0.18709,130,12.16090,1069
23,goshlanguage,2,0.18709,132,12.34799,1069
24,HaveFun83,2,0.18709,134,12.53508,1069
25,HubbeKing,2,0.18709,136,12.72217,1069
26,maifujalam,2,0.18709,138,12.90926,1069
27,michelcve,2,0.18709,140,13.09635,1069
28,splashx,2,0.18709,142,13.28344,1069
29,ThomasLohmann,2,0.18709,144,13.47053,1069
30,workhorse2020,2,0.18709,146,13.65762,1069
31,205g0,1,0.09355,147,13.75117,1069
32,24sama,1,0.09355,148,13.84471,1069
33,aleccunningham,1,0.09355,149,13.93826,1069
34,boniek83,1,0.09355,150,14.03181,1069
35,clrxbl,1,0.09355,151,14.12535,1069
36,davidasnider,1,0.09355,152,14.21890,1069
37,davidjaquier,1,0.09355,153,14.31244,1069
38,debMan,1,0.09355,154,14.40599,1069
39,FlashIvano,1,0.09355,155,14.49953,1069
40,flawedmatrix,1,0.09355,156,14.59308,1069
41,joace,1,0.09355,157,14.68662,1069
42,luniHw,1,0.09355,158,14.78017,1069
43,RytisLT,1,0.09355,159,14.87371,1069
44,SweBarre,1,0.09355,160,14.96726,1069
45,ThomasADavis,1,0.09355,161,15.06080,1069
