rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,champtar,672,6.89584,672,6.89584,9745
2,msherif1234,281,2.88353,953,9.77937,9745
3,markdgray,269,2.76039,1222,12.53976,9745
4,oribon,140,1.43663,1362,13.97640,9745
5,sabinaaledort,104,1.06721,1466,15.04361,9745
6,liuyuan10,71,0.72858,1537,15.77219,9745
7,xnaveira,36,0.36942,1573,16.14161,9745
8,p-v-a,22,0.22576,1595,16.36737,9745
9,ykulazhenkov,19,0.19497,1614,16.56234,9745
10,bantocn,18,0.18471,1632,16.74705,9745
11,cmcarey,15,0.15393,1647,16.90097,9745
12,ElanHasson,15,0.15393,1662,17.05490,9745
13,rdxmb,15,0.15393,1677,17.20883,9745
14,chief93,14,0.14366,1691,17.35249,9745
15,icpenguins,14,0.14366,1705,17.49615,9745
16,mikemckiernan,14,0.14366,1719,17.63982,9745
17,remche,14,0.14366,1733,17.78348,9745
18,utkuozdemir,14,0.14366,1747,17.92714,9745
19,gayathri-baskaran,13,0.13340,1760,18.06054,9745
20,mleklund,13,0.13340,1773,18.19395,9745
21,mmack,13,0.13340,1786,18.32735,9745
22,rahul-kr4604,13,0.13340,1799,18.46075,9745
23,aditsachde,12,0.12314,1811,18.58389,9745
24,aleksey005,12,0.12314,1823,18.70703,9745
25,Elegant996,12,0.12314,1835,18.83017,9745
26,Matoch,12,0.12314,1847,18.95331,9745
27,pdf,12,0.12314,1859,19.07645,9745
28,TheKangaroo,12,0.12314,1871,19.19959,9745
29,aleks-mariusz,11,0.11288,1882,19.31247,9745
30,brettjenkins,11,0.11288,1893,19.42535,9745
31,chenpfeisoo,11,0.11288,1904,19.53822,9745
32,TheEnbyperor,11,0.11288,1915,19.65110,9745
33,Christoph-Raab,10,0.10262,1925,19.75372,9745
34,mxey,10,0.10262,1935,19.85634,9745
35,nalakawula,10,0.10262,1945,19.95895,9745
36,onmyflow,10,0.10262,1955,20.06157,9745
37,t0b3,10,0.10262,1965,20.16419,9745
38,13567436138,9,0.09236,1974,20.25654,9745
39,adamdunstan,9,0.09236,1983,20.34890,9745
40,DarkBlaez,9,0.09236,1992,20.44125,9745
41,olegmayko,9,0.09236,2001,20.53361,9745
42,qiyongxiao,9,0.09236,2010,20.62596,9745
43,davjr96,8,0.08209,2018,20.70806,9745
44,ghorofamike,8,0.08209,2026,20.79015,9745
45,jpm38,8,0.08209,2034,20.87224,9745
46,MinhDuc010194,8,0.08209,2042,20.95434,9745
47,rifaterdemsahin,8,0.08209,2050,21.03643,9745
48,ashak,7,0.07183,2057,21.10826,9745
49,asvillamar,7,0.07183,2064,21.18009,9745
50,davidq2q,7,0.07183,2071,21.25192,9745
51,driftavalli,7,0.07183,2078,21.32376,9745
52,dylex,7,0.07183,2085,21.39559,9745
53,halfa,7,0.07183,2092,21.46742,9745
54,honza801,7,0.07183,2099,21.53925,9745
55,hslabbert,7,0.07183,2106,21.61108,9745
56,jpiper,7,0.07183,2113,21.68291,9745
57,juliantaylor,7,0.07183,2120,21.75475,9745
58,maximih,7,0.07183,2127,21.82658,9745
59,RdL87,7,0.07183,2134,21.89841,9745
60,teralype,7,0.07183,2141,21.97024,9745
61,troppens,7,0.07183,2148,22.04207,9745
62,andrelop,6,0.06157,2154,22.10364,9745
63,donnib,6,0.06157,2160,22.16521,9745
64,harii9,6,0.06157,2166,22.22678,9745
65,jawabuu,6,0.06157,2172,22.28835,9745
66,jcrosel,6,0.06157,2178,22.34992,9745
67,jlclx,6,0.06157,2184,22.41149,9745
68,ryholt,6,0.06157,2190,22.47306,9745
69,WillieWookiee,6,0.06157,2196,22.53463,9745
70,chrono2002,5,0.05131,2201,22.58594,9745
71,ckoester2,5,0.05131,2206,22.63725,9745
72,dkulchinsky,5,0.05131,2211,22.68856,9745
73,gallart,5,0.05131,2216,22.73987,9745
74,ggmr2212,5,0.05131,2221,22.79117,9745
75,Henry-Kim-Youngwoo,5,0.05131,2226,22.84248,9745
76,howels,5,0.05131,2231,22.89379,9745
77,kiuka,5,0.05131,2236,22.94510,9745
78,ohauer,5,0.05131,2241,22.99641,9745
79,rbq,5,0.05131,2246,23.04772,9745
80,redmangospros,5,0.05131,2251,23.09903,9745
81,schaze,5,0.05131,2256,23.15033,9745
82,spuder,5,0.05131,2261,23.20164,9745
83,swoga,5,0.05131,2266,23.25295,9745
84,till,5,0.05131,2271,23.30426,9745
85,tommyknows,5,0.05131,2276,23.35557,9745
86,treydock,5,0.05131,2281,23.40688,9745
87,Zyt612,5,0.05131,2286,23.45818,9745
88,zzzuzik,5,0.05131,2291,23.50949,9745
89,albe2669,4,0.04105,2295,23.55054,9745
90,AlexisDucastel,4,0.04105,2299,23.59159,9745
91,ananbas,4,0.04105,2303,23.63263,9745
92,arnaudgelly,4,0.04105,2307,23.67368,9745
93,chrisplo,4,0.04105,2311,23.71473,9745
94,cjreyn,4,0.04105,2315,23.75577,9745
95,coolermister,4,0.04105,2319,23.79682,9745
96,dldd17,4,0.04105,2323,23.83787,9745
97,dschunack,4,0.04105,2327,23.87891,9745
98,elgamal2020,4,0.04105,2331,23.91996,9745
99,elliotmoso,4,0.04105,2335,23.96101,9745
100,eranyanay,4,0.04105,2339,24.00205,9745
101,frouzbeh,4,0.04105,2343,24.04310,9745
102,hatt,4,0.04105,2347,24.08415,9745
103,icefed,4,0.04105,2351,24.12519,9745
104,jenciso,4,0.04105,2355,24.16624,9745
105,jeroenjacobs1205,4,0.04105,2359,24.20729,9745
106,johnlane,4,0.04105,2363,24.24833,9745
107,jr0dd,4,0.04105,2367,24.28938,9745
108,Jumpy-Squirrel,4,0.04105,2371,24.33043,9745
109,liaolinrong,4,0.04105,2375,24.37147,9745
110,maxisam,4,0.04105,2379,24.41252,9745
111,mcarbonneaux,4,0.04105,2383,24.45357,9745
112,morgwai,4,0.04105,2387,24.49461,9745
113,orenzp,4,0.04105,2391,24.53566,9745
114,ralfonso,4,0.04105,2395,24.57671,9745
115,RostyslavFridman,4,0.04105,2399,24.61775,9745
116,shaggykp,4,0.04105,2403,24.65880,9745
117,skydoctor,4,0.04105,2407,24.69985,9745
118,stevenfollis,4,0.04105,2411,24.74089,9745
119,tedder,4,0.04105,2415,24.78194,9745
120,tiandong19860806,4,0.04105,2419,24.82299,9745
121,vgoldani,4,0.04105,2423,24.86403,9745
122,WeirdMachine,4,0.04105,2427,24.90508,9745
123,zerobane,4,0.04105,2431,24.94613,9745
124,ahdzesq,3,0.03079,2434,24.97691,9745
125,berlinsaint,3,0.03079,2437,25.00770,9745
126,bkupidura,3,0.03079,2440,25.03848,9745
127,calfox,3,0.03079,2443,25.06927,9745
128,Champ-Goblem,3,0.03079,2446,25.10005,9745
129,christarazi,3,0.03079,2449,25.13084,9745
130,danielkucera,3,0.03079,2452,25.16162,9745
131,dano0b,3,0.03079,2455,25.19241,9745
132,dirtbag,3,0.03079,2458,25.22319,9745
133,Diz100rM,3,0.03079,2461,25.25398,9745
134,doug62,3,0.03079,2464,25.28476,9745
135,falfaro,3,0.03079,2467,25.31555,9745
136,flaktack,3,0.03079,2470,25.34633,9745
137,flokli,3,0.03079,2473,25.37712,9745
138,gggitpl,3,0.03079,2476,25.40790,9745
139,HaveFun83,3,0.03079,2479,25.43869,9745
140,hibby50,3,0.03079,2482,25.46947,9745
141,holmesb,3,0.03079,2485,25.50026,9745
142,iceman91176,3,0.03079,2488,25.53104,9745
