rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,cyc115,61,0.34637,61,0.34637,17611
2,dnwake,44,0.24984,105,0.59622,17611
3,innocentme1,39,0.22145,144,0.81767,17611
4,rhonnava,35,0.19874,179,1.01641,17611
5,NiazFK,34,0.19306,213,1.20947,17611
6,lewiada,28,0.15899,241,1.36846,17611
7,dbilling,25,0.14196,266,1.51042,17611
8,dubo-dubon-duponey,24,0.13628,290,1.64670,17611
9,aviral26,20,0.11357,310,1.76026,17611
10,mkonakan,20,0.11357,330,1.87383,17611
11,sabada,20,0.11357,350,1.98739,17611
12,chunglam1999,16,0.09085,366,2.07825,17611
13,abhi-dwivedi,15,0.08517,381,2.16342,17611
14,hridyeshpant,15,0.08517,396,2.24859,17611
15,brandongohwh,13,0.07382,409,2.32241,17611
16,gmaurelia,12,0.06814,421,2.39055,17611
17,KellerFuchs,11,0.06246,432,2.45301,17611
18,jhdalek55,10,0.05678,442,2.50980,17611
19,jondkent,10,0.05678,452,2.56658,17611
20,drauch,9,0.05110,461,2.61768,17611
21,gsexton,9,0.05110,470,2.66879,17611
22,jschintag,9,0.05110,479,2.71989,17611
23,leeadh,9,0.05110,488,2.77100,17611
24,LionHeart7735,9,0.05110,497,2.82210,17611
25,sethbergman,9,0.05110,506,2.87320,17611
26,shiva022,9,0.05110,515,2.92431,17611
27,aurcioli-handy,8,0.04543,523,2.96973,17611
28,krockpot,8,0.04543,531,3.01516,17611
29,unullmass,8,0.04543,539,3.06059,17611
30,useidel,8,0.04543,547,3.10601,17611
31,corburn,7,0.03975,554,3.14576,17611
32,directionless,7,0.03975,561,3.18551,17611
33,jverger,7,0.03975,568,3.22526,17611
34,rusirenye,7,0.03975,575,3.26500,17611
35,aboettger-tuhh,6,0.03407,581,3.29907,17611
36,a-dma,6,0.03407,587,3.33314,17611
37,anekar10,6,0.03407,593,3.36721,17611
38,artsf,6,0.03407,599,3.40128,17611
39,gokarnm,6,0.03407,605,3.43535,17611
40,JimGalasyn,6,0.03407,611,3.46942,17611
41,m4masood,6,0.03407,617,3.50349,17611
42,sjhx,6,0.03407,623,3.53756,17611
43,akamalov,5,0.02839,628,3.56595,17611
44,Anvil,5,0.02839,633,3.59434,17611
45,ashishjain14,5,0.02839,638,3.62274,17611
46,gtaban,5,0.02839,643,3.65113,17611
47,jesseendahl,5,0.02839,648,3.67952,17611
48,jimfl,5,0.02839,653,3.70791,17611
49,ralgozino,5,0.02839,658,3.73630,17611
50,seb-bah,5,0.02839,663,3.76469,17611
51,aabashkin,4,0.02271,667,3.78741,17611
52,ac-obair,4,0.02271,671,3.81012,17611
53,cihatyildiz,4,0.02271,675,3.83283,17611
54,DanBarychev,4,0.02271,679,3.85554,17611
55,glyph,4,0.02271,683,3.87826,17611
56,iamktm,4,0.02271,687,3.90097,17611
57,joaopapereira,4,0.02271,691,3.92368,17611
58,jsoler,4,0.02271,695,3.94640,17611
59,lveljovic,4,0.02271,699,3.96911,17611
60,rchincha,4,0.02271,703,3.99182,17611
61,sarya0113,4,0.02271,707,4.01454,17611
62,timgp,4,0.02271,711,4.03725,17611
63,williamdes,4,0.02271,715,4.05996,17611
64,0x13a,3,0.01703,718,4.07700,17611
65,0x9060,3,0.01703,721,4.09403,17611
66,adomenech73,3,0.01703,724,4.11107,17611
67,bbdtsof,3,0.01703,727,4.12810,17611
68,BillMills,3,0.01703,730,4.14514,17611
69,cloud-egl,3,0.01703,733,4.16217,17611
70,CodingSpiderFox,3,0.01703,736,4.17921,17611
71,csqshz,3,0.01703,739,4.19624,17611
72,djs55,3,0.01703,742,4.21328,17611
73,flsou-e,3,0.01703,745,4.23031,17611
74,mmasooddatascience,3,0.01703,748,4.24735,17611
75,nicolas-mosch,3,0.01703,751,4.26438,17611
76,nim-nim,3,0.01703,754,4.28142,17611
77,omieomye,3,0.01703,757,4.29845,17611
78,paavan98pm,3,0.01703,760,4.31548,17611
79,peconi,3,0.01703,763,4.33252,17611
80,perezjasonr,3,0.01703,766,4.34955,17611
81,pgkelley4,3,0.01703,769,4.36659,17611
82,shouze,3,0.01703,772,4.38362,17611
83,symgryph,3,0.01703,775,4.40066,17611
84,ahmed-bacha,2,0.01136,777,4.41202,17611
85,ali-yousuf-10p,2,0.01136,779,4.42337,17611
86,alyyousuf7,2,0.01136,781,4.43473,17611
87,AnushaSunkada,2,0.01136,783,4.44608,17611
88,bburky,2,0.01136,785,4.45744,17611
89,cavelo-brendanreekie,2,0.01136,787,4.46880,17611
90,choman,2,0.01136,789,4.48015,17611
91,dafyll,2,0.01136,791,4.49151,17611
92,DanielOstovary,2,0.01136,793,4.50287,17611
93,dvyas,2,0.01136,795,4.51422,17611
94,JensVD,2,0.01136,797,4.52558,17611
95,lahirurd,2,0.01136,799,4.53694,17611
96,mhalano,2,0.01136,801,4.54829,17611
97,MohamedTalhaoui,2,0.01136,803,4.55965,17611
98,mstanleyjones,2,0.01136,805,4.57101,17611
99,naman,2,0.01136,807,4.58236,17611
100,noeljackson,2,0.01136,809,4.59372,17611
101,nullterminated,2,0.01136,811,4.60508,17611
102,ravitejb,2,0.01136,813,4.61643,17611
103,Riszin,2,0.01136,815,4.62779,17611
104,rubenmachuca,2,0.01136,817,4.63915,17611
105,rubroboletus,2,0.01136,819,4.65050,17611
