Date,1001+,101-1000,51-100,21-50,16-20,11-15,10,9,8,7,6,5,4,3,2,1,0
2018-08-22,85,529,319,524,196,322,116,102,142,142,228,249,401,518,1140,2226,2597
2018-08-23,85,529,319,524,196,322,116,102,142,142,228,249,401,518,1140,2226,2597
2018-09-03,85,529,319,524,196,322,116,102,142,142,228,249,401,518,1140,2226,2597
2018-09-04,85,531,319,525,196,322,116,102,142,142,228,249,401,518,1140,2227,2604
2018-09-05,85,531,319,525,196,322,116,102,142,142,228,249,401,518,1140,2227,2604
2018-09-06,85,531,319,525,196,322,116,102,142,142,228,249,401,518,1140,2227,2604
2018-09-07,85,531,319,525,196,322,116,102,142,142,228,249,401,518,1140,2227,2604
2018-09-10,85,531,319,525,196,322,116,102,142,142,228,249,401,518,1140,2227,2604
2018-09-11,85,531,319,525,196,322,116,102,142,142,228,249,401,518,1140,2227,2604
2018-09-12,85,531,319,525,196,322,116,102,142,142,228,249,401,518,1140,2227,2592
2018-09-14,85,531,319,525,196,322,116,102,142,142,228,249,401,518,1140,2227,2592
2018-09-17,88,561,352,595,224,356,123,106,148,145,230,255,409,520,1147,2237,2706
2018-09-18,88,561,352,595,229,362,124,109,158,146,233,256,411,521,1151,2239,1432
2018-09-19,88,561,352,595,229,362,124,109,158,146,233,256,411,521,1151,2239,1432
2018-09-20,93,583,374,615,246,365,149,115,163,139,252,253,466,522,1314,1839,1298
2018-09-21,94,586,381,623,250,367,151,119,167,144,258,258,477,546,1355,1926,1481
2018-09-24,94,586,381,623,250,367,151,119,167,144,258,258,477,546,1355,1926,1481
2018-09-25,94,589,382,624,255,394,155,124,173,157,273,260,482,549,1358,1933,1521
2018-09-26,94,589,382,624,255,394,155,124,173,157,273,260,482,549,1358,1933,1521
2018-09-27,94,590,387,637,261,398,155,126,173,157,273,260,482,550,1362,1953,1557
2018-09-28,94,590,387,637,261,398,155,126,173,157,273,260,482,550,1362,1953,1557
2018-10-01,94,590,387,637,261,398,155,126,173,157,273,260,482,550,1362,1953,1557
2018-10-02,94,590,387,637,261,398,155,126,173,157,273,260,482,550,1362,1953,1557
2018-10-03,94,590,387,637,261,398,155,126,173,157,273,260,482,550,1362,1953,1557
2018-10-04,94,590,388,639,265,412,169,134,181,171,287,280,487,555,1373,1958,1595
2018-10-05,94,590,388,639,265,412,169,134,181,171,287,280,488,555,1373,1959,1599
2018-10-08,94,590,388,639,265,412,169,134,181,171,287,280,488,555,1373,1959,1599
2018-10-09,97,604,393,643,268,417,171,137,180,175,288,282,497,569,1405,2006,1571
2018-10-11,97,604,393,643,268,417,171,137,180,175,288,282,497,569,1405,2006,1571
2018-10-15,111,655,410,676,287,437,172,145,192,182,319,311,543,620,1451,2048,1709
2018-10-16,111,655,410,676,287,437,172,145,192,182,319,311,543,620,1451,2048,1709
2018-10-30,111,655,410,676,287,437,172,145,192,182,319,311,543,620,1451,2048,1709
2018-10-31,112,680,420,708,294,462,184,149,204,195,356,346,556,685,1554,2099,1901
2018-11-01,112,680,420,708,294,462,184,149,204,195,356,346,556,685,1554,2099,1901
2018-11-02,112,680,420,708,294,462,184,149,204,195,356,346,556,685,1554,2099,1901
2018-11-13,112,680,420,708,294,462,184,149,204,195,356,346,556,685,1554,2099,1901
2018-11-14,112,680,420,708,294,462,184,149,204,195,356,346,556,685,1554,2099,1901
2018-11-16,112,680,420,708,294,462,184,149,204,195,356,346,556,685,1554,2099,1901
2018-11-18,112,680,420,708,294,462,184,149,204,195,356,346,556,685,1554,2099,1901
2018-11-19,112,680,420,708,294,462,184,149,204,195,356,346,556,685,1554,2099,1901
2018-11-21,112,680,420,708,294,462,184,149,204,195,356,346,556,685,1554,2099,1901
2018-11-22,112,680,420,708,294,462,184,149,204,195,356,346,556,685,1554,2099,1901
2018-11-23,112,680,420,708,294,462,184,149,204,195,356,346,556,685,1554,2099,1901
