rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,mihaibuzgau,183,23.13527,183,23.13527,791
2,carabasdaniel,111,14.03287,294,37.16814,791
3,gimmyxd,105,13.27434,399,50.44248,791
4,gertd,96,12.13654,495,62.57901,791
5,oanatmaria,72,9.10240,567,71.68142,791
6,florindragos,53,6.70038,620,78.38180,791
7,ogazitt,52,6.57396,672,84.95575,791
8,apoland,11,1.39064,683,86.34640,791
9,rschwabco,6,0.75853,689,87.10493,791
10,ananyakaushik,3,0.37927,692,87.48420,791
11,gheorghep,1,0.12642,693,87.61062,791
