rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,zheng1,176,19.17211,176,19.17211,918
2,FeynmanZhou,148,16.12200,324,35.29412,918
3,Patrick-LuoYu,57,6.20915,381,41.50327,918
4,k0ngk0ng,19,2.06972,400,43.57298,918
5,GeorgeGuo2018,12,1.30719,412,44.88017,918
6,Nctllnty,7,0.76253,419,45.64270,918
7,xyz-li,7,0.76253,426,46.40523,918
8,driftavalli,6,0.65359,432,47.05882,918
9,Mrtao1028,6,0.65359,438,47.71242,918
10,calvinyv,5,0.54466,443,48.25708,918
11,KONY128,5,0.54466,448,48.80174,918
12,rayzhou2017,5,0.54466,453,49.34641,918
13,yzz-ihep,5,0.54466,458,49.89107,918
14,zryfish,5,0.54466,463,50.43573,918
15,53537,4,0.43573,467,50.87146,918
16,iparanoid,4,0.43573,471,51.30719,918
17,laixiaohuai,4,0.43573,475,51.74292,918
18,hade94,3,0.32680,478,52.06972,918
19,JesseStutler,3,0.32680,481,52.39651,918
20,pmbsa,3,0.32680,484,52.72331,918
21,ruckc,3,0.32680,487,53.05011,918
22,tqtcloud,3,0.32680,490,53.37691,918
23,VioZhang,3,0.32680,493,53.70370,918
24,benschmi,2,0.21786,495,53.92157,918
25,caffeinism,2,0.21786,497,54.13943,918
26,dkeven,2,0.21786,499,54.35730,918
27,haslersn,2,0.21786,501,54.57516,918
28,Sherlock113,2,0.21786,503,54.79303,918
29,xmapst,2,0.21786,505,55.01089,918
30,24sama,1,0.10893,506,55.11983,918
31,Ci-Jie,1,0.10893,507,55.22876,918
32,Elegant996,1,0.10893,508,55.33769,918
33,j4ckzh0u,1,0.10893,509,55.44662,918
34,JohnNiang,1,0.10893,510,55.55556,918
35,junotx,1,0.10893,511,55.66449,918
36,ldseraph,1,0.10893,512,55.77342,918
37,macaty,1,0.10893,513,55.88235,918
38,pangfd,1,0.10893,514,55.99129,918
39,penghuima,1,0.10893,515,56.10022,918
40,pyfs,1,0.10893,516,56.20915,918
41,rzhou186,1,0.10893,517,56.31808,918
42,serenashe,1,0.10893,518,56.42702,918
43,stoneshi-yunify,1,0.10893,519,56.53595,918
44,tpiperatgod,1,0.10893,520,56.64488,918
45,wangshiyang,1,0.10893,521,56.75381,918
46,yinjiayi,1,0.10893,522,56.86275,918
47,yunkunrao,1,0.10893,523,56.97168,918
48,zhu733756,1,0.10893,524,57.08061,918
