rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,njhale,2485,3.26445,2485,3.26445,76123
2,kevinrizza,2352,3.08974,4837,6.35419,76123
3,J0zi,2053,2.69695,6890,9.05114,76123
4,timflannagan1,1913,2.51304,8803,11.56418,76123
5,dmesser,1673,2.19776,10476,13.76194,76123
6,aravindhp,1664,2.18594,12140,15.94787,76123
7,dinhxuanvu,1174,1.54224,13314,17.49011,76123
8,tkashem,1065,1.39905,14379,18.88917,76123
9,anik120,781,1.02597,15160,19.91514,76123
10,benluddy,657,0.86308,15817,20.77821,76123
11,mvalahtv,656,0.86176,16473,21.63998,76123
12,jozzi,471,0.61874,16944,22.25871,76123
13,aneeshkp,432,0.56750,17376,22.82622,76123
14,asmacdo,388,0.50970,17764,23.33592,76123
15,bentito,367,0.48211,18131,23.81803,76123
16,EmilyM1,303,0.39804,18434,24.21607,76123
17,bharathi-tenneti,254,0.33367,18688,24.54974,76123
18,varshaprasad96,244,0.32053,18932,24.87028,76123
19,MartinBasti,230,0.30214,19162,25.17242,76123
20,jeremylinlin,213,0.27981,19375,25.45223,76123
21,harishsurf,206,0.27061,19581,25.72284,76123
22,ssimk0,191,0.25091,19772,25.97375,76123
23,theishshah,191,0.25091,19963,26.22466,76123
24,dymurray,165,0.21675,20128,26.44142,76123
25,tschuy,143,0.18785,20271,26.62927,76123
26,Edke,127,0.16684,20398,26.79611,76123
27,eivantsov,127,0.16684,20525,26.96294,76123
28,flickerfly,118,0.15501,20643,27.11795,76123
29,commanderchewbacca,101,0.13268,20744,27.25063,76123
30,galderz,100,0.13137,20844,27.38200,76123
31,guymguym,88,0.11560,20932,27.49760,76123
32,gfbarros,87,0.11429,21019,27.61189,76123
33,niso120b,82,0.10772,21101,27.71961,76123
34,vazirim,82,0.10772,21183,27.82733,76123
35,tmckayus,81,0.10641,21264,27.93374,76123
36,xiangjingli,73,0.09590,21337,28.02964,76123
37,jmckind,72,0.09458,21409,28.12422,76123
38,Jamstah,70,0.09196,21479,28.21618,76123
39,mew2057,68,0.08933,21547,28.30551,76123
