rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,shizhMSFT,444,26.87651,444,26.87651,1652
2,pytimer,14,0.84746,458,27.72397,1652
3,hideto0710,12,0.72639,470,28.45036,1652
4,mxey,11,0.66586,481,29.11622,1652
5,Silvanoc,10,0.60533,491,29.72155,1652
6,yuwaMSFT2,9,0.54479,500,30.26634,1652
7,jinghzhu,7,0.42373,507,30.69007,1652
8,zmarouf,6,0.36320,513,31.05327,1652
9,bauerm97,4,0.24213,517,31.29540,1652
10,markphelps,4,0.24213,521,31.53753,1652
11,morlay,4,0.24213,525,31.77966,1652
12,ylz-at,4,0.24213,529,32.02179,1652
13,codefromthecrypt,3,0.18160,532,32.20339,1652
14,gapariha,3,0.18160,535,32.38499,1652
15,wmedlar,3,0.18160,538,32.56659,1652
16,zendril,3,0.18160,541,32.74818,1652
17,griffin,2,0.12107,543,32.86925,1652
18,zygon4,2,0.12107,545,32.99031,1652
19,adewaleo,1,0.06053,546,33.05085,1652
20,dtrudg,1,0.06053,547,33.11138,1652
21,harishsg99,1,0.06053,548,33.17191,1652
22,hatzhang,1,0.06053,549,33.23245,1652
23,hemantha-kumara,1,0.06053,550,33.29298,1652
24,jacek-jablonski,1,0.06053,551,33.35351,1652
25,KarsonAlford,1,0.06053,552,33.41404,1652
26,killwing,1,0.06053,553,33.47458,1652
27,lmcdasm,1,0.06053,554,33.53511,1652
28,mahendrapaipuri,1,0.06053,555,33.59564,1652
29,mirdaki,1,0.06053,556,33.65617,1652
30,pwntester,1,0.06053,557,33.71671,1652
31,quater,1,0.06053,558,33.77724,1652
32,sidiesen,1,0.06053,559,33.83777,1652
33,sowu880,1,0.06053,560,33.89831,1652
34,taywrobel,1,0.06053,561,33.95884,1652
