Order,Company,Index,File/Directory,Number,Percent,PercentAll
All By changed lines,All,0,"",788948,100.0,100.0
All By changed lines,Google,1,"",599327,75.965,75.965
By changed lines,Google,1,staging,232175,38.739,29.428
By changed lines,Google,1,staging/src/k8s.io/client-go,232083,38.724,29.417
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5,182961,30.528,23.191
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5/_vendor,169743,28.322,21.515
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5/_vendor/golang.org/x,138985,23.19,17.616
By changed lines,Google,1,api,120941,20.179,15.329
By changed lines,Google,1,api/openapi-spec,115802,19.322,14.678
By changed lines,Google,1,pkg,113713,18.973,14.413
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5/_vendor/golang.org/x/sys,98490,16.433,12.484
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5/_vendor/golang.org/x/sys/unix,98441,16.425,12.478
By changed lines,Google,1,pkg/client,53487,8.925,6.78
By changed lines,Google,1,federation,51378,8.573,6.512
By changed lines,Google,1,pkg/client/clientset_generated,49377,8.239,6.259
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5/_vendor/golang.org/x/text,36658,6.117,4.646
By changed lines,Google,1,api/openapi-spec/root_swagger.json,32712,5.458,4.146
By changed lines,Google,1,api/openapi-spec/v1.json,32365,5.4,4.102
By changed lines,Google,1,federation/apis,30074,5.018,3.812
By changed lines,Google,1,federation/apis/openapi-spec,29805,4.973,3.778
By changed lines,Google,1,test,27688,4.62,3.509
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor,22713,3.79,2.879
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5/_vendor/github.com,22413,3.74,2.841
By changed lines,Google,1,pkg/kubelet,18109,3.022,2.295
All By changed lines,Red Hat,2,"",136157,17.258,17.258
By changed lines,Red Hat,2,pkg,82812,60.821,10.497
By changed lines,Red Hat,2,pkg/client,31725,23.3,4.021
By changed lines,Red Hat,2,contrib/mesos,26620,19.551,3.374
By changed lines,Red Hat,2,contrib/mesos/pkg,24100,17.7,3.055
By changed lines,Red Hat,2,pkg/client/unversioned,15499,11.383,1.965
By changed lines,Red Hat,2,contrib/mesos/pkg/scheduler,11729,8.614,1.487
By changed lines,Red Hat,2,pkg/client/clientset_generated,9930,7.293,1.259
By changed lines,Red Hat,2,pkg/kubelet,9584,7.039,1.215
By changed lines,Red Hat,2,pkg/controller,7891,5.796,1.0
By changed lines,Red Hat,2,federation,6489,4.766,0.822
By changed lines,Red Hat,2,test,6168,4.53,0.782
By changed lines,Red Hat,2,federation/apis,6095,4.476,0.773
By changed lines,Red Hat,2,pkg/kubectl,5860,4.304,0.743
By changed lines,Red Hat,2,pkg/genericapiserver,5730,4.208,0.726
By changed lines,Red Hat,2,federation/apis/swagger-spec,5168,3.796,0.655
By changed lines,Red Hat,2,pkg/apis,4670,3.43,0.592
By changed lines,Red Hat,2,pkg/client/unversioned/testclient,4553,3.344,0.577
By changed lines,Red Hat,2,pkg/kubectl/cmd,4513,3.315,0.572
By changed lines,Red Hat,2,plugin,4208,3.091,0.533
By changed lines,Red Hat,2,plugin/pkg,4172,3.064,0.529
By changed lines,Red Hat,2,federation/apis/swagger-spec/extensions_v1beta1.json,4105,3.015,0.52
By changed lines,Red Hat,2,pkg/client/clientset_generated/release_1_5,3904,2.867,0.495
By changed lines,Red Hat,2,pkg/client/clientset_generated/release_1_5/typed,3779,2.775,0.479
By changed lines,Red Hat,2,test/e2e,3638,2.672,0.461
All By changed lines,Self,3,"",6383,0.809,0.809
By changed lines,Self,3,pkg,3332,52.201,0.422
By changed lines,Self,3,pkg/kubelet,1304,20.429,0.165
By changed lines,Self,3,pkg/cloudprovider,651,10.199,0.083
By changed lines,Self,3,pkg/cloudprovider/providers,637,9.98,0.081
By changed lines,Self,3,staging/src/k8s.io/client-go,609,9.541,0.077
By changed lines,Self,3,staging/src/k8s.io/client-go/_vendor/github.com/juju/ratelimit,604,9.463,0.077
By changed lines,Self,3,cluster,552,8.648,0.07
By changed lines,Self,3,pkg/kubelet/rktshim,435,6.815,0.055
By changed lines,Self,3,build/build-image,407,6.376,0.052
By changed lines,Self,3,build/build-image/cross,405,6.345,0.051
By changed lines,Self,3,pkg/util,404,6.329,0.051
By changed lines,Self,3,build/build-image/cross/golang-patches/CL28857-go1.7.1-luxas.patch,390,6.11,0.049
By changed lines,Self,3,pkg/util/ratelimit,374,5.859,0.047
By changed lines,Self,3,cluster/saltbase/salt,373,5.844,0.047
By changed lines,Self,3,docs,351,5.499,0.044
By changed lines,Self,3,docs/proposals,338,5.295,0.043
All By changed lines,Apprenda,4,"",6359,0.806,0.806
By changed lines,Apprenda,4,pkg,4757,74.807,0.603
By changed lines,Apprenda,4,pkg/proxy/winuserspace,3289,51.722,0.417
By changed lines,Apprenda,4,cmd,1596,25.098,0.202
By changed lines,Apprenda,4,cmd/kubeadm,1547,24.328,0.196
By changed lines,Apprenda,4,cmd/kubeadm/app,1510,23.746,0.191
By changed lines,Apprenda,4,pkg/kubelet,898,14.122,0.114
By changed lines,Apprenda,4,pkg/proxy/winuserspace/proxier_test.go,856,13.461,0.108
By changed lines,Apprenda,4,pkg/proxy/winuserspace/roundrobin_test.go,728,11.448,0.092
By changed lines,Apprenda,4,cmd/kubeadm/app/util,725,11.401,0.092
By changed lines,Apprenda,4,pkg/proxy/winuserspace/proxier.go,683,10.741,0.087
By changed lines,Apprenda,4,pkg/kubelet/dockertools,611,9.608,0.077
By changed lines,Apprenda,4,pkg/kubelet/dockertools/docker_manager.go,446,7.014,0.057
By changed lines,Apprenda,4,cmd/kubeadm/app/util/kubeconfig_test.go,365,5.74,0.046
By changed lines,Apprenda,4,pkg/util,338,5.315,0.043
By changed lines,Apprenda,4,pkg/util/netsh,334,5.252,0.042
By changed lines,Apprenda,4,pkg/proxy/winuserspace/roundrobin.go,327,5.142,0.041
By changed lines,Apprenda,4,pkg/proxy/winuserspace/proxysocket.go,301,4.733,0.038
By changed lines,Apprenda,4,pkg/util/netsh/netsh.go,204,3.208,0.026
By changed lines,Apprenda,4,cmd/kubeadm/app/preflight,178,2.799,0.023
By changed lines,Apprenda,4,cmd/kubeadm/app/util/tokens_test.go,167,2.626,0.021
By changed lines,Apprenda,4,pkg/kubeadm/master/addons.go,164,2.579,0.021
By changed lines,Apprenda,4,pkg/proxy/winuserspace/port_allocator.go,154,2.422,0.02
All By changed lines,Mirantis,5,"",5839,0.74,0.74
By changed lines,Mirantis,5,pkg,3460,59.257,0.439
By changed lines,Mirantis,5,pkg/kubectl,2047,35.057,0.259
By changed lines,Mirantis,5,pkg/kubectl/cmd,1900,32.54,0.241
By changed lines,Mirantis,5,test,1635,28.001,0.207
By changed lines,Mirantis,5,test/e2e,1584,27.128,0.201
By changed lines,Mirantis,5,test/e2e/scheduler_predicates.go,955,16.356,0.121
By changed lines,Mirantis,5,pkg/kubectl/cmd/testing/fake.go,539,9.231,0.068
By changed lines,Mirantis,5,pkg/kubelet,531,9.094,0.067
By changed lines,Mirantis,5,pkg/kubectl/cmd/cmd_test.go,491,8.409,0.062
By changed lines,Mirantis,5,pkg/kubelet/dockertools/docker_manager_test.go,373,6.388,0.047
By changed lines,Mirantis,5,test/e2e/petset.go,300,5.138,0.038
By changed lines,Mirantis,5,test/e2e/empty_dir_wrapper.go,280,4.795,0.035
By changed lines,Mirantis,5,plugin/pkg,278,4.761,0.035
By changed lines,Mirantis,5,pkg/api/validation,261,4.47,0.033
By changed lines,Mirantis,5,plugin/pkg/scheduler,260,4.453,0.033
By changed lines,Mirantis,5,pkg/api/validation/validation_test.go,252,4.316,0.032
By changed lines,Mirantis,5,plugin/pkg/scheduler/algorithmprovider/defaults/compatibility_test.go,234,4.008,0.03
By changed lines,Mirantis,5,hack,178,3.048,0.023
By changed lines,Mirantis,5,pkg/controller,164,2.809,0.021
All By changed lines,Weaveworks,6,"",5488,0.696,0.696
By changed lines,Weaveworks,6,pkg,3923,71.483,0.497
By changed lines,Weaveworks,6,pkg/kubeadm,2848,51.895,0.361
By changed lines,Weaveworks,6,pkg/kubeadm/master,1180,21.501,0.15
By changed lines,Weaveworks,6,pkg/kubeadm/cmd,1037,18.896,0.131
By changed lines,Weaveworks,6,cmd,915,16.673,0.116
By changed lines,Weaveworks,6,cmd/kubeadm,774,14.103,0.098
By changed lines,Weaveworks,6,pkg/util,665,12.117,0.084
By changed lines,Weaveworks,6,cmd/kubeadm/app,628,11.443,0.08
By changed lines,Weaveworks,6,pkg/kubeadm/cmd/manual.go,600,10.933,0.076
By changed lines,Weaveworks,6,api,491,8.947,0.062
By changed lines,Weaveworks,6,pkg/util/cert,453,8.254,0.057
By changed lines,Weaveworks,6,cmd/kubeadm/app/master,353,6.432,0.045
By changed lines,Weaveworks,6,api/swagger-spec,329,5.995,0.042
By changed lines,Weaveworks,6,pkg/kubeadm/master/manifests.go,280,5.102,0.035
By changed lines,Weaveworks,6,pkg/kubeadm/master/apiclient.go,224,4.082,0.028
By changed lines,Weaveworks,6,pkg/kubeadm/util,217,3.954,0.028
By changed lines,Weaveworks,6,pkg/util/crypto/crypto.go,212,3.863,0.027
By changed lines,Weaveworks,6,pkg/kubeadm/master/pki.go,206,3.754,0.026
By changed lines,Weaveworks,6,pkg/kubeadm/node,201,3.663,0.025
By changed lines,Weaveworks,6,pkg/kubeadm/master/addons.go,191,3.48,0.024
By changed lines,Weaveworks,6,pkg/util/cert/cert.go,190,3.462,0.024
By changed lines,Weaveworks,6,pkg/kubeadm/cmd/init.go,175,3.189,0.022
By changed lines,Weaveworks,6,cmd/kubeadm/app/master/manifests.go,166,3.025,0.021
By changed lines,Weaveworks,6,api/openapi-spec,162,2.952,0.021
All By changed lines,Hyper.sh,7,"",5271,0.668,0.668
By changed lines,Hyper.sh,7,pkg,4659,88.389,0.591
By changed lines,Hyper.sh,7,pkg/kubelet,4612,87.498,0.585
By changed lines,Hyper.sh,7,pkg/kubelet/kuberuntime,2240,42.497,0.284
By changed lines,Hyper.sh,7,pkg/kubelet/api,1567,29.729,0.199
