rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,andreipaduroiu,6159,12.23796,6159,12.23796,50327
2,fpj,5925,11.77300,12084,24.01097,50327
3,tkaitchuck,3859,7.66785,15943,31.67882,50327
4,shiveshr,3710,7.37179,19653,39.05061,50327
5,RaulGracia,3150,6.25907,22803,45.30967,50327
6,shrids,2826,5.61528,25629,50.92495,50327
7,arvindkandhare,2135,4.24226,27764,55.16721,50327
8,ravisharda,1821,3.61834,29585,58.78554,50327
9,pbelgundi,1699,3.37592,31284,62.16146,50327
10,anishakj,1187,2.35857,32471,64.52004,50327
11,Aparnarr,1139,2.26320,33610,66.78324,50327
12,Prabha-Veerubhotla,1095,2.17577,34705,68.95901,50327
13,vijikarthi,1066,2.11815,35771,71.07716,50327
14,sachin-j-joshi,1014,2.01482,36785,73.09198,50327
15,SrishT,847,1.68299,37632,74.77497,50327
16,Prabhaker24,806,1.60153,38438,76.37650,50327
17,Tristan1900,729,1.44853,39167,77.82502,50327
18,crazyzhou,692,1.37501,39859,79.20003,50327
19,kevinhan88,657,1.30546,40516,80.50549,50327
20,claudiofahey,633,1.25777,41149,81.76327,50327
21,eolivelli,597,1.18624,41746,82.94951,50327
22,kmgowda,500,0.99350,42246,83.94301,50327
23,skrishnappa,305,0.60604,42551,84.54905,50327
24,ManishKumarKeshri,285,0.56630,42836,85.11535,50327
25,ravibeta,256,0.50867,43092,85.62402,50327
26,bhargav-gulavani,216,0.42919,43308,86.05321,50327
27,yangb8,200,0.39740,43508,86.45061,50327
28,maddisondavid,185,0.36760,43693,86.81821,50327
29,co-jo,179,0.35567,43872,87.17388,50327
30,sarlaccpit,169,0.33580,44041,87.50969,50327
31,derekm,166,0.32984,44207,87.83953,50327
32,sumit-bm,162,0.32189,44369,88.16142,50327
33,hldnova,158,0.31395,44527,88.47537,50327
34,jkhalack,154,0.30600,44681,88.78137,50327
35,chennv4,142,0.28215,44823,89.06352,50327
36,SomeshJoshi19,138,0.27421,44961,89.33773,50327
37,Abhijeet-Jadhav,130,0.25831,45091,89.59604,50327
38,Richa-Srivastava,125,0.24838,45216,89.84442,50327
39,Raghuveera-Rao,104,0.20665,45320,90.05107,50327
40,chrisdail,100,0.19870,45420,90.24977,50327
41,anirudhkovuru,99,0.19671,45519,90.44648,50327
42,deenav,92,0.18280,45611,90.62928,50327
43,Ranjan-Padhi,89,0.17684,45700,90.80613,50327
44,ldr7,87,0.17287,45787,90.97900,50327
45,huide9,84,0.16691,45871,91.14591,50327
46,medvedevigorek,84,0.16691,45955,91.31281,50327
47,elizabethbain,81,0.16095,46036,91.47376,50327
48,youminhan,76,0.15101,46112,91.62477,50327
49,dellThejas,73,0.14505,46185,91.76983,50327
50,Guangfeng-Xu,69,0.13710,46254,91.90693,50327
51,keedya,65,0.12916,46319,92.03608,50327
52,jdmaguire,63,0.12518,46382,92.16127,50327
53,jonny-miller,63,0.12518,46445,92.28645,50327
54,twincitiesguy,59,0.11723,46504,92.40368,50327
55,vedanthh,58,0.11525,46562,92.51893,50327
56,zwx14700,51,0.10134,46613,92.62026,50327
57,bibinss,47,0.09339,46660,92.71365,50327
58,bourgeoisor,46,0.09140,46706,92.80505,50327
59,AlexanderZhao1,43,0.08544,46749,92.89050,50327
60,bayarsaikhan,40,0.07948,46789,92.96998,50327
61,vroy,40,0.07948,46829,93.04946,50327
62,jingerbread,39,0.07749,46868,93.12695,50327
63,akurilov,36,0.07153,46904,93.19848,50327
64,glounder,35,0.06955,46939,93.26803,50327
65,vangork,34,0.06756,46973,93.33559,50327
66,priyavj08,31,0.06160,47004,93.39718,50327
67,sabuz-262,31,0.06160,47035,93.45878,50327
68,gaddamas,29,0.05762,47064,93.51640,50327
69,yaol7,28,0.05564,47092,93.57204,50327
70,tzulitai,27,0.05365,47119,93.62569,50327
71,sculxp,25,0.04968,47144,93.67536,50327
72,askewj,23,0.04570,47167,93.72106,50327
73,freecw2012,23,0.04570,47190,93.76677,50327
74,moizsj,22,0.04371,47212,93.81048,50327
75,mejodev1,20,0.03974,47232,93.85022,50327
76,addprs,19,0.03775,47251,93.88797,50327
77,StephanEwen,19,0.03775,47270,93.92573,50327
78,jingjinglll,18,0.03577,47288,93.96149,50327
79,dsrw,17,0.03378,47305,93.99527,50327
80,qixiaogang,17,0.03378,47322,94.02905,50327
81,dalbani,16,0.03179,47338,94.06084,50327
82,giorgio-v,13,0.02583,47351,94.08667,50327
83,Ranganaths8,13,0.02583,47364,94.11250,50327
84,2phost,12,0.02384,47376,94.13635,50327
85,HoustonPutman,12,0.02384,47388,94.16019,50327
86,dandaoatdell,11,0.02186,47399,94.18205,50327
87,finiks,11,0.02186,47410,94.20391,50327
88,frank-dkvan,11,0.02186,47421,94.22576,50327
89,naveenkothamasu,11,0.02186,47432,94.24762,50327
90,ryphon,11,0.02186,47443,94.26948,50327
91,ZhengyangChang,11,0.02186,47454,94.29133,50327
92,vgupta-mickey,10,0.01987,47464,94.31120,50327
93,agarella,9,0.01788,47473,94.32909,50327
94,ipsitapravega,9,0.01788,47482,94.34697,50327
95,jadnhm,9,0.01788,47491,94.36485,50327
96,lukemassa,9,0.01788,47500,94.38274,50327
97,shengkaisun,9,0.01788,47509,94.40062,50327
98,ack72tdp,8,0.01590,47517,94.41652,50327
99,jiayushe,8,0.01590,47525,94.43241,50327
100,TonySpace,8,0.01590,47533,94.44831,50327
101,wangzhizheng,8,0.01590,47541,94.46420,50327
102,ajesh05js,7,0.01391,47548,94.47811,50327
103,BenWang91,7,0.01391,47555,94.49202,50327
104,BenWangufl,7,0.01391,47562,94.50593,50327
105,nikolay-t,7,0.01391,47569,94.51984,50327
106,Terry1504,7,0.01391,47576,94.53375,50327
107,zodiake,7,0.01391,47583,94.54766,50327
108,AndreyKoltsov1997,6,0.01192,47589,94.55958,50327
109,bfrggit,6,0.01192,47595,94.57150,50327
110,ipsDocker,6,0.01192,47601,94.58342,50327
111,Johnlon,6,0.01192,47607,94.59535,50327
112,kvandra,6,0.01192,47613,94.60727,50327
113,seecsea,6,0.01192,47619,94.61919,50327
114,ybasetty,6,0.01192,47625,94.63111,50327
115,abh,5,0.00994,47630,94.64105,50327
116,florianschmidt1994,5,0.00994,47635,94.65098,50327
117,idealemail,5,0.00994,47640,94.66092,50327
118,ifndef-SleePy,5,0.00994,47645,94.67085,50327
119,OlegKashtanov,5,0.00994,47650,94.68079,50327
120,pgwriter,5,0.00994,47655,94.69072,50327
121,azun,4,0.00795,47659,94.69867,50327
122,damienmas,4,0.00795,47663,94.70662,50327
123,efim-a-efim,4,0.00795,47667,94.71457,50327
124,gaddas3,4,0.00795,47671,94.72251,50327
125,hyffrank,4,0.00795,47675,94.73046,50327
126,lunatik13,4,0.00795,47679,94.73841,50327
127,rofr,4,0.00795,47683,94.74636,50327
128,shafqatevo,4,0.00795,47687,94.75431,50327
129,soleimaniamir,4,0.00795,47691,94.76225,50327
130,tmarcu,4,0.00795,47695,94.77020,50327
131,uprush,4,0.00795,47699,94.77815,50327
132,bjwanghua,3,0.00596,47702,94.78411,50327
133,chipmaurer,3,0.00596,47705,94.79007,50327
134,EladDolev,3,0.00596,47708,94.79603,50327
135,gimpiron,3,0.00596,47711,94.80199,50327
136,jinfwhuang,3,0.00596,47714,94.80796,50327
137,kritika23-verma,3,0.00596,47717,94.81392,50327
138,kr-nitish,3,0.00596,47720,94.81988,50327
139,omaskery,3,0.00596,47723,94.82584,50327
140,safronovD,3,0.00596,47726,94.83180,50327
141,shukalo83,3,0.00596,47729,94.83776,50327
142,sowensnc,3,0.00596,47732,94.84372,50327
143,1984chaowang,2,0.00397,47734,94.84770,50327
144,adrdc,2,0.00397,47736,94.85167,50327
145,AnilKYOmmi,2,0.00397,47738,94.85564,50327
146,hamadodene,2,0.00397,47740,94.85962,50327
147,jains41,2,0.00397,47742,94.86359,50327
148,jasoncwik,2,0.00397,47744,94.86757,50327
149,kentfredric,2,0.00397,47746,94.87154,50327
150,kgh475926,2,0.00397,47748,94.87551,50327
151,kriston13,2,0.00397,47750,94.87949,50327
152,mabruch123,2,0.00397,47752,94.88346,50327
153,martingruening,2,0.00397,47754,94.88744,50327
154,miomiomiomio,2,0.00397,47756,94.89141,50327
155,Nathas1,2,0.00397,47758,94.89538,50327
156,pavanbhat21,2,0.00397,47760,94.89936,50327
157,praseedasathaye,2,0.00397,47762,94.90333,50327
158,redstarxz,2,0.00397,47764,94.90731,50327
159,robinmoussu,2,0.00397,47766,94.91128,50327
160,sanjaynv,2,0.00397,47768,94.91525,50327
161,satchinjoshi,2,0.00397,47770,94.91923,50327
162,sggraham32,2,0.00397,47772,94.92320,50327
163,sgupta90,2,0.00397,47774,94.92718,50327
164,sriksatya,2,0.00397,47776,94.93115,50327
165,stephen-lazarionok,2,0.00397,47778,94.93512,50327
166,tewit,2,0.00397,47780,94.93910,50327
167,timjbutler,2,0.00397,47782,94.94307,50327
168,ucsbgauchos,2,0.00397,47784,94.94705,50327
169,AaronCOD,1,0.00199,47785,94.94903,50327
170,advancedwebdeveloper,1,0.00199,47786,94.95102,50327
171,alihalabyah,1,0.00199,47787,94.95301,50327
172,AljoschaP,1,0.00199,47788,94.95499,50327
173,bruce-sha,1,0.00199,47789,94.95698,50327
174,cdmikechen,1,0.00199,47790,94.95897,50327
175,chaicesan,1,0.00199,47791,94.96096,50327
176,CharlieLChen,1,0.00199,47792,94.96294,50327
177,chauha,1,0.00199,47793,94.96493,50327
178,cheleb,1,0.00199,47794,94.96692,50327
179,conanchen,1,0.00199,47795,94.96890,50327
180,cyberjso,1,0.00199,47796,94.97089,50327
181,davidmoten,1,0.00199,47797,94.97288,50327
182,dawsongzhao,1,0.00199,47798,94.97486,50327
183,derek45,1,0.00199,47799,94.97685,50327
184,DevOpserzhao,1,0.00199,47800,94.97884,50327
185,diegosalvi,1,0.00199,47801,94.98083,50327
186,dprunier,1,0.00199,47802,94.98281,50327
187,e11it,1,0.00199,47803,94.98480,50327
188,eruiz,1,0.00199,47804,94.98679,50327
189,fpompermaier,1,0.00199,47805,94.98877,50327
190,fqhuang,1,0.00199,47806,94.99076,50327
191,fversaci,1,0.00199,47807,94.99275,50327
192,gustavomzw,1,0.00199,47808,94.99473,50327
193,hirokiht,1,0.00199,47809,94.99672,50327
194,janhoy,1,0.00199,47810,94.99871,50327
195,juliuszhudellemc,1,0.00199,47811,95.00070,50327
196,kant777,1,0.00199,47812,95.00268,50327
197,kong62,1,0.00199,47813,95.00467,50327
198,kraghu,1,0.00199,47814,95.00666,50327
199,ksponomarev,1,0.00199,47815,95.00864,50327
200,langruixiang,1,0.00199,47816,95.01063,50327
201,leonj1,1,0.00199,47817,95.01262,50327
202,lgleim,1,0.00199,47818,95.01460,50327
203,maldoinc,1,0.00199,47819,95.01659,50327
204,marvinmarnold,1,0.00199,47820,95.01858,50327
205,mdharper,1,0.00199,47821,95.02057,50327
206,mganbold,1,0.00199,47822,95.02255,50327
207,mp-007,1,0.00199,47823,95.02454,50327
208,Muyoo,1,0.00199,47824,95.02653,50327
209,naude-r,1,0.00199,47825,95.02851,50327
210,nautilus-guide-contrib1,1,0.00199,47826,95.03050,50327
211,okhotnikov-aa,1,0.00199,47827,95.03249,50327
212,padma81,1,0.00199,47828,95.03447,50327
213,pinkeshsharma,1,0.00199,47829,95.03646,50327
214,pmullaney,1,0.00199,47830,95.03845,50327
