Date,Google,Red Hat,(Self),Microsoft,CoreOS,ZTE Corporation,Mirantis,Fujitsu,IBM,Weaveworks,Others
2016-01,574,162,45,23,52,0,1,33,3,132,260
2016-02,953,238,72,82,41,0,2,54,13,78,309
2016-03,1002,238,51,191,54,0,1,57,19,145,384
2016-04,601,219,27,118,88,2,9,23,33,44,309
2016-05,978,289,128,90,98,15,27,33,22,59,433
2016-06,1140,204,260,118,83,22,41,63,12,6,259
2016-07,730,230,163,76,50,93,74,23,19,10,311
2016-08,1366,341,181,110,86,56,79,22,22,5,392
2016-09,1058,614,183,86,158,61,88,32,23,40,295
2016-10,1056,579,159,154,60,17,79,20,38,23,498
2016-11,1318,442,101,99,79,40,66,40,14,4,561
2016-12,964,482,266,143,85,62,81,21,51,0,632
2017-01,975,728,278,82,61,62,72,9,64,0,698
2017-02,991,706,222,108,81,132,77,35,77,3,893
2017-03,1012,592,181,80,168,184,73,75,64,4,840
2017-04,845,337,146,93,63,112,50,42,62,1,696
2017-05,1250,533,119,130,79,80,17,60,60,2,733
2017-06,1016,341,127,67,89,24,5,54,46,2,629
