rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,jondot,206,41.28257,206,41.28257,499
2,lreuven,14,2.80561,220,44.08818,499
3,derektamsen,12,2.40481,232,46.49299,499
4,ChengaDev,9,1.80361,241,48.29659,499
5,rcII,8,1.60321,249,49.89980,499
6,cmpxchg16,7,1.40281,256,51.30261,499
7,voodooGQ,7,1.40281,263,52.70541,499
8,NikitaGl,6,1.20240,269,53.90782,499
9,JacobJohansen,5,1.00200,274,54.90982,499
10,brandonwestcott,4,0.80160,278,55.71142,499
11,infamousjoeg,4,0.80160,282,56.51303,499
12,jkirkpatrick24,4,0.80160,286,57.31463,499
13,sschneider-ihre-pvs,4,0.80160,290,58.11623,499
14,TheLastProject,4,0.80160,294,58.91784,499
15,advissor,3,0.60120,297,59.51904,499
16,camerondavison,3,0.60120,300,60.12024,499
17,eladbash,3,0.60120,303,60.72144,499
18,mpender,3,0.60120,306,61.32265,499
19,patrickc-sb,3,0.60120,309,61.92385,499
20,WIZOX,3,0.60120,312,62.52505,499
21,0xflotus,2,0.40080,314,62.92585,499
22,arukaen,2,0.40080,316,63.32665,499
23,barlesh,2,0.40080,318,63.72745,499
24,chishaku,2,0.40080,320,64.12826,499
25,Farbriddges,2,0.40080,322,64.52906,499
26,nazar256,2,0.40080,324,64.92986,499
27,systemist,2,0.40080,326,65.33066,499
28,yeasin123226,2,0.40080,328,65.73146,499
29,doriitamar,1,0.20040,329,65.93186,499
30,doron-cohen,1,0.20040,330,66.13226,499
31,einsmaleins,1,0.20040,331,66.33267,499
32,hussainanjar,1,0.20040,332,66.53307,499
33,iniinikoski,1,0.20040,333,66.73347,499
34,itamarbareket,1,0.20040,334,66.93387,499
35,rikkeloekke,1,0.20040,335,67.13427,499
36,schiederme,1,0.20040,336,67.33467,499
37,sergeylukin,1,0.20040,337,67.53507,499
