repo,rank_number,actor,company,commits,percent,all_commits
acornjs/acorn,1,marijnh,Independent,178,0.04618,385483
acornjs/acorn,2,adrianheine,(Unknown),33,0.00856,385483
acornjs/acorn,3,TimothyGu,UCLA ACM,17,0.00441,385483
ahmadnassri/node-har-validator,1,ahmadnassri,(Unknown),7,0.00182,385483
angular/angular,1,mhevery,Google,7812,2.02655,385483
angular/angular,2,alexeagle,Google,6362,1.65040,385483
angular/angular,3,IgorMinar,Google,3109,0.80652,385483
angular/angular.js,1,Narretz,Independent,1628,0.42233,385483
angular/angular.js,2,matsko,Google,1468,0.38082,385483
angular/angular.js,3,petebacondarwin,Independent,1372,0.35592,385483
angular/animations-builds,1,mhevery,Google,2058,0.53388,385483
angular/animations-builds,2,matsko,Google,1373,0.35618,385483
angular/animations-builds,3,kara,Google,1231,0.31934,385483
angular/cdk-builds,1,crisbeto,Momondo,1261,0.32712,385483
angular/cdk-builds,2,PaulGap,(Unknown),510,0.13230,385483
angular/cdk-builds,3,jelbourn,Google,212,0.05500,385483
angular/common-builds,1,mhevery,Google,3628,0.94116,385483
angular/common-builds,2,matsko,Google,1414,0.36681,385483
angular/common-builds,3,IgorMinar,Google,1400,0.36318,385483
angular/core-builds,1,mhevery,Google,3738,0.96969,385483
angular/core-builds,2,matsko,Google,1416,0.36733,385483
angular/core-builds,3,IgorMinar,Google,1400,0.36318,385483
angular/forms-builds,1,mhevery,Google,3427,0.88901,385483
angular/forms-builds,2,matsko,Google,1398,0.36266,385483
angular/forms-builds,3,IgorMinar,Google,1386,0.35955,385483
angular/http-builds,1,mhevery,Google,3032,0.78655,385483
angular/http-builds,2,IgorMinar,Google,1163,0.30170,385483
angular/http-builds,3,matsko,Google,882,0.22880,385483
angular/platform-browser-builds,1,mhevery,Google,3594,0.93234,385483
angular/platform-browser-builds,2,matsko,Google,1415,0.36707,385483
angular/platform-browser-builds,3,IgorMinar,Google,1391,0.36085,385483
angular/platform-browser-dynamic-builds,1,mhevery,Google,3438,0.89187,385483
angular/platform-browser-dynamic-builds,2,matsko,Google,1371,0.35566,385483
angular/platform-browser-dynamic-builds,3,IgorMinar,Google,1268,0.32894,385483
angular/platform-server-builds,1,mhevery,Google,3462,0.89809,385483
angular/platform-server-builds,2,matsko,Google,1367,0.35462,385483
angular/platform-server-builds,3,IgorMinar,Google,1273,0.33024,385483
angular-translate/angular-translate,1,knalli,Independent,459,0.11907,385483
angular-translate/angular-translate,2,luaks,(Unknown),4,0.00104,385483
angular-translate/angular-translate,3,gonzalo-roberto-diaz,(Unknown),3,0.00078,385483
angular-ui/ui-router,1,christopherthielen,Netflix,1395,0.36188,385483
angular-ui/ui-router,2,nateabele,Radify,177,0.04592,385483
angular-ui/ui-router,3,wesleycho,Mindflash,73,0.01894,385483
angular/zone.js,1,mhevery,Google,501,0.12997,385483
angular/zone.js,2,JiaLiPassion,Ritatu,184,0.04773,385483
angular/zone.js,3,vicb,Google,77,0.01997,385483
apache/commons-codec,1,sebbASF,Apache,146,0.03787,385483
apache/commons-codec,2,garydgregory,Apache,143,0.03710,385483
apache/commons-codec,3,chtompki,Apache,22,0.00571,385483
apache/commons-collections,1,garydgregory,Apache,184,0.04773,385483
apache/commons-collections,2,netomi,Guardsquare,96,0.02490,385483
apache/commons-collections,3,netomi,Airtopsoft SA,94,0.02438,385483
apache/commons-io,1,krosenvold,Apache,80,0.02075,385483
apache/commons-io,2,PascalSchumacher,Apache,69,0.01790,385483
apache/commons-io,3,garydgregory,Apache,58,0.01505,385483
apache/commons-lang,1,britter,codecentric AG,365,0.09469,385483
apache/commons-lang,2,PascalSchumacher,Apache,248,0.06433,385483
apache/commons-lang,3,chtompki,Apache,72,0.01868,385483
apache/commons-logging,1,garydgregory,Apache,10,0.00259,385483
