rank_number,actor,commits,percent,cumulative_sum,cumulative_percent,all_commits
1,blesh,2576,0.94034,2576,0.94034,273944
2,benlesh,1466,0.53515,4042,1.47548,273944
3,LutzJaenicke,1116,0.40738,5158,1.88287,273944
4,dot-asm,896,0.32707,6054,2.20994,273944
5,snhenson,800,0.29203,6854,2.50197,273944
6,devversion,798,0.29130,7652,2.79327,273944
7,hughbe,638,0.23289,8290,3.02617,273944
8,JonHanna,622,0.22705,8912,3.25322,273944
9,fellows3,565,0.20625,9477,3.45947,273944
10,ichernev,473,0.17266,9950,3.63213,273944
11,bernd-edlinger,414,0.15113,10364,3.78325,273944
12,jimfb,410,0.14967,10774,3.93292,273944
13,btford,380,0.13871,11154,4.07164,273944
14,paulidale,377,0.13762,11531,4.20925,273944
15,som-snytt,348,0.12703,11879,4.33629,273944
16,mlaval,302,0.11024,12181,4.44653,273944
17,marclaval,300,0.10951,12481,4.55604,273944
18,simov,300,0.10951,12781,4.66555,273944
19,evmar,286,0.10440,13067,4.76995,273944
20,PaulGap,271,0.09893,13338,4.86888,273944
21,inder123,266,0.09710,13604,4.96598,273944
22,kroeckx,252,0.09199,13856,5.05797,273944
23,mary-poppins,245,0.08943,14101,5.14740,273944
24,ChrisMaddock,243,0.08870,14344,5.23611,273944
25,wardbell,238,0.08688,14582,5.32299,273944
26,mspncp,224,0.08177,14806,5.40475,273944
27,justinvp,191,0.06972,14997,5.47448,273944
28,sjtrimble,161,0.05877,15158,5.53325,273944
29,FdaSilvaYY,157,0.05731,15315,5.59056,273944
30,cexbrayat,147,0.05366,15462,5.64422,273944
31,AtsushiKan,146,0.05330,15608,5.69751,273944
32,twbs-grunt,145,0.05293,15753,5.75045,273944
33,jamesqo,130,0.04745,15883,5.79790,273944
34,pat270,115,0.04198,15998,5.83988,273944
35,vsn4ik,113,0.04125,16111,5.88113,273944
36,jnizet,111,0.04052,16222,5.92165,273944
37,ysds,111,0.04052,16333,5.96217,273944
38,janekdb,109,0.03979,16442,6.00196,273944
39,jteplitz602,107,0.03906,16549,6.04102,273944
40,pshrmn,107,0.03906,16656,6.08007,273944
41,marek-safar,105,0.03833,16761,6.11840,273944
42,gijsbotje,103,0.03760,16864,6.15600,273944
43,m5o,102,0.03723,16966,6.19324,273944
44,gotwarlost,101,0.03687,17067,6.23011,273944
45,DABH,99,0.03614,17166,6.26624,273944
46,trotyl,99,0.03614,17265,6.30238,273944
47,oznetmaster,98,0.03577,17363,6.33816,273944
48,saper,98,0.03577,17461,6.37393,273944
49,hrhino,97,0.03541,17558,6.40934,273944
50,InfoHunter,93,0.03395,17651,6.44329,273944
51,MarcoRossignoli,93,0.03395,17744,6.47724,273944
52,sepidehkh,92,0.03358,17836,6.51082,273944
53,robwormald,91,0.03322,17927,6.54404,273944
54,fitzgen,90,0.03285,18017,6.57689,273944
55,abetomo,81,0.02957,18098,6.60646,273944
56,Maxwe11,81,0.02957,18179,6.63603,273944
57,pauli-oracle,78,0.02847,18257,6.66450,273944
58,chembu,74,0.02701,18331,6.69151,273944
59,hnrch02,74,0.02701,18405,6.71853,273944
60,zalog,74,0.02701,18479,6.74554,273944
61,joshlemer,71,0.02592,18550,6.77146,273944
62,jenniferfell,70,0.02555,18620,6.79701,273944
63,sepidehMS,70,0.02555,18690,6.82256,273944
64,timrwood,70,0.02555,18760,6.84811,273944
65,mkarg,69,0.02519,18829,6.87330,273944
66,alexindigo,68,0.02482,18897,6.89813,273944
67,falsyvalues,66,0.02409,18963,6.92222,273944
68,Herst,66,0.02409,19029,6.94631,273944
69,nateprewitt,64,0.02336,19093,6.96967,273944
70,Clockwork-Muse,63,0.02300,19156,6.99267,273944
71,kevmoo,63,0.02300,19219,7.01567,273944
72,NthPortal,62,0.02263,19281,7.03830,273944
73,AlexRadch,60,0.02190,19341,7.06020,273944
74,goto-bus-stop,60,0.02190,19401,7.08210,273944
75,Wraith2,60,0.02190,19461,7.10401,273944
76,RyanZim,58,0.02117,19519,7.12518,273944
77,benlaurie,57,0.02081,19576,7.14599,273944
78,PeEllAvaj,57,0.02081,19633,7.16679,273944
79,jfmengels,56,0.02044,19689,7.18724,273944
80,madler,56,0.02044,19745,7.20768,273944
81,milessabin,56,0.02044,19801,7.22812,273944
82,EgorBo,55,0.02008,19856,7.24820,273944
83,hackcraft,55,0.02008,19911,7.26827,273944
84,jsfb,55,0.02008,19966,7.28835,273944
85,caesar1995,54,0.01971,20020,7.30806,273944
86,threepointone,54,0.01971,20074,7.32778,273944
87,Varunram,54,0.01971,20128,7.34749,273944
88,bershanskiy,53,0.01935,20181,7.36683,273944
89,kwalrath,53,0.01935,20234,7.38618,273944
90,Ichoran,52,0.01898,20286,7.40516,273944
91,openssl-machine,52,0.01898,20338,7.42415,273944
92,ghedo,51,0.01862,20389,7.44276,273944
93,martine,51,0.01862,20440,7.46138,273944
94,Splaktar,51,0.01862,20491,7.48000,273944
95,shahata,50,0.01825,20541,7.49825,273944
96,ashawley,49,0.01789,20590,7.51613,273944
97,nylen,47,0.01716,20637,7.53329,273944
98,Brianmanden,46,0.01679,20683,7.55008,273944
99,cellog,45,0.01643,20728,7.56651,273944
100,paulirish,45,0.01643,20773,7.58294,273944
101,arschmitz,44,0.01606,20817,7.59900,273944
102,eed3si9n,44,0.01606,20861,7.61506,273944
103,jteplitz,44,0.01606,20905,7.63112,273944
104,staabm,44,0.01606,20949,7.64718,273944
105,wojtask9,44,0.01606,20993,7.66325,273944
106,bbbrumley,43,0.01570,21036,7.67894,273944
107,beldmit,43,0.01570,21079,7.69464,273944
108,d10,43,0.01570,21122,7.71033,273944
109,mkeskells,43,0.01570,21165,7.72603,273944
110,CaerusKaru,42,0.01533,21207,7.74136,273944
111,iamandrewluca,42,0.01533,21249,7.75669,273944
112,DzmitryShylovich,41,0.01497,21290,7.77166,273944
113,Toxicable,41,0.01497,21331,7.78663,273944
114,amcdnl,39,0.01424,21370,7.80086,273944
115,evanvosberg,39,0.01424,21409,7.81510,273944
116,joyent-automation,39,0.01424,21448,7.82934,273944
117,PascalPrecht,39,0.01424,21487,7.84357,273944
118,WilliamKoza,39,0.01424,21526,7.85781,273944
119,florianlacreuse,38,0.01387,21564,7.87168,273944
120,kohei-takata,38,0.01387,21602,7.88555,273944
121,Philippus,38,0.01387,21640,7.89942,273944
122,santoshyadav198613,38,0.01387,21678,7.91330,273944
123,elas7,37,0.01351,21715,7.92680,273944
124,joroKr21,37,0.01351,21752,7.94031,273944
125,bassjobsen,36,0.01314,21788,7.95345,273944
126,coreyfarrell,36,0.01314,21824,7.96659,273944
127,spion,36,0.01314,21860,7.97973,273944
128,blikblum,35,0.01278,21895,7.99251,273944
129,pvdlg,35,0.01278,21930,8.00529,273944
130,keyz,33,0.01205,21963,8.01733,273944
131,sokket,33,0.01205,21996,8.02938,273944
132,martijnhoekstra,32,0.01168,22028,8.04106,273944
133,Quy,32,0.01168,22060,8.05274,273944
134,alekitto,31,0.01132,22091,8.06406,273944
135,hankduan,31,0.01132,22122,8.07537,273944
136,BendingBender,30,0.01095,22152,8.08632,273944
137,codecalm,30,0.01095,22182,8.09728,273944
138,StephenFluin,30,0.01095,22212,8.10823,273944
139,WinCPP,30,0.01095,22242,8.11918,273944
140,GeoSot,29,0.01059,22271,8.12976,273944
141,mleguen,29,0.01059,22300,8.14035,273944
142,soc,29,0.01059,22329,8.15094,273944
143,alfaproject,28,0.01022,22357,8.16116,273944
144,cironunes,28,0.01022,22385,8.17138,273944
145,FrederikSchlemmer,28,0.01022,22413,8.18160,273944
146,petetnt,28,0.01022,22441,8.19182,273944
147,svick,28,0.01022,22469,8.20204,273944
148,willshowell,28,0.01022,22497,8.21226,273944
149,AfsanehR,27,0.00986,22524,8.22212,273944
150,Dmitry-Me,27,0.00986,22551,8.23197,273944
151,LinusU,27,0.00986,22578,8.24183,273944
152,lucascono,27,0.00986,22605,8.25169,273944
153,m-amr,27,0.00986,22632,8.26154,273944
154,manekinekko,27,0.00986,22659,8.27140,273944
155,sts-ryan-holton,27,0.00986,22686,8.28125,273944
156,tracyjordan,27,0.00986,22713,8.29111,273944
157,tspaeth,27,0.00986,22740,8.30097,273944
158,vanduynslagerp,27,0.00986,22767,8.31082,273944
159,wKoza,27,0.00986,22794,8.32068,273944
160,carlossanlop,26,0.00949,22820,8.33017,273944
161,dcherman,26,0.00949,22846,8.33966,273944
162,Jasper-M,26,0.00949,22872,8.34915,273944
163,keyanzhang,26,0.00949,22898,8.35864,273944
164,tromey,26,0.00949,22924,8.36813,273944
165,yujayee,26,0.00949,22950,8.37762,273944
166,chalin,25,0.00913,22975,8.38675,273944
