rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,stephentoub,66359,3.88778,66359,3.88778,1706863
2,mhevery,44217,2.59054,110576,6.47832,1706863
3,levitte,29468,1.72644,140044,8.20476,1706863
4,gaearon,22635,1.32612,162679,9.53088,1706863
5,IgorMinar,20847,1.22136,183526,10.75224,1706863
6,danmosemsft,19715,1.15504,203241,11.90728,1706863
7,gkalpak,19603,1.14848,222844,13.05576,1706863
8,matsko,17059,0.99944,239903,14.05520,1706863
9,mary-poppins,16305,0.95526,256208,15.01046,1706863
10,petebacondarwin,16088,0.94255,272296,15.95301,1706863
11,mattcaswell,15925,0.93300,288221,16.88601,1706863
12,tagliala,15892,0.93106,304113,17.81707,1706863
13,mdo,15853,0.92878,319966,18.74585,1706863
14,kara,15849,0.92855,335815,19.67440,1706863
15,pkozlowski-opensource,14710,0.86181,350525,20.53621,1706863
16,vicb,14559,0.85297,365084,21.38918,1706863
17,alxhub,14433,0.84559,379517,22.23477,1706863
18,richsalz,14273,0.83621,393790,23.07098,1706863
19,jdalton,13963,0.81805,407753,23.88903,1706863
20,dougwilson,12973,0.76005,420726,24.64908,1706863
21,XhmikosR,12791,0.74939,433517,25.39846,1706863
22,cowtowncoder,12279,0.71939,445796,26.11785,1706863
23,karelz,11225,0.65764,457021,26.77549,1706863
24,weshaggard,10688,0.62618,467709,27.40167,1706863
25,bartonjs,10318,0.60450,478027,28.00617,1706863
