rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,siyuan0322,69,6.82493,69,6.82493,1011
2,andydiwenzhu,50,4.94560,119,11.77052,1011
3,luoxiaojian,33,3.26409,152,15.03462,1011
4,pwrliang,24,2.37389,176,17.40851,1011
5,acezen,15,1.48368,191,18.89219,1011
6,Zarca,14,1.38477,205,20.27695,1011
7,CLAassistant,8,0.79130,213,21.06825,1011
8,leezu,4,0.39565,217,21.46390,1011
9,westfly,2,0.19782,219,21.66172,1011
10,yecol,2,0.19782,221,21.85955,1011
11,lidongze0629,1,0.09891,222,21.95846,1011
12,wenyuanyu,1,0.09891,223,22.05737,1011
13,zhiminch,1,0.09891,224,22.15628,1011
