rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,hydai,598,35.74417,598,35.74417,1673
2,q82419,517,30.90257,1115,66.64674,1673
3,ibmibmibm,480,28.69097,1595,95.33772,1673
4,0yi0,31,1.85296,1626,97.19068,1673
5,Litrop,10,0.59773,1636,97.78840,1673
6,alabulei1,5,0.29886,1641,98.08727,1673
7,elliott-wen,4,0.23909,1645,98.32636,1673
8,juntao,4,0.23909,1649,98.56545,1673
9,robinvanemden,4,0.23909,1653,98.80454,1673
10,dm4,3,0.17932,1656,98.98386,1673
11,Jessicajin-lab,3,0.17932,1659,99.16318,1673
12,actly,2,0.11955,1661,99.28273,1673
13,axic,2,0.11955,1663,99.40227,1673
14,cs686,2,0.11955,1665,99.52182,1673
15,NaturelLee,2,0.11955,1667,99.64136,1673
16,tpmccallum,1,0.05977,1668,99.70114,1673
17,WingDust,1,0.05977,1669,99.76091,1673
18,yagehu,1,0.05977,1670,99.82068,1673
