idx,company,n,percent
0,(All known 1098),59841,98.53
1,Google,26185,43.1
2,Red Hat,10827,17.8
3,Microsoft,2114,3.5
4,FathomDB,1850,3.0
5,CoreOS,1526,2.5
6,(Self),1036,1.7
7,ZTE Corporation,951,1.6
8,Mirantis,847,1.4
9,Huawei,775,1.3
10,Fujitsu,737,1.2
11,Weaveworks,735,1.2
12,(Unknown),693,1.1
13,IBM,644,1.1
14,SOFICOM,589,1.0
15,Engine Yard,572,0.9
16,DEIS,334,0.5
17,Apache,310,0.5
18,Hyper.sh,304,0.5
19,Mesosphere,291,0.5
20,Intel,266,0.4
21,Gmail *,236,0.4
29,(Not Found),200,0.3
194,Hotmail *,9,0.0
325,Yahoo *,4,0.0
490,Qq *,3,0.0
1538,Outlook *,1,0.0
