idx,company,n,percent
0,(All known 396),27101,97.94
1,Google,12859,46.5
2,Red Hat,6141,22.2
3,Microsoft,1047,3.8
4,CoreOS,722,2.6
5,(Self),635,2.3
6,(Unknown),571,2.1
7,FathomDB,551,2.0
8,Huawei,499,1.8
9,ZTE Corporation,366,1.3
10,IBM,294,1.1
11,Gmail *,263,1.0
12,Heptio,236,0.9
13,Mesosphere,192,0.7
14,Mirantis,188,0.7
15,(Not Found),173,0.6
16,Hyper.sh,158,0.6
17,Apache,150,0.5
18,Fujitsu,146,0.5
19,Docker,145,0.5
20,Weaveworks,132,0.5
36,Outlook *,39,0.1
78,Qq *,10,0.0
93,Hotmail *,7,0.0
150,Yahoo *,4,0.0
