idx,company,n,percent
0,(All known 68),452050,99.92
1,Google,306092,67.7
2,Red Hat,75942,16.8
3,Apache,15033,3.3
4,Mirantis,11304,2.5
5,IBM,8730,1.9
6,Weaveworks,6657,1.5
7,(Self),4665,1.0
8,VMware,3725,0.8
9,Apprenda,2859,0.6
10,Hyper.sh,2639,0.6
11,CoreOS,2202,0.5
12,FathomDB,1888,0.4
13,Microsoft,1820,0.4
14,Rook,1041,0.2
15,Net EASE 网易有态度,811,0.2
16,HP,756,0.2
17,Intel,669,0.1
18,Huawei,614,0.1
19,Jetstack,586,0.1
20,CNM Consulting,547,0.1
25,(Unknown),348,0.1
27,Gmail *,251,0.1
50,Qq *,11,0.0
