idx,company,n,percent
0,(All known 466),1195,85.17
1,(Unknown),202,14.4
2,Google,198,14.1
3,Red Hat,133,9.5
4,Gmail *,111,7.9
5,(Self),43,3.1
6,CoreOS,35,2.5
7,Huawei,32,2.3
8,IBM,28,2.0
9,ZTE Corporation,27,1.9
10,Mirantis,20,1.4
11,Intel,14,1.0
12,VMware,14,1.0
13,Fujitsu,13,0.9
14,HP,12,0.9
15,Microsoft,12,0.9
16,UsersNoreplyGithub *,12,0.9
17,Canonical,11,0.8
18,Cisco,10,0.7
19,eBay,10,0.7
20,Net EASE 网易有态度,10,0.7
25,(Not Found),6,0.4
40,Yahoo *,3,0.2
52,Outlook *,3,0.2
53,Hotmail *,3,0.2
59,Qq *,2,0.1
